model_id,twist_deg,rise_A,model_status,coordinate_file,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
twist23p5_rise3p350,23.500,3.350,pending,,pending,,pending,,,,
twist24p0_rise3p350,24.000,3.350,pending,,pending,,pending,,,,
twist24p5_rise3p350,24.500,3.350,pending,,pending,,pending,,,,
twist25p0_rise3p350,25.000,3.350,pending,,pending,,pending,,,,
twist25p5_rise3p350,25.500,3.350,pending,,pending,,pending,,,,
twist26p0_rise3p350,26.000,3.350,pending,,pending,,pending,,,,
twist26p5_rise3p350,26.500,3.350,pending,,pending,,pending,,,,
twist27p0_rise3p350,27.000,3.350,pending,,pending,,pending,,,,
twist27p5_rise3p350,27.500,3.350,pending,,pending,,pending,,,,
twist28p0_rise3p350,28.000,3.350,pending,,pending,,pending,,,,
twist28p5_rise3p350,28.500,3.350,pending,,pending,,pending,,,,
twist29p0_rise3p350,29.000,3.350,pending,,pending,,pending,,,,
twist29p5_rise3p350,29.500,3.350,pending,,pending,,pending,,,,
twist30p0_rise3p350,30.000,3.350,pending,,pending,,pending,,,,
twist30p5_rise3p350,30.500,3.350,pending,,pending,,pending,,,,
twist31p0_rise3p350,31.000,3.350,pending,,pending,,pending,,,,
twist31p5_rise3p350,31.500,3.350,pending,,pending,,pending,,,,
twist32p0_rise3p350,32.000,3.350,pending,,pending,,pending,,,,
twist32p5_rise3p350,32.500,3.350,pending,,pending,,pending,,,,
twist33p0_rise3p350,33.000,3.350,pending,,pending,,pending,,,,
twist33p5_rise3p350,33.500,3.350,pending,,pending,,pending,,,,
twist34p0_rise3p350,34.000,3.350,pending,,pending,,pending,,,,
twist34p5_rise3p350,34.500,3.350,pending,,pending,,pending,,,,
twist35p0_rise3p350,35.000,3.350,pending,,pending,,pending,,,,
twist35p5_rise3p350,35.500,3.350,pending,,pending,,pending,,,,
twist36p0_rise3p350,36.000,3.350,pending,,pending,,pending,,,,
twist36p5_rise3p350,36.500,3.350,pending,,pending,,pending,,,,
twist37p0_rise3p350,37.000,3.350,pending,,pending,,pending,,,,
twist37p5_rise3p350,37.500,3.350,pending,,pending,,pending,,,,
twist38p0_rise3p350,38.000,3.350,pending,,pending,,pending,,,,
twist38p5_rise3p350,38.500,3.350,pending,,pending,,pending,,,,
twist39p0_rise3p350,39.000,3.350,pending,,pending,,pending,,,,
twist39p5_rise3p350,39.500,3.350,pending,,pending,,pending,,,,
twist40p0_rise3p350,40.000,3.350,pending,,pending,,pending,,,,
twist20p0_rise3p400,20.000,3.400,pending,,pending,,pending,,,,
twist20p5_rise3p400,20.500,3.400,pending,,pending,,pending,,,,
twist21p0_rise3p400,21.000,3.400,pending,,pending,,pending,,,,
twist21p5_rise3p400,21.500,3.400,pending,,pending,,pending,,,,
twist22p0_rise3p400,22.000,3.400,pending,,pending,,pending,,,,
twist22p5_rise3p400,22.500,3.400,pending,,pending,,pending,,,,
twist23p0_rise3p400,23.000,3.400,pending,,pending,,pending,,,,
twist23p5_rise3p400,23.500,3.400,pending,,pending,,pending,,,,
twist24p0_rise3p400,24.000,3.400,pending,,pending,,pending,,,,
twist24p5_rise3p400,24.500,3.400,pending,,pending,,pending,,,,
twist25p0_rise3p400,25.000,3.400,pending,,pending,,pending,,,,
twist25p5_rise3p400,25.500,3.400,pending,,pending,,pending,,,,
twist26p0_rise3p400,26.000,3.400,pending,,pending,,pending,,,,
twist26p5_rise3p400,26.500,3.400,pending,,pending,,pending,,,,
twist27p0_rise3p400,27.000,3.400,pending,,pending,,pending,,,,
twist27p5_rise3p400,27.500,3.400,pending,,pending,,pending,,,,
twist28p0_rise3p400,28.000,3.400,pending,,pending,,pending,,,,
twist28p5_rise3p400,28.500,3.400,pending,,pending,,pending,,,,
twist29p0_rise3p400,29.000,3.400,pending,,pending,,pending,,,,
twist29p5_rise3p400,29.500,3.400,pending,,pending,,pending,,,,
twist30p0_rise3p400,30.000,3.400,pending,,pending,,pending,,,,
twist30p5_rise3p400,30.500,3.400,pending,,pending,,pending,,,,
twist31p0_rise3p400,31.000,3.400,pending,,pending,,pending,,,,
twist31p5_rise3p400,31.500,3.400,pending,,pending,,pending,,,,
twist32p0_rise3p400,32.000,3.400,pending,,pending,,pending,,,,
twist32p5_rise3p400,32.500,3.400,pending,,pending,,pending,,,,
twist33p0_rise3p400,33.000,3.400,pending,,pending,,pending,,,,
twist33p5_rise3p400,33.500,3.400,pending,,pending,,pending,,,,
twist34p0_rise3p400,34.000,3.400,pending,,pending,,pending,,,,
twist34p5_rise3p400,34.500,3.400,pending,,pending,,pending,,,,
twist35p0_rise3p400,35.000,3.400,pending,,pending,,pending,,,,
twist35p5_rise3p400,35.500,3.400,pending,,pending,,pending,,,,
twist36p0_rise3p400,36.000,3.400,pending,,pending,,pending,,,,
twist36p5_rise3p400,36.500,3.400,pending,,pending,,pending,,,,
twist37p0_rise3p400,37.000,3.400,pending,,pending,,pending,,,,
twist37p5_rise3p400,37.500,3.400,pending,,pending,,pending,,,,
twist38p0_rise3p400,38.000,3.400,pending,,pending,,pending,,,,
twist38p5_rise3p400,38.500,3.400,pending,,pending,,pending,,,,
twist39p0_rise3p400,39.000,3.400,pending,,pending,,pending,,,,
twist39p5_rise3p400,39.500,3.400,pending,,pending,,pending,,,,
twist40p0_rise3p400,40.000,3.400,pending,,pending,,pending,,,,
twist20p0_rise3p450,20.000,3.450,pending,,pending,,pending,,,,
twist20p5_rise3p450,20.500,3.450,pending,,pending,,pending,,,,
twist21p0_rise3p450,21.000,3.450,pending,,pending,,pending,,,,
twist21p5_rise3p450,21.500,3.450,pending,,pending,,pending,,,,
twist22p0_rise3p450,22.000,3.450,pending,,pending,,pending,,,,
twist22p5_rise3p450,22.500,3.450,pending,,pending,,pending,,,,
twist23p0_rise3p450,23.000,3.450,pending,,pending,,pending,,,,
twist23p5_rise3p450,23.500,3.450,pending,,pending,,pending,,,,
twist24p0_rise3p450,24.000,3.450,pending,,pending,,pending,,,,
twist24p5_rise3p450,24.500,3.450,pending,,pending,,pending,,,,
twist25p0_rise3p450,25.000,3.450,pending,,pending,,pending,,,,
twist25p5_rise3p450,25.500,3.450,pending,,pending,,pending,,,,
twist26p0_rise3p450,26.000,3.450,pending,,pending,,pending,,,,
twist26p5_rise3p450,26.500,3.450,pending,,pending,,pending,,,,
twist27p0_rise3p450,27.000,3.450,pending,,pending,,pending,,,,
twist27p5_rise3p450,27.500,3.450,pending,,pending,,pending,,,,
twist28p0_rise3p450,28.000,3.450,pending,,pending,,pending,,,,
twist28p5_rise3p450,28.500,3.450,pending,,pending,,pending,,,,
twist29p0_rise3p450,29.000,3.450,pending,,pending,,pending,,,,
twist29p5_rise3p450,29.500,3.450,pending,,pending,,pending,,,,
twist30p0_rise3p450,30.000,3.450,pending,,pending,,pending,,,,
twist30p5_rise3p450,30.500,3.450,pending,,pending,,pending,,,,
twist31p0_rise3p450,31.000,3.450,pending,,pending,,pending,,,,
twist31p5_rise3p450,31.500,3.450,pending,,pending,,pending,,,,
