model_id,twist_deg,rise_A,model_status,coordinate_file,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
twist25p0_rise3p050,25.000,3.050,pending,,pending,,pending,,,,
twist25p5_rise3p050,25.500,3.050,pending,,pending,,pending,,,,
twist26p0_rise3p050,26.000,3.050,pending,,pending,,pending,,,,
twist26p5_rise3p050,26.500,3.050,pending,,pending,,pending,,,,
twist27p0_rise3p050,27.000,3.050,pending,,pending,,pending,,,,
twist27p5_rise3p050,27.500,3.050,pending,,pending,,pending,,,,
twist28p0_rise3p050,28.000,3.050,pending,,pending,,pending,,,,
twist28p5_rise3p050,28.500,3.050,pending,,pending,,pending,,,,
twist29p0_rise3p050,29.000,3.050,pending,,pending,,pending,,,,
twist29p5_rise3p050,29.500,3.050,pending,,pending,,pending,,,,
twist30p0_rise3p050,30.000,3.050,pending,,pending,,pending,,,,
twist30p5_rise3p050,30.500,3.050,pending,,pending,,pending,,,,
twist31p0_rise3p050,31.000,3.050,pending,,pending,,pending,,,,
twist31p5_rise3p050,31.500,3.050,pending,,pending,,pending,,,,
twist32p0_rise3p050,32.000,3.050,pending,,pending,,pending,,,,
twist32p5_rise3p050,32.500,3.050,pending,,pending,,pending,,,,
twist33p0_rise3p050,33.000,3.050,pending,,pending,,pending,,,,
twist33p5_rise3p050,33.500,3.050,pending,,pending,,pending,,,,
twist34p0_rise3p050,34.000,3.050,pending,,pending,,pending,,,,
twist34p5_rise3p050,34.500,3.050,pending,,pending,,pending,,,,
twist35p0_rise3p050,35.000,3.050,pending,,pending,,pending,,,,
twist35p5_rise3p050,35.500,3.050,pending,,pending,,pending,,,,
twist36p0_rise3p050,36.000,3.050,pending,,pending,,pending,,,,
twist36p5_rise3p050,36.500,3.050,pending,,pending,,pending,,,,
twist37p0_rise3p050,37.000,3.050,pending,,pending,,pending,,,,
twist37p5_rise3p050,37.500,3.050,pending,,pending,,pending,,,,
twist38p0_rise3p050,38.000,3.050,pending,,pending,,pending,,,,
twist38p5_rise3p050,38.500,3.050,pending,,pending,,pending,,,,
twist39p0_rise3p050,39.000,3.050,pending,,pending,,pending,,,,
twist39p5_rise3p050,39.500,3.050,pending,,pending,,pending,,,,
twist40p0_rise3p050,40.000,3.050,pending,,pending,,pending,,,,
twist20p0_rise3p100,20.000,3.100,pending,,pending,,pending,,,,
twist20p5_rise3p100,20.500,3.100,pending,,pending,,pending,,,,
twist21p0_rise3p100,21.000,3.100,pending,,pending,,pending,,,,
twist21p5_rise3p100,21.500,3.100,pending,,pending,,pending,,,,
twist22p0_rise3p100,22.000,3.100,pending,,pending,,pending,,,,
twist22p5_rise3p100,22.500,3.100,pending,,pending,,pending,,,,
twist23p0_rise3p100,23.000,3.100,pending,,pending,,pending,,,,
twist23p5_rise3p100,23.500,3.100,pending,,pending,,pending,,,,
twist24p0_rise3p100,24.000,3.100,pending,,pending,,pending,,,,
twist24p5_rise3p100,24.500,3.100,pending,,pending,,pending,,,,
twist25p0_rise3p100,25.000,3.100,pending,,pending,,pending,,,,
twist25p5_rise3p100,25.500,3.100,pending,,pending,,pending,,,,
twist26p0_rise3p100,26.000,3.100,pending,,pending,,pending,,,,
twist26p5_rise3p100,26.500,3.100,pending,,pending,,pending,,,,
twist27p0_rise3p100,27.000,3.100,pending,,pending,,pending,,,,
twist27p5_rise3p100,27.500,3.100,pending,,pending,,pending,,,,
twist28p0_rise3p100,28.000,3.100,pending,,pending,,pending,,,,
twist28p5_rise3p100,28.500,3.100,pending,,pending,,pending,,,,
twist29p0_rise3p100,29.000,3.100,pending,,pending,,pending,,,,
twist29p5_rise3p100,29.500,3.100,pending,,pending,,pending,,,,
twist30p0_rise3p100,30.000,3.100,pending,,pending,,pending,,,,
twist30p5_rise3p100,30.500,3.100,pending,,pending,,pending,,,,
twist31p0_rise3p100,31.000,3.100,pending,,pending,,pending,,,,
twist31p5_rise3p100,31.500,3.100,pending,,pending,,pending,,,,
twist32p0_rise3p100,32.000,3.100,pending,,pending,,pending,,,,
twist32p5_rise3p100,32.500,3.100,pending,,pending,,pending,,,,
twist33p0_rise3p100,33.000,3.100,pending,,pending,,pending,,,,
twist33p5_rise3p100,33.500,3.100,pending,,pending,,pending,,,,
twist34p0_rise3p100,34.000,3.100,pending,,pending,,pending,,,,
twist34p5_rise3p100,34.500,3.100,pending,,pending,,pending,,,,
twist35p0_rise3p100,35.000,3.100,pending,,pending,,pending,,,,
twist35p5_rise3p100,35.500,3.100,pending,,pending,,pending,,,,
twist36p0_rise3p100,36.000,3.100,pending,,pending,,pending,,,,
twist36p5_rise3p100,36.500,3.100,pending,,pending,,pending,,,,
twist37p0_rise3p100,37.000,3.100,pending,,pending,,pending,,,,
twist37p5_rise3p100,37.500,3.100,pending,,pending,,pending,,,,
twist38p0_rise3p100,38.000,3.100,pending,,pending,,pending,,,,
twist38p5_rise3p100,38.500,3.100,pending,,pending,,pending,,,,
twist39p0_rise3p100,39.000,3.100,pending,,pending,,pending,,,,
twist39p5_rise3p100,39.500,3.100,pending,,pending,,pending,,,,
twist40p0_rise3p100,40.000,3.100,pending,,pending,,pending,,,,
twist20p0_rise3p150,20.000,3.150,pending,,pending,,pending,,,,
twist20p5_rise3p150,20.500,3.150,pending,,pending,,pending,,,,
twist21p0_rise3p150,21.000,3.150,pending,,pending,,pending,,,,
twist21p5_rise3p150,21.500,3.150,pending,,pending,,pending,,,,
twist22p0_rise3p150,22.000,3.150,pending,,pending,,pending,,,,
twist22p5_rise3p150,22.500,3.150,pending,,pending,,pending,,,,
twist23p0_rise3p150,23.000,3.150,pending,,pending,,pending,,,,
twist23p5_rise3p150,23.500,3.150,pending,,pending,,pending,,,,
twist24p0_rise3p150,24.000,3.150,pending,,pending,,pending,,,,
twist24p5_rise3p150,24.500,3.150,pending,,pending,,pending,,,,
twist25p0_rise3p150,25.000,3.150,pending,,pending,,pending,,,,
twist25p5_rise3p150,25.500,3.150,pending,,pending,,pending,,,,
twist26p0_rise3p150,26.000,3.150,pending,,pending,,pending,,,,
twist26p5_rise3p150,26.500,3.150,pending,,pending,,pending,,,,
twist27p0_rise3p150,27.000,3.150,pending,,pending,,pending,,,,
twist27p5_rise3p150,27.500,3.150,pending,,pending,,pending,,,,
twist28p0_rise3p150,28.000,3.150,pending,,pending,,pending,,,,
twist28p5_rise3p150,28.500,3.150,pending,,pending,,pending,,,,
twist29p0_rise3p150,29.000,3.150,pending,,pending,,pending,,,,
twist29p5_rise3p150,29.500,3.150,pending,,pending,,pending,,,,
twist30p0_rise3p150,30.000,3.150,pending,,pending,,pending,,,,
twist30p5_rise3p150,30.500,3.150,pending,,pending,,pending,,,,
twist31p0_rise3p150,31.000,3.150,pending,,pending,,pending,,,,
twist31p5_rise3p150,31.500,3.150,pending,,pending,,pending,,,,
twist32p0_rise3p150,32.000,3.150,pending,,pending,,pending,,,,
twist32p5_rise3p150,32.500,3.150,pending,,pending,,pending,,,,
twist33p0_rise3p150,33.000,3.150,pending,,pending,,pending,,,,
twist33p5_rise3p150,33.500,3.150,pending,,pending,,pending,,,,
twist34p0_rise3p150,34.000,3.150,pending,,pending,,pending,,,,
twist34p5_rise3p150,34.500,3.150,pending,,pending,,pending,,,,
twist35p0_rise3p150,35.000,3.150,pending,,pending,,pending,,,,
twist35p5_rise3p150,35.500,3.150,pending,,pending,,pending,,,,
twist36p0_rise3p150,36.000,3.150,pending,,pending,,pending,,,,
twist36p5_rise3p150,36.500,3.150,pending,,pending,,pending,,,,
twist37p0_rise3p150,37.000,3.150,pending,,pending,,pending,,,,
twist37p5_rise3p150,37.500,3.150,pending,,pending,,pending,,,,
twist38p0_rise3p150,38.000,3.150,pending,,pending,,pending,,,,
twist38p5_rise3p150,38.500,3.150,pending,,pending,,pending,,,,
twist39p0_rise3p150,39.000,3.150,pending,,pending,,pending,,,,
twist39p5_rise3p150,39.500,3.150,pending,,pending,,pending,,,,
twist40p0_rise3p150,40.000,3.150,pending,,pending,,pending,,,,
twist20p0_rise3p200,20.000,3.200,pending,,pending,,pending,,,,
twist20p5_rise3p200,20.500,3.200,pending,,pending,,pending,,,,
twist21p0_rise3p200,21.000,3.200,pending,,pending,,pending,,,,
twist21p5_rise3p200,21.500,3.200,pending,,pending,,pending,,,,
twist22p0_rise3p200,22.000,3.200,pending,,pending,,pending,,,,
twist22p5_rise3p200,22.500,3.200,pending,,pending,,pending,,,,
twist23p0_rise3p200,23.000,3.200,pending,,pending,,pending,,,,
twist23p5_rise3p200,23.500,3.200,pending,,pending,,pending,,,,
twist24p0_rise3p200,24.000,3.200,pending,,pending,,pending,,,,
twist24p5_rise3p200,24.500,3.200,pending,,pending,,pending,,,,
twist25p0_rise3p200,25.000,3.200,pending,,pending,,pending,,,,
twist25p5_rise3p200,25.500,3.200,pending,,pending,,pending,,,,
twist26p0_rise3p200,26.000,3.200,pending,,pending,,pending,,,,
twist26p5_rise3p200,26.500,3.200,pending,,pending,,pending,,,,
twist27p0_rise3p200,27.000,3.200,pending,,pending,,pending,,,,
twist27p5_rise3p200,27.500,3.200,pending,,pending,,pending,,,,
twist28p0_rise3p200,28.000,3.200,pending,,pending,,pending,,,,
twist28p5_rise3p200,28.500,3.200,pending,,pending,,pending,,,,
twist29p0_rise3p200,29.000,3.200,pending,,pending,,pending,,,,
twist29p5_rise3p200,29.500,3.200,pending,,pending,,pending,,,,
twist30p0_rise3p200,30.000,3.200,pending,,pending,,pending,,,,
twist30p5_rise3p200,30.500,3.200,pending,,pending,,pending,,,,
twist31p0_rise3p200,31.000,3.200,pending,,pending,,pending,,,,
twist31p5_rise3p200,31.500,3.200,pending,,pending,,pending,,,,
twist32p0_rise3p200,32.000,3.200,pending,,pending,,pending,,,,
twist32p5_rise3p200,32.500,3.200,pending,,pending,,pending,,,,
twist33p0_rise3p200,33.000,3.200,pending,,pending,,pending,,,,
twist33p5_rise3p200,33.500,3.200,pending,,pending,,pending,,,,
twist34p0_rise3p200,34.000,3.200,pending,,pending,,pending,,,,
twist34p5_rise3p200,34.500,3.200,pending,,pending,,pending,,,,
twist35p0_rise3p200,35.000,3.200,pending,,pending,,pending,,,,
twist35p5_rise3p200,35.500,3.200,pending,,pending,,pending,,,,
twist36p0_rise3p200,36.000,3.200,pending,,pending,,pending,,,,
twist36p5_rise3p200,36.500,3.200,pending,,pending,,pending,,,,
twist37p0_rise3p200,37.000,3.200,pending,,pending,,pending,,,,
twist37p5_rise3p200,37.500,3.200,pending,,pending,,pending,,,,
twist38p0_rise3p200,38.000,3.200,pending,,pending,,pending,,,,
twist38p5_rise3p200,38.500,3.200,pending,,pending,,pending,,,,
twist39p0_rise3p200,39.000,3.200,pending,,pending,,pending,,,,
twist39p5_rise3p200,39.500,3.200,pending,,pending,,pending,,,,
twist40p0_rise3p200,40.000,3.200,pending,,pending,,pending,,,,
twist20p0_rise3p250,20.000,3.250,pending,,pending,,pending,,,,
twist20p5_rise3p250,20.500,3.250,pending,,pending,,pending,,,,
twist21p0_rise3p250,21.000,3.250,pending,,pending,,pending,,,,
twist21p5_rise3p250,21.500,3.250,pending,,pending,,pending,,,,
twist22p0_rise3p250,22.000,3.250,pending,,pending,,pending,,,,
twist22p5_rise3p250,22.500,3.250,pending,,pending,,pending,,,,
twist23p0_rise3p250,23.000,3.250,pending,,pending,,pending,,,,
twist23p5_rise3p250,23.500,3.250,pending,,pending,,pending,,,,
twist24p0_rise3p250,24.000,3.250,pending,,pending,,pending,,,,
twist24p5_rise3p250,24.500,3.250,pending,,pending,,pending,,,,
twist25p0_rise3p250,25.000,3.250,pending,,pending,,pending,,,,
twist25p5_rise3p250,25.500,3.250,pending,,pending,,pending,,,,
twist26p0_rise3p250,26.000,3.250,pending,,pending,,pending,,,,
twist26p5_rise3p250,26.500,3.250,pending,,pending,,pending,,,,
twist27p0_rise3p250,27.000,3.250,pending,,pending,,pending,,,,
twist27p5_rise3p250,27.500,3.250,pending,,pending,,pending,,,,
twist28p0_rise3p250,28.000,3.250,pending,,pending,,pending,,,,
twist28p5_rise3p250,28.500,3.250,pending,,pending,,pending,,,,
twist29p0_rise3p250,29.000,3.250,pending,,pending,,pending,,,,
twist29p5_rise3p250,29.500,3.250,pending,,pending,,pending,,,,
twist30p0_rise3p250,30.000,3.250,pending,,pending,,pending,,,,
twist30p5_rise3p250,30.500,3.250,pending,,pending,,pending,,,,
twist31p0_rise3p250,31.000,3.250,pending,,pending,,pending,,,,
twist31p5_rise3p250,31.500,3.250,pending,,pending,,pending,,,,
twist32p0_rise3p250,32.000,3.250,pending,,pending,,pending,,,,
twist32p5_rise3p250,32.500,3.250,pending,,pending,,pending,,,,
twist33p0_rise3p250,33.000,3.250,pending,,pending,,pending,,,,
twist33p5_rise3p250,33.500,3.250,pending,,pending,,pending,,,,
twist34p0_rise3p250,34.000,3.250,pending,,pending,,pending,,,,
twist34p5_rise3p250,34.500,3.250,pending,,pending,,pending,,,,
twist35p0_rise3p250,35.000,3.250,pending,,pending,,pending,,,,
twist35p5_rise3p250,35.500,3.250,pending,,pending,,pending,,,,
twist36p0_rise3p250,36.000,3.250,pending,,pending,,pending,,,,
twist36p5_rise3p250,36.500,3.250,pending,,pending,,pending,,,,
twist37p0_rise3p250,37.000,3.250,pending,,pending,,pending,,,,
twist37p5_rise3p250,37.500,3.250,pending,,pending,,pending,,,,
twist38p0_rise3p250,38.000,3.250,pending,,pending,,pending,,,,
twist38p5_rise3p250,38.500,3.250,pending,,pending,,pending,,,,
twist39p0_rise3p250,39.000,3.250,pending,,pending,,pending,,,,
twist39p5_rise3p250,39.500,3.250,pending,,pending,,pending,,,,
twist40p0_rise3p250,40.000,3.250,pending,,pending,,pending,,,,
twist20p0_rise3p300,20.000,3.300,pending,,pending,,pending,,,,
twist20p5_rise3p300,20.500,3.300,pending,,pending,,pending,,,,
twist21p0_rise3p300,21.000,3.300,pending,,pending,,pending,,,,
twist21p5_rise3p300,21.500,3.300,pending,,pending,,pending,,,,
twist22p0_rise3p300,22.000,3.300,pending,,pending,,pending,,,,
twist22p5_rise3p300,22.500,3.300,pending,,pending,,pending,,,,
twist23p0_rise3p300,23.000,3.300,pending,,pending,,pending,,,,
twist23p5_rise3p300,23.500,3.300,pending,,pending,,pending,,,,
twist24p0_rise3p300,24.000,3.300,pending,,pending,,pending,,,,
twist24p5_rise3p300,24.500,3.300,pending,,pending,,pending,,,,
twist25p0_rise3p300,25.000,3.300,pending,,pending,,pending,,,,
twist25p5_rise3p300,25.500,3.300,pending,,pending,,pending,,,,
twist26p0_rise3p300,26.000,3.300,pending,,pending,,pending,,,,
twist26p5_rise3p300,26.500,3.300,pending,,pending,,pending,,,,
twist27p0_rise3p300,27.000,3.300,pending,,pending,,pending,,,,
twist27p5_rise3p300,27.500,3.300,pending,,pending,,pending,,,,
twist28p0_rise3p300,28.000,3.300,pending,,pending,,pending,,,,
twist28p5_rise3p300,28.500,3.300,pending,,pending,,pending,,,,
twist29p0_rise3p300,29.000,3.300,pending,,pending,,pending,,,,
twist29p5_rise3p300,29.500,3.300,pending,,pending,,pending,,,,
twist30p0_rise3p300,30.000,3.300,pending,,pending,,pending,,,,
twist30p5_rise3p300,30.500,3.300,pending,,pending,,pending,,,,
twist31p0_rise3p300,31.000,3.300,pending,,pending,,pending,,,,
twist31p5_rise3p300,31.500,3.300,pending,,pending,,pending,,,,
twist32p0_rise3p300,32.000,3.300,pending,,pending,,pending,,,,
twist32p5_rise3p300,32.500,3.300,pending,,pending,,pending,,,,
twist33p0_rise3p300,33.000,3.300,pending,,pending,,pending,,,,
twist33p5_rise3p300,33.500,3.300,pending,,pending,,pending,,,,
twist34p0_rise3p300,34.000,3.300,pending,,pending,,pending,,,,
twist34p5_rise3p300,34.500,3.300,pending,,pending,,pending,,,,
twist35p0_rise3p300,35.000,3.300,pending,,pending,,pending,,,,
twist35p5_rise3p300,35.500,3.300,pending,,pending,,pending,,,,
twist36p0_rise3p300,36.000,3.300,pending,,pending,,pending,,,,
twist36p5_rise3p300,36.500,3.300,pending,,pending,,pending,,,,
twist37p0_rise3p300,37.000,3.300,pending,,pending,,pending,,,,
twist37p5_rise3p300,37.500,3.300,pending,,pending,,pending,,,,
twist38p0_rise3p300,38.000,3.300,pending,,pending,,pending,,,,
twist38p5_rise3p300,38.500,3.300,pending,,pending,,pending,,,,
twist39p0_rise3p300,39.000,3.300,pending,,pending,,pending,,,,
twist39p5_rise3p300,39.500,3.300,pending,,pending,,pending,,,,
twist40p0_rise3p300,40.000,3.300,pending,,pending,,pending,,,,
twist20p0_rise3p350,20.000,3.350,pending,,pending,,pending,,,,
twist20p5_rise3p350,20.500,3.350,pending,,pending,,pending,,,,
twist21p0_rise3p350,21.000,3.350,pending,,pending,,pending,,,,
twist21p5_rise3p350,21.500,3.350,pending,,pending,,pending,,,,
twist22p0_rise3p350,22.000,3.350,pending,,pending,,pending,,,,
twist22p5_rise3p350,22.500,3.350,pending,,pending,,pending,,,,
twist23p0_rise3p350,23.000,3.350,pending,,pending,,pending,,,,
