angle_deg,candidate_id,structure_file,asem_profile_file,asem_profile_exists,our_stage1_radial_profile,our_stage2_radial_profile_if_selected,correlation_status,notes
18,cand0,inputs/asem_sidechains_20260625/raw/18/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand1,inputs/asem_sidechains_20260625/raw/18/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand2,inputs/asem_sidechains_20260625/raw/18/cand2/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand3,inputs/asem_sidechains_20260625/raw/18/cand3/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand4,inputs/asem_sidechains_20260625/raw/18/cand4/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand5,inputs/asem_sidechains_20260625/raw/18/cand5/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand6,inputs/asem_sidechains_20260625/raw/18/cand6/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand7,inputs/asem_sidechains_20260625/raw/18/cand7/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand8,inputs/asem_sidechains_20260625/raw/18/cand8/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand9,inputs/asem_sidechains_20260625/raw/18/cand9/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand10,inputs/asem_sidechains_20260625/raw/18/cand10/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand11,inputs/asem_sidechains_20260625/raw/18/cand11/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand12,inputs/asem_sidechains_20260625/raw/18/cand12/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand13,inputs/asem_sidechains_20260625/raw/18/cand13/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
18,cand14,inputs/asem_sidechains_20260625/raw/18/cand14/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
19,cand0,inputs/asem_sidechains_20260625/raw/19/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
19,cand1,inputs/asem_sidechains_20260625/raw/19/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
19,cand2,inputs/asem_sidechains_20260625/raw/19/cand2/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
20,cand0,inputs/asem_sidechains_20260625/raw/20/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
21,cand0,inputs/asem_sidechains_20260625/raw/21/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
21,cand1,inputs/asem_sidechains_20260625/raw/21/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
22,cand0,inputs/asem_sidechains_20260625/raw/22/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
23,cand0,inputs/asem_sidechains_20260625/raw/23/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
23,cand1,inputs/asem_sidechains_20260625/raw/23/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
23,cand2,inputs/asem_sidechains_20260625/raw/23/cand2/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
23,cand3,inputs/asem_sidechains_20260625/raw/23/cand3/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
24,cand0,inputs/asem_sidechains_20260625/raw/24/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
24,cand1,inputs/asem_sidechains_20260625/raw/24/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand0,inputs/asem_sidechains_20260625/raw/25/cand0/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand1,inputs/asem_sidechains_20260625/raw/25/cand1/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand2,inputs/asem_sidechains_20260625/raw/25/cand2/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand3,inputs/asem_sidechains_20260625/raw/25/cand3/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand4,inputs/asem_sidechains_20260625/raw/25/cand4/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand5,inputs/asem_sidechains_20260625/raw/25/cand5/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand6,inputs/asem_sidechains_20260625/raw/25/cand6/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand7,inputs/asem_sidechains_20260625/raw/25/cand7/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand8,inputs/asem_sidechains_20260625/raw/25/cand8/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand9,inputs/asem_sidechains_20260625/raw/25/cand9/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand10,inputs/asem_sidechains_20260625/raw/25/cand10/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand11,inputs/asem_sidechains_20260625/raw/25/cand11/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand12,inputs/asem_sidechains_20260625/raw/25/cand12/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand13,inputs/asem_sidechains_20260625/raw/25/cand13/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand14,inputs/asem_sidechains_20260625/raw/25/cand14/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand15,inputs/asem_sidechains_20260625/raw/25/cand15/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand16,inputs/asem_sidechains_20260625/raw/25/cand16/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand17,inputs/asem_sidechains_20260625/raw/25/cand17/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand18,inputs/asem_sidechains_20260625/raw/25/cand18/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand19,inputs/asem_sidechains_20260625/raw/25/cand19/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand20,inputs/asem_sidechains_20260625/raw/25/cand20/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand21,inputs/asem_sidechains_20260625/raw/25/cand21/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand22,inputs/asem_sidechains_20260625/raw/25/cand22/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand23,inputs/asem_sidechains_20260625/raw/25/cand23/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
25,cand24,inputs/asem_sidechains_20260625/raw/25/cand24/initial.pdb,,no,,,no_asem_profile_file_found,Raw import and tleap_structures.zip contain structures only; per_angle_overlays.png has angle-level unlabeled traces. No corrected radial profile was generated in the current Stage 1/2 scope.
