angle_deg,candidate_id,candidate_dir,structure_file,structure_file_type,structure_file_size,atom_count,has_pdb,has_xyz,has_mol2,has_prmtop,has_inpcrd,notes
28,cand15,28\cand15,28\cand15\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand16,28\cand16,28\cand16\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand17,28\cand17,28\cand17\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand18,28\cand18,28\cand18\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand19,28\cand19,28\cand19\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand2,28\cand2,28\cand2\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand20,28\cand20,28\cand20\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand21,28\cand21,28\cand21\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand22,28\cand22,28\cand22\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand23,28\cand23,28\cand23\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand24,28\cand24,28\cand24\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand25,28\cand25,28\cand25\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand26,28\cand26,28\cand26\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand27,28\cand27,28\cand27\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand28,28\cand28,28\cand28\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand29,28\cand29,28\cand29\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand3,28\cand3,28\cand3\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand4,28\cand4,28\cand4\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand5,28\cand5,28\cand5\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand6,28\cand6,28\cand6\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand7,28\cand7,28\cand7\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand8,28\cand8,28\cand8\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
28,cand9,28\cand9,28\cand9\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand0,29\cand0,29\cand0\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand1,29\cand1,29\cand1\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand10,29\cand10,29\cand10\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand11,29\cand11,29\cand11\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand12,29\cand12,29\cand12\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand13,29\cand13,29\cand13\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand14,29\cand14,29\cand14\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand2,29\cand2,29\cand2\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand3,29\cand3,29\cand3\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand4,29\cand4,29\cand4\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand5,29\cand5,29\cand5\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand6,29\cand6,29\cand6\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand7,29\cand7,29\cand7\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand8,29\cand8,29\cand8\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
29,cand9,29\cand9,29\cand9\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand0,30\cand0,30\cand0\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand1,30\cand1,30\cand1\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand10,30\cand10,30\cand10\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand11,30\cand11,30\cand11\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand2,30\cand2,30\cand2\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand3,30\cand3,30\cand3\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand4,30\cand4,30\cand4\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand5,30\cand5,30\cand5\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand6,30\cand6,30\cand6\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand7,30\cand7,30\cand7\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand8,30\cand8,30\cand8\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
30,cand9,30\cand9,30\cand9\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand0,31\cand0,31\cand0\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand1,31\cand1,31\cand1\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand10,31\cand10,31\cand10\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand11,31\cand11,31\cand11\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand12,31\cand12,31\cand12\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand13,31\cand13,31\cand13\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand14,31\cand14,31\cand14\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand15,31\cand15,31\cand15\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand16,31\cand16,31\cand16\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand17,31\cand17,31\cand17\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand18,31\cand18,31\cand18\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand19,31\cand19,31\cand19\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand2,31\cand2,31\cand2\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand20,31\cand20,31\cand20\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand21,31\cand21,31\cand21\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand3,31\cand3,31\cand3\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand4,31\cand4,31\cand4\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand5,31\cand5,31\cand5\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand6,31\cand6,31\cand6\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand7,31\cand7,31\cand7\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand8,31\cand8,31\cand8\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
31,cand9,31\cand9,31\cand9\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand0,32\cand0,32\cand0\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand1,32\cand1,32\cand1\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand2,32\cand2,32\cand2\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand3,32\cand3,32\cand3\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand4,32\cand4,32\cand4\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand5,32\cand5,32\cand5\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
32,cand6,32\cand6,32\cand6\initial.pdb,pdb,255319,3810,yes,no,no,no,no,
