motif_type,count
GLU-GLU,0
GLU-any,0
backbone_O_to_GLU_sidechain_O,0
GLU_sidechain_O_to_GLU_sidechain_O,0
backbone_N_to_GLU_sidechain_O,0
other_GLU_contact,0
