candidate_id,candidate_label,model_path,profile_path,target_id,target_d_angstrom,target_q_inv_angstrom,confidence,diagnostic_window,window_half_width_angstrom,matched,matched_d_angstrom,matched_q_inv_angstrom,abs_d_error_angstrom,fractional_d_error,window_point_count,window_max_intensity,candidate_match_count,candidate_diagnostic_match_count,candidate_mean_abs_d_error_angstrom,candidate_mean_fractional_d_error,candidate_rank_score
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,d_broad_7p3,7.33,0.857773,lower,no,0.25,yes,7.386101,0.850677,0.061101,0.008341,1,2472171.700580,4,2,0.066163,0.013826,4.986174
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,d_5p56,5.58,1.126625,lower,no,0.15,yes,5.637662,1.114502,0.060662,0.010877,1,3661544.131017,4,2,0.066163,0.013826,4.986174
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,d_4p40,4.40,1.427672,medium_high,yes,0.10,yes,4.310904,1.457510,0.090096,0.020472,1,1744215.615801,4,2,0.066163,0.013826,4.986174
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,d_3p80,3.79,1.655648,medium_high,yes,0.08,no,3.814665,1.647113,0.019665,0.005182,0,,4,2,0.066163,0.013826,4.986174
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,d_3p39_stacking,3.38,1.858381,medium_high,yes,0.06,yes,3.328208,1.887858,0.052792,0.015614,1,2169319.123330,4,2,0.066163,0.013826,4.986174
central12_units_30deg,12-unit central 30-degree model,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,d_broad_7p3,7.33,0.857773,lower,no,0.25,yes,7.386101,0.850677,0.061101,0.008341,1,4213760.813603,5,3,0.061268,0.013258,6.486742
central12_units_30deg,12-unit central 30-degree model,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,d_5p56,5.58,1.126625,lower,no,0.15,yes,5.637662,1.114502,0.060662,0.010877,1,6241424.360094,5,3,0.061268,0.013258,6.486742
central12_units_30deg,12-unit central 30-degree model,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,d_4p40,4.40,1.427672,medium_high,yes,0.10,yes,4.310904,1.457510,0.090096,0.020472,1,3057479.354112,5,3,0.061268,0.013258,6.486742
central12_units_30deg,12-unit central 30-degree model,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,d_3p80,3.79,1.655648,medium_high,yes,0.08,yes,3.753313,1.674037,0.041687,0.010985,1,2182698.550768,5,3,0.061268,0.013258,6.486742
central12_units_30deg,12-unit central 30-degree model,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,d_3p39_stacking,3.38,1.858381,medium_high,yes,0.06,yes,3.328208,1.887858,0.052792,0.015614,1,4033803.854031,5,3,0.061268,0.013258,6.486742
full_length_twist_30,Full-length anti-parallel 30-degree model,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,d_broad_7p3,7.33,0.857773,lower,no,0.25,no,7.386101,0.850677,0.061101,0.008341,0,,3,2,0.067850,0.015654,3.984346
full_length_twist_30,Full-length anti-parallel 30-degree model,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,d_5p56,5.58,1.126625,lower,no,0.15,yes,5.637662,1.114502,0.060662,0.010877,1,8135811.112031,3,2,0.067850,0.015654,3.984346
full_length_twist_30,Full-length anti-parallel 30-degree model,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,d_4p40,4.40,1.427672,medium_high,yes,0.10,yes,4.310904,1.457510,0.090096,0.020472,1,3869140.308052,3,2,0.067850,0.015654,3.984346
full_length_twist_30,Full-length anti-parallel 30-degree model,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,d_3p80,3.79,1.655648,medium_high,yes,0.08,no,3.814665,1.647113,0.019665,0.005182,0,,3,2,0.067850,0.015654,3.984346
