unit_count,sample_id,ensemble_type,chain_count,total_atom_count,radius_of_gyration_A,interchain_centroid_mean_distance_A,interchain_centroid_min_distance_A,RMSD_to_formed_seed_A,contact_fraction_vs_target,number_of_target_contacts,number_of_contacts_present,CYP_MEP_contact_fraction_vs_target,backbone_contact_fraction_vs_target,axial_extent_A,radial_extent_A,helical_axis_alignment_score,axial_register_score,angular_phase_order_score,refined_angular_phase_score,compactness_score,seed_formation_score,notes,warnings
4,central4_formed_perturbed_0000,formed_perturbed,6,948,11.414385,12.231269,7.407932,0.633538,0.724806,1032,748,0.758149,0.397436,33.016865,17.682960,0.057460,0.877964,0.983711,0.999328,0.998764,0.894557,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0001,formed_perturbed,6,948,11.413649,12.266425,7.935821,0.477318,0.796512,1032,822,0.791798,0.858974,33.237656,18.074026,0.654290,0.935575,0.988637,0.999672,0.998828,0.926481,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0002,formed_perturbed,6,948,11.451183,12.332269,7.514343,0.606834,0.706395,1032,729,0.713985,0.628205,33.237196,16.909764,0.921552,0.947270,0.938214,0.993025,0.995554,0.895840,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0003,formed_perturbed,6,948,11.490950,12.422445,8.009604,0.518110,0.760659,1032,785,0.759201,0.769231,33.809035,17.996221,0.931410,0.879859,0.967806,0.996244,0.992109,0.901308,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0004,formed_perturbed,6,948,11.348825,12.125100,7.151169,0.527399,0.845930,1032,873,0.851735,0.794872,32.994735,18.078707,0.976201,0.925957,0.972748,0.999245,1.000000,0.929844,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0005,formed_perturbed,6,948,11.436700,12.291028,7.591398,0.592782,0.742248,1032,766,0.733964,0.858974,33.713044,17.529657,0.997801,0.866736,0.934770,0.996686,0.996815,0.886916,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0006,formed_perturbed,6,948,11.376349,12.162119,7.628002,0.592412,0.834302,1032,861,0.840168,0.769231,33.685987,16.955389,0.988495,0.889162,0.965912,0.997104,1.000000,0.916689,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0007,formed_perturbed,6,948,11.414422,12.253325,7.476226,0.576910,0.749031,1032,773,0.791798,0.346154,33.694882,17.845735,0.985759,0.895119,0.985382,0.999402,0.998761,0.904969,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0008,formed_perturbed,6,948,11.443813,12.298574,7.694195,0.565915,0.785853,1032,811,0.786540,0.743590,33.511265,17.507823,0.892795,0.915863,0.977146,0.998527,0.996195,0.914676,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0009,formed_perturbed,6,948,11.272521,11.952310,7.105864,0.600063,0.826550,1032,853,0.820189,0.846154,33.246529,17.092897,0.836519,0.913451,0.959755,0.997119,1.000000,0.918521,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0010,formed_perturbed,6,948,11.557841,12.537779,8.100929,0.560661,0.841085,1032,868,0.848580,0.782051,33.932371,17.671181,0.719396,0.876890,0.989062,0.999646,0.986367,0.918516,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0011,formed_perturbed,6,948,11.443445,12.310016,7.538702,0.513537,0.799419,1032,825,0.825447,0.564103,33.223735,18.695058,0.502556,0.911390,0.981315,0.998944,0.996227,0.919042,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0012,formed_perturbed,6,948,11.486327,12.401916,8.239436,0.438342,0.899225,1032,928,0.890641,0.987179,33.749793,18.145456,0.821011,0.894812,0.971431,0.999157,0.992508,0.935475,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0013,formed_perturbed,6,948,11.403170,12.242498,7.409690,0.768265,0.659884,1032,681,0.676130,0.564103,33.737616,17.436488,0.798282,0.838562,0.955699,0.997762,0.999746,0.864141,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0014,formed_perturbed,6,948,11.503116,12.417206,7.392566,0.593973,0.791667,1032,817,0.784437,0.846154,33.870239,17.805647,0.998101,0.883095,0.982817,0.999528,0.991060,0.908491,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0015,formed_perturbed,6,948,11.316817,12.062603,7.049018,0.684196,0.815891,1032,842,0.807571,0.871795,33.316008,17.572965,0.998946,0.922100,0.973873,0.998712,1.000000,0.918299,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0016,formed_perturbed,6,948,11.386078,12.200835,7.420968,0.452873,0.873062,1032,901,0.880126,0.833333,33.677809,17.512510,0.990907,0.897294,0.959629,0.998070,1.000000,0.929387,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0017,formed_perturbed,6,948,11.380414,12.198910,8.056000,0.483300,0.854651,1032,882,0.852787,0.871795,33.087271,17.933923,0.429623,0.886477,0.968880,0.998050,1.000000,0.924374,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0018,formed_perturbed,6,948,11.556937,12.542319,8.029575,0.699173,0.751938,1032,776,0.751840,0.743590,33.570525,18.563083,0.384835,0.938724,0.967821,0.998362,0.986444,0.904450,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0019,formed_perturbed,6,948,11.714101,12.852839,7.989881,0.695601,0.694767,1032,717,0.713985,0.525641,34.175833,18.162156,0.658328,0.875883,0.973592,0.998135,0.973209,0.879064,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0020,formed_perturbed,6,948,11.551443,12.531052,7.060183,0.737246,0.751938,1032,776,0.748686,0.756410,34.310995,17.671363,0.994094,0.834207,0.987402,0.999468,0.986913,0.886392,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0021,formed_perturbed,6,948,11.505927,12.432468,7.563602,0.519453,0.799419,1032,825,0.815983,0.653846,33.717334,17.908600,0.971902,0.906354,0.982655,0.999205,0.990818,0.917026,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0022,formed_perturbed,6,948,11.300486,12.000991,7.054400,0.560361,0.875000,1032,903,0.872766,0.884615,32.888746,17.278651,0.578735,0.875216,0.975730,0.998274,1.000000,0.925034,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0023,formed_perturbed,6,948,11.417168,12.250658,8.073573,0.449803,0.852713,1032,880,0.867508,0.730769,33.507133,17.713742,0.769642,0.911505,0.978236,0.999237,0.998520,0.931688,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_formed_perturbed_0024,formed_perturbed,6,948,11.410503,12.259440,7.404159,0.499585,0.800388,1032,826,0.784437,0.948718,33.294263,17.604396,0.769630,0.884721,0.980550,0.998967,0.999104,0.914784,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0000,loose_initial,6,948,21.432885,28.151363,9.260667,14.449339,0.066860,1032,69,0.045216,0.282051,37.583977,30.144442,0.171786,0.612312,0.992751,0.999861,0.531906,0.492181,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0001,loose_initial,6,948,21.671023,28.984781,8.238902,13.819806,0.057171,1032,59,0.052576,0.102564,41.444527,28.671928,0.150431,0.376018,0.968121,0.999854,0.526061,0.438609,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0002,loose_initial,6,948,21.012349,27.530059,8.177884,14.554096,0.013566,1032,14,0.014721,0.000000,34.458532,27.051014,0.012364,0.575806,0.990006,0.999881,0.542551,0.475526,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0003,loose_initial,6,948,22.478035,29.888415,11.494711,14.949819,0.030039,1032,31,0.026288,0.051282,37.744476,29.557951,0.110179,0.516722,0.992313,0.999860,0.507174,0.459375,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0004,loose_initial,6,948,21.003756,27.931757,6.869892,13.567216,0.062984,1032,65,0.065195,0.064103,43.646451,26.694655,0.000400,0.346022,0.982744,0.999268,0.542773,0.440763,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0005,loose_initial,6,948,22.304411,29.474292,6.578542,14.664030,0.201550,1032,208,0.185068,0.358974,40.055053,35.473997,0.186436,0.309208,0.990365,0.999782,0.511122,0.453303,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0006,loose_initial,6,948,23.256434,30.963886,9.205344,16.101769,0.000000,1032,0,0.000000,0.000000,38.090646,27.452886,0.062409,0.434266,0.994494,0.999886,0.490199,0.431181,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0007,loose_initial,6,948,21.315920,28.144376,5.111332,13.765833,0.103682,1032,107,0.105152,0.076923,41.799623,25.099311,0.006190,0.368315,0.992471,0.999840,0.534824,0.453147,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0008,loose_initial,6,948,21.359905,28.235069,5.752399,13.778725,0.012597,1032,13,0.006309,0.064103,37.764182,30.070466,0.005015,0.371331,0.985847,0.999365,0.533723,0.433951,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0009,loose_initial,6,948,21.434540,28.224463,8.402071,14.391971,0.102713,1032,106,0.103049,0.064103,40.705676,23.244560,0.073588,0.444164,0.984475,0.999429,0.531865,0.464211,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0010,loose_initial,6,948,20.949002,27.168367,8.977881,13.963564,0.044574,1032,46,0.041009,0.089744,41.118894,26.284221,0.034573,0.484342,0.988895,0.999729,0.544192,0.465133,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0011,loose_initial,6,948,20.682295,27.783058,10.392920,13.229691,0.093992,1032,97,0.088328,0.153846,42.978322,23.693681,0.087731,0.366674,0.991696,0.999838,0.551209,0.455570,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0012,loose_initial,6,948,22.373600,29.793963,8.641593,15.087134,0.134690,1032,139,0.137750,0.102564,45.509352,26.282794,0.005598,0.360657,0.996783,0.999960,0.509541,0.450117,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0013,loose_initial,6,948,21.385170,28.945835,8.088949,13.253821,0.058140,1032,60,0.056782,0.064103,42.592979,33.114977,0.128549,0.338033,0.979181,0.999825,0.533093,0.436472,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0014,loose_initial,6,948,20.698029,26.847885,8.698421,13.683926,0.151163,1032,156,0.148265,0.205128,39.824267,26.534332,0.039121,0.536812,0.993576,0.999942,0.550790,0.499990,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0015,loose_initial,6,948,21.972017,28.683368,10.159967,15.165307,0.002907,1032,3,0.003155,0.000000,34.313443,30.108584,0.016937,0.498941,0.982501,0.999634,0.518854,0.450231,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0016,loose_initial,6,948,20.776198,26.960498,5.114718,13.917300,0.031977,1032,33,0.015773,0.179487,36.755927,26.917724,0.063991,0.498856,0.990265,0.999821,0.548718,0.466825,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0017,loose_initial,6,948,22.869084,30.435325,9.249877,15.181134,0.075581,1032,78,0.075710,0.089744,41.261823,32.509990,0.054642,0.501095,0.980996,0.999561,0.498502,0.460786,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0018,loose_initial,6,948,24.053906,32.377691,6.128052,16.550527,0.022287,1032,23,0.024185,0.000000,43.765219,31.762856,0.008361,0.349699,0.991157,0.999817,0.473947,0.413820,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0019,loose_initial,6,948,20.938980,26.903492,3.865755,13.942512,0.051357,1032,53,0.051525,0.038462,35.150428,26.057934,0.012555,0.428485,0.990473,0.999731,0.544452,0.455745,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0020,loose_initial,6,948,22.004733,29.123637,6.865990,14.434455,0.056202,1032,58,0.051525,0.102564,45.056066,26.878604,0.140824,0.396280,0.987232,0.999543,0.518083,0.443014,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0021,loose_initial,6,948,22.603708,30.417752,9.300473,15.176668,0.013566,1032,14,0.008412,0.064103,47.899386,27.380796,0.151362,0.404063,0.987944,0.999689,0.504354,0.431548,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
4,central4_loose_initial_0022,loose_initial,6,948,20.977799,27.511146,9.778870,13.815183,0.075581,1032,78,0.073607,0.089744,35.359699,26.329456,0.065211,0.534133,0.984050,0.999639,0.543445,0.480590,contacts are evaluated in the sample frame using preserved atom indices; RMSD is separately rigid-aligned to the formed seed,
