model,feature_window,feature_group,window_center_d_A,window_min_d_A,window_max_d_A,simulated_peak_d_A,simulated_peak_intensity_norm,experimental_peak_d_A,experimental_peak_intensity_norm,peak_offset_d_A,window_area_simulated,window_area_experimental
ideal_16mer_antiparallel_30deg,3.4 A,primary,3.4,3.3,3.5,3.41583473048,0.1672543003,3.381,0.939561294337,0.0348347304828,0.00924415682505,0.145579534848
ideal_16mer_antiparallel_30deg,3.7 A,primary,3.7,3.6,3.8,3.79471639446,0.0171786178889,3.795,0.553671437461,-0.000283605539219,0.00160209779862,0.0660399424393
ideal_16mer_antiparallel_30deg,4.4 A,primary,4.4,4.3,4.5,4.34277828279,0.0168672582233,4.401,1,-0.0582217172089,0.00243247005096,0.173910547604
ideal_16mer_antiparallel_30deg,5.6 A,primary,5.6,5.5,5.7,5.58327265748,0.0205122756678,5.577,0.506922837586,0.00627265747814,0.00259644821034,0.0921098319851
ideal_16mer_antiparallel_30deg,7.25 A,primary,7.25,7,7.5,7.34311339524,0.0132520342606,7.325,0.40969197262,0.0181133952385,0.00337070319866,0.175837429994
ideal_16mer_antiparallel_30deg,3.0 A,optional,3,2.9,3.1,3.07477148552,0.0110191747821,3.095,0.0515712507778,-0.020228514475,0.000884107505373,0.00229873210952
ideal_16mer_antiparallel_30deg,4.1 A,optional,4.1,4,4.2,4.16388921441,0.010003539525,4.198,0.315494710641,-0.0341107855909,0.00128514759222,0.0162584007467
ideal_16mer_antiparallel_30deg,4.5-5.0 A,optional,4.75,4.5,5,4.53836680174,0.0179278266289,4.5,0.660003111388,0.0383668017393,0.00335376040779,0.0629276991288
ideal_16mer_antiparallel_30deg,5.5 A,optional,5.5,5.4,5.6,5.58327265748,0.0205122756678,5.577,0.506922837586,0.00627265747814,0.00252901864423,0.0755768123833
ideal_16mer_antiparallel_30deg,7.0 A,optional,7,6.8,7.2,7.07955639782,0.00723436120388,7.166,0.360843186061,-0.086443602184,0.00182812855232,0.0801477520224
ideal_16mer_antiparallel_30deg,8.4 A,optional,8.4,8.2,8.6,8.4458409689,0.0105532512644,8.206,0.106798382078,0.239840968896,0.0015448337912,0.0281979231487
