tolerance_setting,candidate_id,candidate_label,candidate_family,candidate_role,match_count,diagnostic_match_count,strict_survives,screen_survives,mean_abs_d_error_angstrom,mean_fractional_d_error,observed_recovery_score,predicted_unmatched_peak_count,predicted_unmatched_peak_fraction,discrimination_score,matched_targets,missed_diagnostic_targets
narrow,central6_units_30deg,"6-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,5,4,no,no,0.016716,0.004289,6.995711,5,0.416667,5.537378,7.90;4.33;3.90;3.71;3.35,
current,central6_units_30deg,"6-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,7,4,no,yes,0.049721,0.009426,8.990574,5,0.416667,7.532241,7.90;6.50;5.50;4.33;3.90;3.71;3.35,
broad,central6_units_30deg,"6-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,8,4,yes,yes,0.089513,0.014550,9.985450,5,0.416667,8.527117,7.90;7.30;6.50;5.50;4.33;3.90;3.71;3.35,
narrow,central7_units_30deg,"7-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,5,4,no,no,0.016716,0.004289,6.995711,5,0.416667,5.537378,7.90;4.33;3.90;3.71;3.35,
current,central7_units_30deg,"7-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,7,4,no,yes,0.049721,0.009426,8.990574,5,0.416667,7.532241,7.90;6.50;5.50;4.33;3.90;3.71;3.35,
broad,central7_units_30deg,"7-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,8,4,yes,yes,0.089513,0.014550,9.985450,5,0.416667,8.527117,7.90;7.30;6.50;5.50;4.33;3.90;3.71;3.35,
narrow,central8_units_30deg,"8-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,6,4,no,yes,0.026429,0.005065,7.994935,4,0.333333,6.828268,7.90;7.30;4.33;3.90;3.71;3.35,
current,central8_units_30deg,"8-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,8,4,yes,yes,0.052881,0.009366,9.990634,4,0.333333,8.823967,7.90;7.30;6.50;5.50;4.33;3.90;3.71;3.35,
broad,central8_units_30deg,"8-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,8,4,yes,yes,0.052881,0.009366,9.990634,4,0.333333,8.823967,7.90;7.30;6.50;5.50;4.33;3.90;3.71;3.35,
narrow,central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,6,4,no,yes,0.028280,0.005540,7.994460,4,0.333333,6.827794,7.90;7.30;4.33;3.90;3.71;3.35,
