unit_count,start_class,feature_group,feature_name,loose_sample_count,formed_reference_sample_count,loose_mean,formed_reference_mean,formed_reference_std,effective_reference_std,std_floor_used,signed_z_deviation,abs_z_deviation
5,radially_separated,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.000317,0.740000,0.110240,0.110240,false,-6.709732,6.709732
5,radially_separated,register_phase,axial_register_score,25,25,0.780387,0.885100,0.025358,0.025358,false,-4.129398,4.129398
5,radially_separated,register_phase,angular_phase_order_score,25,25,0.992966,0.954017,0.022542,0.022542,false,1.727828,1.727828
5,radially_separated,register_phase,refined_angular_phase_score,25,25,0.999900,0.992768,0.008617,0.008617,false,0.827708,0.827708
6,angular_randomized_loose_initial,geometric,RMSD_to_formed_seed_A,25,25,18.810436,0.627244,0.093073,0.093073,false,195.364626,195.364626
6,angular_randomized_loose_initial,geometric,compactness_score,25,25,0.583015,0.996296,0.004595,0.004595,false,-89.948590,89.948590
6,angular_randomized_loose_initial,geometric,radius_of_gyration_A,25,25,21.014221,12.238627,0.085408,0.085408,false,102.748511,102.748511
6,angular_randomized_loose_initial,geometric,radial_extent_A,25,25,31.965977,19.016909,0.287144,0.287144,false,45.096121,45.096121
6,angular_randomized_loose_initial,geometric,axial_extent_A,25,25,41.143835,33.667749,0.407632,0.407632,false,18.340287,18.340287
6,angular_randomized_loose_initial,geometric,helical_axis_alignment_score,25,25,0.160735,0.757174,0.256460,0.256460,false,-2.325657,2.325657
6,angular_randomized_loose_initial,contact_recovery,contact_fraction_vs_target,25,25,0.007540,0.798782,0.052824,0.052824,false,-14.978950,14.978950
6,angular_randomized_loose_initial,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.007053,0.803763,0.051347,0.051347,false,-15.516337,15.516337
6,angular_randomized_loose_initial,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.011818,0.749697,0.147784,0.147784,false,-4.992967,4.992967
6,angular_randomized_loose_initial,register_phase,axial_register_score,25,25,0.427480,0.892953,0.031662,0.031662,false,-14.701192,14.701192
6,angular_randomized_loose_initial,register_phase,angular_phase_order_score,25,25,0.546445,0.964478,0.014374,0.014374,false,-29.082520,29.082520
6,angular_randomized_loose_initial,register_phase,refined_angular_phase_score,25,25,0.739532,0.997317,0.002166,0.002166,false,-119.037513,119.037513
6,axially_misregistered,geometric,RMSD_to_formed_seed_A,25,25,16.502703,0.627244,0.093073,0.093073,false,170.569787,170.569787
6,axially_misregistered,geometric,compactness_score,25,25,0.543848,0.996296,0.004595,0.004595,false,-98.473122,98.473122
6,axially_misregistered,geometric,radius_of_gyration_A,25,25,22.536064,12.238627,0.085408,0.085408,false,120.566911,120.566911
6,axially_misregistered,geometric,radial_extent_A,25,25,32.675117,19.016909,0.287144,0.287144,false,47.565759,47.565759
6,axially_misregistered,geometric,axial_extent_A,25,25,53.837160,33.667749,0.407632,0.407632,false,49.479468,49.479468
6,axially_misregistered,geometric,helical_axis_alignment_score,25,25,0.106248,0.757174,0.256460,0.256460,false,-2.538114,2.538114
