unit_count,pair_id,t,compactness_score,contact_fraction_vs_target,CYP_MEP_contact_fraction_vs_target,axial_register_score,angular_phase_order_score,refined_angular_phase_score,rmsd_formedness_score,seed_formation_score,notes
4,1,0.900,0.948866,0.720446,0.716509,0.895114,0.989250,,0.846208,0.879976,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.950,0.973847,0.758479,0.754153,0.915345,0.988944,,0.879532,0.903229,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,1.000,0.998828,0.796512,0.791798,0.935575,0.988637,,0.912856,0.926481,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.000,0.507533,0.013566,0.005258,0.366292,0.991652,,0.245482,0.424905,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.050,0.532095,0.049128,0.042903,0.391876,0.991255,,0.277585,0.448388,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.100,0.556656,0.084690,0.080547,0.417459,0.990858,,0.309688,0.471870,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.150,0.581218,0.120252,0.118192,0.443043,0.990461,,0.341791,0.495353,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.200,0.605779,0.155814,0.155836,0.468626,0.990064,,0.373894,0.518835,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.250,0.630341,0.191376,0.193481,0.494210,0.989667,,0.405997,0.542318,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.300,0.654902,0.226938,0.231125,0.519794,0.989270,,0.438100,0.565801,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.350,0.679464,0.262500,0.268770,0.545377,0.988873,,0.470203,0.589283,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.400,0.704025,0.298062,0.306414,0.570961,0.988476,,0.502306,0.612766,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.450,0.728587,0.333624,0.344059,0.596544,0.988079,,0.534409,0.636248,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.500,0.753148,0.369186,0.381703,0.622128,0.987681,,0.566512,0.659731,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.550,0.777710,0.404748,0.419348,0.647712,0.987284,,0.598615,0.683214,linear interpolation in oriented order-parameter space; not atomistic dynamics
