bin_start_A,bin_end_A,pair_count
0.000000,0.100000,0
0.100000,0.200000,0
0.200000,0.300000,0
0.300000,0.400000,0
0.400000,0.500000,0
0.500000,0.600000,0
0.600000,0.700000,0
0.700000,0.800000,0
0.800000,0.900000,0
0.900000,1.000000,0
1.000000,1.100000,0
1.100000,1.200000,0
1.200000,1.300000,501
1.300000,1.400000,174
1.400000,1.500000,759
1.500000,1.600000,816
1.600000,1.700000,0
1.700000,1.800000,0
1.800000,1.900000,0
1.900000,2.000000,0
2.000000,2.100000,0
2.100000,2.200000,6
2.200000,2.300000,325
2.300000,2.400000,749
2.400000,2.500000,1605
2.500000,2.600000,504
2.600000,2.700000,219
2.700000,2.800000,450
2.800000,2.900000,630
2.900000,3.000000,45
3.000000,3.100000,135
3.100000,3.200000,270
3.200000,3.300000,267
3.300000,3.400000,134
3.400000,3.500000,421
3.500000,3.600000,952
3.600000,3.700000,1948
3.700000,3.800000,1534
3.800000,3.900000,966
3.900000,4.000000,345
4.000000,4.100000,1025
4.100000,4.200000,1129
4.200000,4.300000,1896
4.300000,4.400000,867
4.400000,4.500000,895
4.500000,4.600000,1067
4.600000,4.700000,1416
4.700000,4.800000,1230
4.800000,4.900000,1709
4.900000,5.000000,2105
5.000000,5.100000,1308
5.100000,5.200000,1744
5.200000,5.300000,1768
5.300000,5.400000,1236
5.400000,5.500000,1699
5.500000,5.600000,1818
5.600000,5.700000,2471
5.700000,5.800000,1647
5.800000,5.900000,1950
5.900000,6.000000,2156
6.000000,6.100000,2460
6.100000,6.200000,1819
6.200000,6.300000,1341
6.300000,6.400000,2627
6.400000,6.500000,2074
6.500000,6.600000,1666
6.600000,6.700000,2265
6.700000,6.800000,2677
6.800000,6.900000,3098
6.900000,7.000000,4332
7.000000,7.100000,2676
7.100000,7.200000,3147
7.200000,7.300000,4899
7.300000,7.400000,3259
7.400000,7.500000,2731
7.500000,7.600000,3006
7.600000,7.700000,3593
7.700000,7.800000,5705
7.800000,7.900000,4559
7.900000,8.000000,3614
8.000000,8.100000,3755
8.100000,8.200000,2228
8.200000,8.300000,3417
8.300000,8.400000,3931
8.400000,8.500000,5507
8.500000,8.600000,3055
8.600000,8.700000,3449
8.700000,8.800000,3784
8.800000,8.900000,3484
8.900000,9.000000,4150
9.000000,9.100000,3724
9.100000,9.200000,6184
9.200000,9.300000,4861
9.300000,9.400000,3544
9.400000,9.500000,3373
9.500000,9.600000,3692
9.600000,9.700000,4727
9.700000,9.800000,5506
9.800000,9.900000,4064
9.900000,10.000000,4153
10.000000,10.100000,4403
10.100000,10.200000,4536
10.200000,10.300000,5647
10.300000,10.400000,5587
10.400000,10.500000,5427
10.500000,10.600000,4406
10.600000,10.700000,5093
10.700000,10.800000,6134
10.800000,10.900000,7124
10.900000,11.000000,7118
11.000000,11.100000,6025
11.100000,11.200000,6357
11.200000,11.300000,4646
11.300000,11.400000,6443
11.400000,11.500000,4991
11.500000,11.600000,5183
11.600000,11.700000,5146
11.700000,11.800000,6536
11.800000,11.900000,6801
11.900000,12.000000,6599
12.000000,12.100000,7723
12.100000,12.200000,6699
12.200000,12.300000,6048
12.300000,12.400000,6433
12.400000,12.500000,7138
12.500000,12.600000,5700
12.600000,12.700000,6426
12.700000,12.800000,6928
12.800000,12.900000,6671
12.900000,13.000000,7045
13.000000,13.100000,7604
13.100000,13.200000,6724
13.200000,13.300000,6341
13.300000,13.400000,7631
13.400000,13.500000,5538
13.500000,13.600000,7160
13.600000,13.700000,9259
13.700000,13.800000,7326
