model,model_label,feature_window,feature_group,window_center_d_A,window_min_d_A,window_max_d_A,simulated_peak_d_A,simulated_peak_intensity_norm,experimental_peak_d_A,experimental_peak_intensity_norm,peak_offset_d_A,window_area_simulated,window_area_experimental
with_coo,With COO/full model,3.4 A,primary,3.4,3.3,3.5,3.41583473048,0.0202216355713,3.381,0.939561294337,0.0348347304828,0.00132454084051,0.145579534848
with_coo,With COO/full model,3.7 A,primary,3.7,3.6,3.8,3.79471639446,0.00510549339756,3.795,0.553671437461,-0.000283605539219,0.000678521309208,0.0660399424393
with_coo,With COO/full model,4.4 A,primary,4.4,4.3,4.5,4.34277828279,0.00657505813318,4.401,1,-0.0582217172089,0.000912180538346,0.173910547604
with_coo,With COO/full model,5.6 A,primary,5.6,5.5,5.7,5.62272176729,0.0113868832852,5.577,0.506922837586,0.0457217672928,0.00138653295493,0.0921098319851
with_coo,With COO/full model,7.25 A,primary,7.25,7,7.5,7.41213881028,0.00663877663594,7.325,0.40969197262,0.0871388102752,0.00256161416565,0.175837429994
with_coo,With COO/full model,3.0 A,optional,3,2.9,3.1,3.07477148552,0.00287346151064,3.095,0.0515712507778,-0.020228514475,0.000429020644949,0.00229873210952
with_coo,With COO/full model,4.1 A,optional,4.1,4,4.2,4.01945598315,0.00363785156029,4.198,0.315494710641,-0.178544016849,0.000527922403055,0.0162584007467
with_coo,With COO/full model,4.5-5.0 A,optional,4.75,4.5,5,4.53836680174,0.00592307233353,4.5,0.660003111388,0.0383668017393,0.00151783080465,0.0629276991288
with_coo,With COO/full model,5.5 A,optional,5.5,5.4,5.6,5.46824763197,0.0110588962294,5.577,0.506922837586,-0.108752368025,0.00131414169613,0.0755768123833
with_coo,With COO/full model,7.0 A,optional,7,6.8,7.2,7.01663454308,0.00522007771543,7.166,0.360843186061,-0.149365456918,0.00134195069451,0.0801477520224
with_coo,With COO/full model,8.4 A,optional,8.4,8.2,8.6,8.4458409689,0.00595638180683,8.206,0.106798382078,0.239840968896,0.00133828080284,0.0281979231487
only_bases,Bases only,3.4 A,primary,3.4,3.3,3.5,3.41583473048,0.0394129577368,3.381,0.939561294337,0.0348347304828,0.00213404793703,0.145579534848
only_bases,Bases only,3.7 A,primary,3.7,3.6,3.8,3.70863878878,0.00428620412705,3.795,0.553671437461,-0.0863612112229,0.000384250497499,0.0660399424393
only_bases,Bases only,4.4 A,primary,4.4,4.3,4.5,4.34277828279,0.00291619186106,4.401,1,-0.0582217172089,0.000335039908103,0.173910547604
