unit_count,pair_id,t,compactness_score,contact_fraction_vs_target,CYP_MEP_contact_fraction_vs_target,axial_register_score,angular_phase_order_score,refined_angular_phase_score,rmsd_formedness_score,seed_formation_score,notes
4,0,0.000,0.610100,0.000000,0.000000,0.406239,,0.882985,0.300302,0.420571,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.050,0.629582,0.032994,0.033807,0.427855,,0.888724,0.328628,0.442749,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.100,0.649065,0.065988,0.067613,0.449471,,0.894463,0.356953,0.464928,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.150,0.668547,0.098983,0.101419,0.471087,,0.900202,0.385279,0.487106,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.200,0.688029,0.131977,0.135226,0.492704,,0.905940,0.413604,0.509285,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.250,0.707511,0.164971,0.169033,0.514320,,0.911679,0.441930,0.531463,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.300,0.726994,0.197965,0.202839,0.535936,,0.917418,0.470255,0.553642,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.350,0.746476,0.230959,0.236645,0.557552,,0.923157,0.498581,0.575820,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.400,0.765958,0.263954,0.270452,0.579168,,0.928896,0.526906,0.597999,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.450,0.785441,0.296948,0.304258,0.600784,,0.934635,0.555231,0.620178,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.500,0.804923,0.329942,0.338065,0.622401,,0.940373,0.583557,0.642356,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.550,0.824405,0.362936,0.371872,0.644017,,0.946112,0.611882,0.664535,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.600,0.843888,0.395930,0.405678,0.665633,,0.951851,0.640208,0.686713,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.650,0.863370,0.428925,0.439485,0.687249,,0.957590,0.668533,0.708892,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.700,0.882852,0.461919,0.473291,0.708865,,0.963329,0.696859,0.731070,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.750,0.902335,0.494913,0.507097,0.730481,,0.969068,0.725184,0.753248,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.800,0.921817,0.527907,0.540904,0.752097,,0.974807,0.753510,0.775427,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.850,0.941299,0.560901,0.574711,0.773714,,0.980545,0.781835,0.797605,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.900,0.960781,0.593896,0.608517,0.795330,,0.986284,0.810161,0.819784,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,0.950,0.980264,0.626890,0.642323,0.816946,,0.992023,0.838486,0.841962,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,0,1.000,0.999746,0.659884,0.676130,0.838562,,0.997762,0.866812,0.864141,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.000,0.589151,0.000000,0.000000,0.604858,,0.719039,0.235091,0.358630,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.050,0.609471,0.035320,0.035699,0.621979,,0.732734,0.267925,0.385491,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.100,0.629791,0.070640,0.071399,0.639099,,0.746428,0.300759,0.412351,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.150,0.650111,0.105959,0.107098,0.656220,,0.760123,0.333593,0.439211,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.200,0.670432,0.141279,0.142797,0.673340,,0.773817,0.366426,0.466072,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.250,0.690752,0.176599,0.178496,0.690461,,0.787512,0.399260,0.492932,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.300,0.711072,0.211918,0.214195,0.707582,,0.801206,0.432094,0.519793,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.350,0.731392,0.247238,0.249895,0.724702,,0.814901,0.464928,0.546654,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.400,0.751712,0.282558,0.285594,0.741823,,0.828595,0.497762,0.573514,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.450,0.772032,0.317878,0.321293,0.758943,,0.842290,0.530596,0.600375,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.500,0.792353,0.353197,0.356992,0.776064,,0.855984,0.563430,0.627235,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.550,0.812673,0.388517,0.392692,0.793185,,0.869679,0.596264,0.654095,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.600,0.832993,0.423837,0.428391,0.810305,,0.883374,0.629098,0.680956,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.650,0.853313,0.459157,0.464090,0.827426,,0.897068,0.661932,0.707817,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.700,0.873633,0.494476,0.499789,0.844546,,0.910763,0.694765,0.734677,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.750,0.893953,0.529796,0.535489,0.861667,,0.924457,0.727599,0.761537,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.800,0.914273,0.565116,0.571188,0.878788,,0.938152,0.760433,0.788398,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.850,0.934594,0.600436,0.606887,0.895908,,0.951846,0.793267,0.815258,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.900,0.954914,0.635756,0.642586,0.913029,,0.965541,0.826101,0.842119,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,0.950,0.975234,0.671075,0.678286,0.930149,,0.979235,0.858935,0.868979,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,1,1.000,0.995554,0.706395,0.713985,0.947270,,0.992930,0.891769,0.895840,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.000,0.546942,0.021318,0.023134,0.628921,,0.651339,0.146436,0.383112,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.050,0.569595,0.060417,0.063355,0.645343,,0.668720,0.183878,0.410308,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.100,0.592248,0.099516,0.103576,0.661766,,0.686101,0.221321,0.437504,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.150,0.614901,0.138615,0.143796,0.678188,,0.703481,0.258763,0.464700,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.200,0.637554,0.177713,0.184017,0.694610,,0.720862,0.296206,0.491896,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.250,0.660207,0.216812,0.224238,0.711032,,0.738243,0.333649,0.519092,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.300,0.682859,0.255911,0.264459,0.727455,,0.755624,0.371091,0.546288,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.350,0.705512,0.295010,0.304680,0.743877,,0.773005,0.408534,0.573484,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.400,0.728165,0.334109,0.344900,0.760299,,0.790385,0.445976,0.600680,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.450,0.750818,0.373208,0.385121,0.776721,,0.807766,0.483419,0.627876,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.500,0.773471,0.412307,0.425342,0.793144,,0.825147,0.520861,0.655072,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.550,0.796124,0.451405,0.465563,0.809566,,0.842528,0.558304,0.682269,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.600,0.818777,0.490504,0.505784,0.825988,,0.859909,0.595746,0.709465,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.650,0.841430,0.529603,0.546004,0.842410,,0.877289,0.633189,0.736661,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.700,0.864083,0.568702,0.586225,0.858832,,0.894670,0.670632,0.763857,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.750,0.886736,0.607801,0.626446,0.875255,,0.912051,0.708074,0.791053,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.800,0.909388,0.646900,0.666667,0.891677,,0.929432,0.745517,0.818249,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.850,0.932041,0.685998,0.706888,0.908099,,0.946813,0.782959,0.845445,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.900,0.954694,0.725097,0.747108,0.924521,,0.964193,0.820402,0.872641,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.950,0.977347,0.764196,0.787329,0.940944,,0.981574,0.857844,0.899837,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,1.000,1.000000,0.803295,0.827550,0.957366,,0.998955,0.895287,0.927033,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.000,0.533607,0.000000,0.000000,0.467321,,0.547500,0.153431,0.323226,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.050,0.556927,0.045688,0.046004,0.491464,,0.569954,0.191811,0.354600,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.100,0.580246,0.091376,0.092008,0.515607,,0.592408,0.230191,0.385974,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.150,0.603566,0.137064,0.138013,0.539750,,0.614861,0.268571,0.417347,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.200,0.626886,0.182752,0.184017,0.563893,,0.637315,0.306951,0.448721,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.250,0.650205,0.228440,0.230021,0.588035,,0.659769,0.345330,0.480095,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.300,0.673525,0.274128,0.276025,0.612178,,0.682223,0.383710,0.511469,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.350,0.696845,0.319816,0.322029,0.636321,,0.704677,0.422090,0.542843,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.400,0.720164,0.365504,0.368034,0.660464,,0.727130,0.460470,0.574216,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.450,0.743484,0.411192,0.414038,0.684607,,0.749584,0.498850,0.605590,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.500,0.766803,0.456880,0.460042,0.708750,,0.772038,0.537230,0.636964,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.550,0.790123,0.502568,0.506046,0.732893,,0.794492,0.575610,0.668338,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.600,0.813443,0.548256,0.552050,0.757036,,0.816946,0.613990,0.699712,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.650,0.836762,0.593944,0.598055,0.781179,,0.839399,0.652370,0.731085,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.700,0.860082,0.639632,0.644059,0.805322,,0.861853,0.690750,0.762459,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.750,0.883402,0.685320,0.690063,0.829465,,0.884307,0.729130,0.793833,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.800,0.906721,0.731008,0.736067,0.853607,,0.906761,0.767510,0.825207,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.850,0.930041,0.776696,0.782071,0.877750,,0.929215,0.805890,0.856581,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.900,0.953361,0.822384,0.828076,0.901893,,0.951668,0.844270,0.887954,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,0.950,0.976680,0.868072,0.874080,0.926036,,0.974122,0.882650,0.919328,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,3,1.000,1.000000,0.913760,0.920084,0.950179,,0.996576,0.921030,0.950702,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.000,0.563340,0.000000,0.000000,0.519615,,0.879101,0.268078,0.392471,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.050,0.583833,0.034738,0.035699,0.537428,,0.885053,0.298568,0.416801,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.100,0.604327,0.069477,0.071399,0.555242,,0.891004,0.329057,0.441130,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.150,0.624820,0.104215,0.107098,0.573055,,0.896956,0.359547,0.465460,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.200,0.645314,0.138953,0.142797,0.590869,,0.902908,0.390036,0.489790,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.250,0.665807,0.173692,0.178496,0.608682,,0.908860,0.420526,0.514119,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.300,0.686301,0.208430,0.214195,0.626495,,0.914811,0.451016,0.538449,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.350,0.706794,0.243168,0.249895,0.644309,,0.920763,0.481505,0.562779,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.400,0.727288,0.277907,0.285594,0.662122,,0.926715,0.511995,0.587108,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.450,0.747781,0.312645,0.321293,0.679936,,0.932666,0.542485,0.611438,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.500,0.768274,0.347384,0.356992,0.697749,,0.938618,0.572974,0.635768,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.550,0.788768,0.382122,0.392692,0.715562,,0.944570,0.603464,0.660097,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.600,0.809261,0.416860,0.428391,0.733376,,0.950521,0.633953,0.684427,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.650,0.829755,0.451599,0.464090,0.751189,,0.956473,0.664443,0.708756,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.700,0.850248,0.486337,0.499789,0.769003,,0.962425,0.694933,0.733086,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.750,0.870742,0.521075,0.535489,0.786816,,0.968376,0.725422,0.757416,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.800,0.891235,0.555814,0.571188,0.804629,,0.974328,0.755912,0.781745,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.850,0.911729,0.590552,0.606887,0.822443,,0.980280,0.786402,0.806075,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.900,0.932222,0.625290,0.642586,0.840256,,0.986232,0.816891,0.830405,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,0.950,0.952716,0.660029,0.678286,0.858070,,0.992183,0.847381,0.854734,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,4,1.000,0.973209,0.694767,0.713985,0.875883,,0.998135,0.877870,0.879064,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.000,0.557212,0.000000,0.000000,0.411541,,0.932085,0.273114,0.293377,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.050,0.579029,0.034641,0.035910,0.432300,,0.935315,0.302662,0.322149,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.100,0.600845,0.069283,0.071819,0.453059,,0.938545,0.332211,0.350922,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.150,0.622662,0.103924,0.107729,0.473818,,0.941775,0.361760,0.379694,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.200,0.644479,0.138566,0.143638,0.494578,,0.945005,0.391309,0.408467,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.250,0.666296,0.173207,0.179548,0.515337,,0.948235,0.420858,0.437239,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.300,0.688112,0.207849,0.215457,0.536096,,0.951465,0.450406,0.466012,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.350,0.709929,0.242490,0.251367,0.556855,,0.954695,0.479955,0.494784,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.400,0.731746,0.277132,0.287276,0.577614,,0.957925,0.509504,0.523557,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.450,0.753562,0.311773,0.323186,0.598373,,0.961155,0.539053,0.552329,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.500,0.775379,0.346415,0.359096,0.619132,,0.964386,0.568602,0.581101,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.550,0.797196,0.381056,0.395005,0.639892,,0.967616,0.598150,0.609874,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.600,0.819012,0.415697,0.430915,0.660651,,0.970846,0.627699,0.638646,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.650,0.840829,0.450339,0.466824,0.681410,,0.974076,0.657248,0.667419,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.700,0.862646,0.484980,0.502734,0.702169,,0.977306,0.686797,0.696191,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.750,0.884463,0.519622,0.538643,0.722928,,0.980536,0.716346,0.724964,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.800,0.906279,0.554263,0.574553,0.743687,,0.983766,0.745894,0.753736,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.850,0.928096,0.588905,0.610462,0.764447,,0.986996,0.775443,0.782509,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.900,0.949913,0.623546,0.646372,0.785206,,0.990226,0.804992,0.811281,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,0.950,0.971729,0.658188,0.682281,0.805965,,0.993456,0.834541,0.840054,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,5,1.000,0.993546,0.692829,0.718191,0.826724,,0.996686,0.864090,0.868826,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.000,0.508179,0.000000,0.000000,0.336165,,0.858719,0.227469,0.370040,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.050,0.532770,0.039196,0.039643,0.359342,,0.865673,0.260550,0.395937,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.100,0.557361,0.078392,0.079285,0.382519,,0.872627,0.293632,0.421833,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.150,0.581952,0.117587,0.118928,0.405695,,0.879581,0.326713,0.447730,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.200,0.606543,0.156783,0.158570,0.428872,,0.886535,0.359795,0.473627,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.250,0.631134,0.195979,0.198213,0.452049,,0.893489,0.392876,0.499524,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.300,0.655725,0.235175,0.237855,0.475226,,0.900443,0.425958,0.525420,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.350,0.680316,0.274370,0.277498,0.498403,,0.907397,0.459040,0.551317,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.400,0.704907,0.313566,0.317140,0.521579,,0.914351,0.492121,0.577214,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.450,0.729498,0.352762,0.356783,0.544756,,0.921305,0.525203,0.603111,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.500,0.754090,0.391958,0.396425,0.567933,,0.928258,0.558284,0.629007,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.550,0.778681,0.431153,0.436068,0.591110,,0.935212,0.591366,0.654904,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.600,0.803272,0.470349,0.475710,0.614287,,0.942166,0.624447,0.680801,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.650,0.827863,0.509545,0.515353,0.637463,,0.949120,0.657529,0.706698,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.700,0.852454,0.548740,0.554995,0.660640,,0.956074,0.690611,0.732595,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.750,0.877045,0.587936,0.594638,0.683817,,0.963028,0.723692,0.758491,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.800,0.901636,0.627132,0.634280,0.706994,,0.969982,0.756774,0.784388,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.850,0.926227,0.666328,0.673922,0.730171,,0.976936,0.789855,0.810285,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.900,0.950818,0.705524,0.713565,0.753347,,0.983890,0.822937,0.836182,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,0.950,0.975409,0.744719,0.753208,0.776524,,0.990844,0.856018,0.862078,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,6,1.000,1.000000,0.783915,0.792850,0.799701,,0.997798,0.889100,0.887975,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,7,0.000,0.601721,0.000000,0.000000,0.432355,,0.830289,0.284410,0.409634,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,7,0.050,0.621504,0.034981,0.034700,0.454418,,0.838665,0.313986,0.433257,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,7,0.100,0.641287,0.069961,0.069401,0.476482,,0.847040,0.343561,0.456881,linear interpolation in oriented order-parameter space; not atomistic dynamics
