unit_count,first_feature,second_feature,third_feature,ordering_summary,ordering_confidence,interpretation_note,warnings
4,axial_register_score,CYP_MEP_contact_fraction_vs_target,compactness_score,axial_register_score -> CYP_MEP_contact_fraction_vs_target -> compactness_score -> contact_fraction_vs_target -> rmsd_formedness_score,moderate,ordering is based on median activation time at the primary formed-fraction threshold,
5,axial_register_score,compactness_score,rmsd_formedness_score,axial_register_score -> compactness_score -> rmsd_formedness_score -> CYP_MEP_contact_fraction_vs_target -> contact_fraction_vs_target,ambiguous,ordering is based on median activation time at the primary formed-fraction threshold,first-feature frequencies and activation times are close; treat ordering as ambiguous
6,CYP_MEP_contact_fraction_vs_target,axial_register_score,contact_fraction_vs_target,CYP_MEP_contact_fraction_vs_target -> axial_register_score -> contact_fraction_vs_target -> rmsd_formedness_score -> seed_formation_score,ambiguous,ordering is based on median activation time at the primary formed-fraction threshold,first-feature frequencies and activation times are close; treat ordering as ambiguous
7,CYP_MEP_contact_fraction_vs_target,axial_register_score,compactness_score,CYP_MEP_contact_fraction_vs_target -> axial_register_score -> compactness_score -> contact_fraction_vs_target -> rmsd_formedness_score,ambiguous,ordering is based on median activation time at the primary formed-fraction threshold,first-feature frequencies and activation times are close; treat ordering as ambiguous
