rise_A,feature_group,feature_window,window_center_A,window_min_A,window_max_A,experimental_peak_d_A,simulated_peak_d_A,peak_offset_d_A,abs_peak_offset_d_A,simulated_peak_intensity_norm,window_area_simulated,window_area_experimental
3.36,primary,3.38/3.4 A,3.38,3.3,3.46,3.381,3.415834730482815,0.03483473048281516,0.03483473048281516,0.12139384516876528,0.006454243826571435,0.12944912881145004
3.36,primary,3.77 A,3.77,3.6,3.9,3.795,3.708638788777114,-0.08636121122288598,0.08636121122288598,0.016574352418638024,0.0022668027898757976,0.10796344119477289
3.36,primary,4.4 A,4.4,4.25,4.55,4.401,4.2965757934529885,-0.10442420654701134,0.10442420654701134,0.01887365875889814,0.003797756879927143,0.2318571873055383
3.36,primary,5.6 A,5.6,5.45,5.75,5.577,5.70335363634579,0.12635363634579022,0.12635363634579022,0.0306218612392631,0.004994173399187714,0.13149614965774725
3.36,primary,7.3 A,7.3,7.05,7.55,7.325,7.343113395238451,0.018113395238450458,0.018113395238450458,0.01387398847434478,0.0031171891889058053,0.16313522868699418
3.36,optional,3.0 A,3.0,2.9,3.1,3.095,3.074771485524999,-0.02022851447500118,0.02022851447500118,0.010794717423826162,0.0010112168548164883,0.002298732109520859
3.36,optional,4.1 A,4.1,4.0,4.2,4.198,4.163889214409104,-0.03411078559089642,0.03411078559089642,0.011461392505347081,0.0012710195755702052,0.016258400746733168
3.36,optional,4.5-5.0 A,4.75,4.5,5.0,4.5,4.538366801739329,0.03836680173932905,0.03836680173932905,0.015455515363388342,0.002929542109563762,0.06292769912881145
3.36,optional,5.5 A,5.5,5.4,5.6,5.577,5.46824763197477,-0.1087523680252298,0.1087523680252298,0.02175097109929212,0.0026644962560010044,0.07557681238332312
3.36,optional,7.0 A,7.0,6.8,7.2,7.166,7.143632689201691,-0.02236731079830978,0.02236731079830978,0.007565818817851222,0.0017943336354971282,0.08014775202240211
3.36,optional,8.4 A,8.4,8.2,8.6,8.206,8.445840968895812,0.23984096889581252,0.23984096889581252,0.01062113237592786,0.0015279626649200634,0.02819792314872442
3.37,primary,3.38/3.4 A,3.38,3.3,3.46,3.381,3.415834730482815,0.03483473048281516,0.03483473048281516,0.1343297182441398,0.006838362956435311,0.12944912881145004
3.37,primary,3.77 A,3.77,3.6,3.9,3.795,3.708638788777114,-0.08636121122288598,0.08636121122288598,0.016831346565504387,0.0022743391850134605,0.10796344119477289
3.37,primary,4.4 A,4.4,4.25,4.55,4.401,4.2965757934529885,-0.10442420654701134,0.10442420654701134,0.018179107078590755,0.0038318452626934594,0.2318571873055383
3.37,primary,5.6 A,5.6,5.45,5.75,5.577,5.70335363634579,0.12635363634579022,0.12635363634579022,0.030054451895366114,0.004955489576915002,0.13149614965774725
3.37,primary,7.3 A,7.3,7.05,7.55,7.325,7.343113395238451,0.018113395238450458,0.018113395238450458,0.013704113989641569,0.0030664749700171157,0.16313522868699418
3.37,optional,3.0 A,3.0,2.9,3.1,3.095,3.074771485524999,-0.02022851447500118,0.02022851447500118,0.011042899727674929,0.0009769536916549558,0.002298732109520859
3.37,optional,4.1 A,4.1,4.0,4.2,4.198,4.163889214409104,-0.03411078559089642,0.03411078559089642,0.011089106286023581,0.0012679827574769956,0.016258400746733168
3.37,optional,4.5-5.0 A,4.75,4.5,5.0,4.5,4.538366801739329,0.03836680173932905,0.03836680173932905,0.016064076479959784,0.0030200211888892353,0.06292769912881145
3.37,optional,5.5 A,5.5,5.4,5.6,5.577,5.46824763197477,-0.1087523680252298,0.1087523680252298,0.021010566056667252,0.0026281112442723374,0.07557681238332312
3.37,optional,7.0 A,7.0,6.8,7.2,7.166,7.079556397815981,-0.08644360218401914,0.08644360218401914,0.007341196241777889,0.001797212331652271,0.08014775202240211
3.37,optional,8.4 A,8.4,8.2,8.6,8.206,8.445840968895812,0.23984096889581252,0.23984096889581252,0.010580783205455777,0.0015250596184682211,0.02819792314872442
3.38,primary,3.38/3.4 A,3.38,3.3,3.46,3.381,3.415834730482815,0.03483473048281516,0.03483473048281516,0.14644613404780338,0.007172292838748771,0.12944912881145004
3.38,primary,3.77 A,3.77,3.6,3.9,3.795,3.708638788777114,-0.08636121122288598,0.08636121122288598,0.016739785223381126,0.002282447279329765,0.10796344119477289
3.38,primary,4.4 A,4.4,4.25,4.55,4.401,4.342778282791068,-0.05822171720893188,0.05822171720893188,0.017813817584810827,0.003852660630573822,0.2318571873055383
3.38,primary,5.6 A,5.6,5.45,5.75,5.577,5.70335363634579,0.12635363634579022,0.12635363634579022,0.029437925815189975,0.004915474080692395,0.13149614965774725
3.38,primary,7.3 A,7.3,7.05,7.55,7.325,7.343113395238451,0.018113395238450458,0.018113395238450458,0.013544614055665863,0.0030186638837507917,0.16313522868699418
3.38,optional,3.0 A,3.0,2.9,3.1,3.095,3.074771485524999,-0.02022851447500118,0.02022851447500118,0.011173590009403486,0.0009450908814808605,0.002298732109520859
3.38,optional,4.1 A,4.1,4.0,4.2,4.198,4.163889214409104,-0.03411078559089642,0.03411078559089642,0.010718392826723036,0.0012690820234501428,0.016258400746733168
3.38,optional,4.5-5.0 A,4.75,4.5,5.0,4.5,4.538366801739329,0.03836680173932905,0.03836680173932905,0.016677970503376015,0.0031192499828564934,0.06292769912881145
3.38,optional,5.5 A,5.5,5.4,5.6,5.577,5.46824763197477,-0.1087523680252298,0.1087523680252298,0.020329799125372243,0.002593052191051568,0.07557681238332312
3.38,optional,7.0 A,7.0,6.8,7.2,7.166,7.079556397815981,-0.08644360218401914,0.08644360218401914,0.007302883899185651,0.0018028963266780724,0.08014775202240211
3.38,optional,8.4 A,8.4,8.2,8.6,8.206,8.445840968895812,0.23984096889581252,0.23984096889581252,0.010554681253619263,0.001526533666711103,0.02819792314872442
3.39,primary,3.38/3.4 A,3.38,3.3,3.46,3.381,3.415834730482815,0.03483473048281516,0.03483473048281516,0.15741968818017188,0.0074486058423696095,0.12944912881145004
3.39,primary,3.77 A,3.77,3.6,3.9,3.795,3.708638788777114,-0.08636121122288598,0.08636121122288598,0.016284456700315645,0.0022924219627062695,0.10796344119477289
3.39,primary,4.4 A,4.4,4.25,4.55,4.401,4.342778282791068,-0.05822171720893188,0.05822171720893188,0.017378782165316055,0.0038599196066544553,0.2318571873055383
3.39,primary,5.6 A,5.6,5.45,5.75,5.577,5.70335363634579,0.12635363634579022,0.12635363634579022,0.02877692999273731,0.004874489241490861,0.13149614965774725
3.39,primary,7.3 A,7.3,7.05,7.55,7.325,7.343113395238451,0.018113395238450458,0.018113395238450458,0.01339707842515516,0.0029741915373839756,0.16313522868699418
3.39,optional,3.0 A,3.0,2.9,3.1,3.095,3.074771485524999,-0.02022851447500118,0.02022851447500118,0.011179657241506658,0.0009152957021437889,0.002298732109520859
3.39,optional,4.1 A,4.1,4.0,4.2,4.198,4.163889214409104,-0.03411078559089642,0.03411078559089642,0.010355799995444174,0.00127298797501824,0.016258400746733168
3.39,optional,4.5-5.0 A,4.75,4.5,5.0,4.5,4.538366801739329,0.03836680173932905,0.03836680173932905,0.017288816112258052,0.0032269469442204497,0.06292769912881145
3.39,optional,5.5 A,5.5,5.4,5.6,5.577,5.583272657478139,0.006272657478138655,0.006272657478138655,0.02036373738504639,0.002559297791820844,0.07557681238332312
3.39,optional,7.0 A,7.0,6.8,7.2,7.166,7.079556397815981,-0.08644360218401914,0.08644360218401914,0.007265441056289404,0.0018111399667040846,0.08014775202240211
3.39,optional,8.4 A,8.4,8.2,8.6,8.206,8.445840968895812,0.23984096889581252,0.23984096889581252,0.010542821521783853,0.001532389294019766,0.02819792314872442
3.40,primary,3.38/3.4 A,3.38,3.3,3.46,3.381,3.415834730482815,0.03483473048281516,0.03483473048281516,0.16695256614252638,0.007661416338136682,0.12944912881145004
3.40,primary,3.77 A,3.77,3.6,3.9,3.795,3.7947163944607807,-0.0002836055392192449,0.0002836055392192449,0.017054102975700924,0.0023059455629687014,0.10796344119477289
3.40,primary,4.4 A,4.4,4.25,4.55,4.401,4.538366801739329,0.13736680173932925,0.13736680173932925,0.017887075600476216,0.0038536054547663643,0.2318571873055383
3.40,primary,5.6 A,5.6,5.45,5.75,5.577,5.70335363634579,0.12635363634579022,0.12635363634579022,0.02807639515160044,0.004832846314155887,0.13149614965774725
3.40,primary,7.3 A,7.3,7.05,7.55,7.325,7.343113395238451,0.018113395238450458,0.018113395238450458,0.013262812684098032,0.002933438709969891,0.16313522868699418
3.40,optional,3.0 A,3.0,2.9,3.1,3.095,3.074771485524999,-0.02022851447500118,0.02022851447500118,0.011063931468028485,0.0008873839823215039,0.002298732109520859
3.40,optional,4.1 A,4.1,4.0,4.2,4.198,4.163889214409104,-0.03411078559089642,0.03411078559089642,0.010007153429000262,0.0012782988018834427,0.016258400746733168
3.40,optional,4.5-5.0 A,4.75,4.5,5.0,4.5,4.538366801739329,0.03836680173932905,0.03836680173932905,0.017887075600476216,0.0033426752900275894,0.06292769912881145
3.40,optional,5.5 A,5.5,5.4,5.6,5.577,5.583272657478139,0.006272657478138655,0.006272657478138655,0.020491229678968076,0.0025267790930362604,0.07557681238332312
