bin_start_A,bin_end_A,pair_count
0.000000,0.100000,1356
0.100000,0.200000,0
0.200000,0.300000,0
0.300000,0.400000,0
0.400000,0.500000,0
0.500000,0.600000,0
0.600000,0.700000,0
0.700000,0.800000,0
0.800000,0.900000,0
0.900000,1.000000,0
1.000000,1.100000,0
1.100000,1.200000,0
1.200000,1.300000,1464
1.300000,1.400000,696
1.400000,1.500000,876
1.500000,1.600000,2364
1.600000,1.700000,0
1.700000,1.800000,0
1.800000,1.900000,0
1.900000,2.000000,0
2.000000,2.100000,0
2.100000,2.200000,24
2.200000,2.300000,1120
2.300000,2.400000,1736
2.400000,2.500000,3944
2.500000,2.600000,532
2.600000,2.700000,336
2.700000,2.800000,900
2.800000,2.900000,900
2.900000,3.000000,0
3.000000,3.100000,540
3.100000,3.200000,1080
3.200000,3.300000,1068
3.300000,3.400000,528
3.400000,3.500000,852
3.500000,3.600000,888
3.600000,3.700000,1248
3.700000,3.800000,1920
3.800000,3.900000,1224
3.900000,4.000000,348
4.000000,4.100000,528
4.100000,4.200000,1572
4.200000,4.300000,2316
4.300000,4.400000,528
4.400000,4.500000,1552
4.500000,4.600000,2240
4.600000,4.700000,3024
4.700000,4.800000,1908
4.800000,4.900000,2196
4.900000,5.000000,1024
5.000000,5.100000,548
5.100000,5.200000,2448
5.200000,5.300000,2268
5.300000,5.400000,1272
5.400000,5.500000,2292
5.500000,5.600000,3504
5.600000,5.700000,4420
5.700000,5.800000,3660
5.800000,5.900000,3752
5.900000,6.000000,2724
6.000000,6.100000,3420
6.100000,6.200000,2412
6.200000,6.300000,2124
6.300000,6.400000,4252
6.400000,6.500000,3236
6.500000,6.600000,1596
6.600000,6.700000,4632
6.700000,6.800000,4816
6.800000,6.900000,6384
6.900000,7.000000,5828
7.000000,7.100000,4220
7.100000,7.200000,3124
7.200000,7.300000,4988
7.300000,7.400000,3208
7.400000,7.500000,4368
7.500000,7.600000,3792
7.600000,7.700000,4748
7.700000,7.800000,4072
7.800000,7.900000,4468
7.900000,8.000000,4916
8.000000,8.100000,5448
8.100000,8.200000,4428
8.200000,8.300000,5608
8.300000,8.400000,3344
8.400000,8.500000,4248
8.500000,8.600000,5356
8.600000,8.700000,5252
8.700000,8.800000,3676
8.800000,8.900000,5552
8.900000,9.000000,6048
9.000000,9.100000,3660
9.100000,9.200000,6084
9.200000,9.300000,6708
9.300000,9.400000,3564
9.400000,9.500000,5712
9.500000,9.600000,4572
9.600000,9.700000,2984
9.700000,9.800000,6904
9.800000,9.900000,3792
9.900000,10.000000,3668
10.000000,10.100000,4132
10.100000,10.200000,6324
10.200000,10.300000,5608
10.300000,10.400000,4400
10.400000,10.500000,4596
10.500000,10.600000,1824
10.600000,10.700000,8008
10.700000,10.800000,5320
10.800000,10.900000,6164
10.900000,11.000000,4940
11.000000,11.100000,4760
11.100000,11.200000,6112
11.200000,11.300000,4980
11.300000,11.400000,6000
11.400000,11.500000,4308
11.500000,11.600000,4444
11.600000,11.700000,5600
11.700000,11.800000,7260
11.800000,11.900000,5644
11.900000,12.000000,7668
12.000000,12.100000,6992
12.100000,12.200000,8436
12.200000,12.300000,6824
12.300000,12.400000,8140
12.400000,12.500000,6976
12.500000,12.600000,7328
12.600000,12.700000,9616
12.700000,12.800000,8308
12.800000,12.900000,7780
12.900000,13.000000,9028
13.000000,13.100000,8588
13.100000,13.200000,9332
13.200000,13.300000,5416
13.300000,13.400000,7868
13.400000,13.500000,5152
13.500000,13.600000,9252
13.600000,13.700000,11280
