tolerance_setting,window_scale,surviving_candidate_count,surviving_candidate_names,strict_surviving_candidate_count,strict_surviving_candidate_names,best_candidate,central8_units_30deg_survives,central8_units_30deg_strict_survives,central8_units_30deg_uniquely_best
narrow,0.50,2,central8_units_30deg;central12_units_30deg,0,,central8_units_30deg,yes,no,yes
current,1.00,12,central8_units_30deg;central12_units_30deg;base_length_scale_0p85;base_length_scale_0p90;base_length_scale_0p95;base_length_scale_1p00;base_length_scale_1p05;base_length_scale_1p10;base_length_scale_1p15;central6_units_30deg;central7_units_30deg;full_length_twist_30,2,central8_units_30deg;central12_units_30deg,central8_units_30deg,yes,yes,yes
broad,1.50,12,central8_units_30deg;central12_units_30deg;central6_units_30deg;central7_units_30deg;base_length_scale_0p85;base_length_scale_0p90;base_length_scale_0p95;base_length_scale_1p00;base_length_scale_1p05;base_length_scale_1p10;base_length_scale_1p15;full_length_twist_30,4,central8_units_30deg;central12_units_30deg;central6_units_30deg;central7_units_30deg,central8_units_30deg,yes,yes,yes
