structure_id,source_pdb,distance_window,window_type,atom_pair_class,residue_pair_class,chain_relation,pair_count,fraction_of_window,backbone_involving
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,599,0.104940,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,24,0.004205,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,294,0.051507,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,interchain,120,0.021023,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,same_chain,30,0.005256,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,1653,0.289594,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,960,0.168185,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,114,0.019972,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_5p0_6p0,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,135,0.023651,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,276,0.026861,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,same_chain,150,0.014599,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,interchain,588,0.057226,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,36,0.003504,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,138,0.013431,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,same_chain,150,0.014599,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,1128,0.109781,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,555,0.054015,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,interchain,607,0.059075,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,615,0.059854,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,288,0.028029,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,264,0.025693,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,interchain,438,0.042628,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,same_chain,150,0.014599,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,3783,0.368175,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,567,0.055182,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,81,0.007883,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,239,0.023260,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,192,0.018686,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_6p5_7p5,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,same_chain,30,0.002920,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,279,0.018318,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,same_chain,60,0.003939,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,interchain,468,0.030727,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,138,0.009060,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,357,0.023439,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,same_chain,60,0.003939,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,2042,0.134069,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,751,0.049307,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,interchain,1395,0.091590,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,744,0.048848,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,870,0.057120,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,108,0.007091,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,interchain,528,0.034666,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,same_chain,360,0.023636,yes
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,4596,0.301753,no
