metric,feature,ensemble_type,unit6_value,unit7_value,difference_7_minus_6,standardized_effect_size,direction_of_change,cautious_interpretation
7-minus-6 ensemble mean,CYP_MEP_contact_fraction_vs_target,loose_initial,0.039171,0.013643,-0.025528,-1.067061,6-unit stronger,6 units show higher CYP/MEP contact formation in loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,contact_fraction_vs_target,loose_initial,0.040523,0.013621,-0.026902,-1.126459,6-unit stronger,6 units show higher total contact formation in loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,compactness_score,loose_initial,0.575031,0.600787,0.025756,0.942862,7-unit stronger,"7 units show higher compactness in loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,axial_register_score,loose_initial,0.437444,0.427521,-0.009923,-0.125613,6-unit stronger,6 units show higher axial register in loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,RMSD_to_formed_seed_A,loose_initial,14.793849,15.105454,0.311605,0.265627,6-unit stronger,6 units show lower RMSD formedness in loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,seed_formation_score,loose_initial,0.458598,0.455685,-0.002913,-0.149956,6-unit stronger,6 units show higher seed formedness score in loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,CYP_MEP_contact_fraction_vs_target,angular_randomized_loose_initial,0.005938,0.007552,0.001614,0.101999,7-unit stronger,"7 units show higher CYP/MEP contact formation in angular_randomized_loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,contact_fraction_vs_target,angular_randomized_loose_initial,0.005931,0.007473,0.001542,0.099604,7-unit stronger,"7 units show higher total contact formation in angular_randomized_loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,compactness_score,angular_randomized_loose_initial,0.597233,0.620286,0.023053,0.638439,7-unit stronger,"7 units show higher compactness in angular_randomized_loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,axial_register_score,angular_randomized_loose_initial,0.428850,0.440355,0.011505,0.135803,7-unit stronger,"7 units show higher axial register in angular_randomized_loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,RMSD_to_formed_seed_A,angular_randomized_loose_initial,19.035960,19.521899,0.485939,0.122347,6-unit stronger,6 units show lower RMSD formedness in angular_randomized_loose_initial; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,seed_formation_score,angular_randomized_loose_initial,0.361553,0.361750,0.000197,0.005446,7-unit stronger,"7 units show higher seed formedness score in angular_randomized_loose_initial, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,CYP_MEP_contact_fraction_vs_target,formed_perturbed,0.807726,0.809685,0.001960,0.040599,7-unit stronger,"7 units show higher CYP/MEP contact formation in formed_perturbed, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,contact_fraction_vs_target,formed_perturbed,0.805178,0.805585,0.000407,0.008168,7-unit stronger,"7 units show higher total contact formation in formed_perturbed, consistent with stronger organization in this existing dataset."
7-minus-6 ensemble mean,compactness_score,formed_perturbed,0.997380,0.996952,-0.000428,-0.120023,6-unit stronger,6 units show higher compactness in formed_perturbed; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,axial_register_score,formed_perturbed,0.894824,0.885768,-0.009056,-0.276887,6-unit stronger,6 units show higher axial register in formed_perturbed; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,RMSD_to_formed_seed_A,formed_perturbed,0.618511,0.638805,0.020294,0.208538,6-unit stronger,6 units show lower RMSD formedness in formed_perturbed; this metric does not support a stronger 7-unit signal by itself.
7-minus-6 ensemble mean,seed_formation_score,formed_perturbed,0.909636,0.904958,-0.004678,-0.257597,6-unit stronger,6 units show higher seed formedness score in formed_perturbed; this metric does not support a stronger 7-unit signal by itself.
formed-minus-loose separation,CYP_MEP_contact_fraction_vs_target,6-unit formed_perturbed vs loose_initial,0.768555,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 0.768555 for CYP/MEP contact formation.
formed-minus-loose separation,CYP_MEP_contact_fraction_vs_target,7-unit formed_perturbed vs loose_initial,,0.796043,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 0.796043 for CYP/MEP contact formation.
formed-minus-loose separation,contact_fraction_vs_target,6-unit formed_perturbed vs loose_initial,0.764655,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 0.764655 for total contact formation.
formed-minus-loose separation,contact_fraction_vs_target,7-unit formed_perturbed vs loose_initial,,0.791964,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 0.791964 for total contact formation.
formed-minus-loose separation,compactness_score,6-unit formed_perturbed vs loose_initial,0.422349,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 0.422349 for compactness.
formed-minus-loose separation,compactness_score,7-unit formed_perturbed vs loose_initial,,0.396165,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 0.396165 for compactness.
formed-minus-loose separation,axial_register_score,6-unit formed_perturbed vs loose_initial,0.457380,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 0.457380 for axial register.
formed-minus-loose separation,axial_register_score,7-unit formed_perturbed vs loose_initial,,0.458247,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 0.458247 for axial register.
formed-minus-loose separation,RMSD_to_formed_seed_A,6-unit formed_perturbed vs loose_initial,14.175338,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 14.175338 for RMSD formedness.
formed-minus-loose separation,RMSD_to_formed_seed_A,7-unit formed_perturbed vs loose_initial,,14.466649,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 14.466649 for RMSD formedness.
formed-minus-loose separation,seed_formation_score,6-unit formed_perturbed vs loose_initial,0.451038,,,,larger separation is more formed-like contrast,6 units show a formed-vs-loose contrast of 0.451038 for seed formedness score.
formed-minus-loose separation,seed_formation_score,7-unit formed_perturbed vs loose_initial,,0.449273,,,larger separation is more formed-like contrast,7 units show a formed-vs-loose contrast of 0.449273 for seed formedness score.
CYP/MEP-involving contacts,CYP_MEP_contact_count,central seed contact network,1605.000000,2067.000000,462.000000,,7-unit stronger,Static contact-network summary gives 1605.000000 for 6 units and 2067.000000 for 7 units.
CYP/MEP contact fraction,CYP_MEP_contact_fraction,central seed contact network,0.922414,0.916223,-0.006191,,6-unit stronger,Static contact-network summary gives 0.922414 for 6 units and 0.916223 for 7 units.
GLU-involving contacts,GLU_contact_count,central seed contact network,150.000000,210.000000,60.000000,,7-unit stronger,Static contact-network summary gives 150.000000 for 6 units and 210.000000 for 7 units.
backbone-like contacts,backbone_like_contact_count,central seed contact network,132.000000,180.000000,48.000000,,7-unit stronger,Static contact-network summary gives 132.000000 for 6 units and 180.000000 for 7 units.
total interchain contacts,total_interchain_contacts,central seed contact network,1740.000000,2256.000000,516.000000,,7-unit stronger,Static contact-network summary gives 1740.000000 for 6 units and 2256.000000 for 7 units.
contacts per unit,contacts_per_unit,central seed contact network,290.000000,322.285714,32.285714,,7-unit stronger,Static contact-network summary gives 290.000000 for 6 units and 322.285714 for 7 units.
contact retention under perturbation,perturbation_contact_fraction_vs_reference_mean,central seed contact network,0.801724,0.784427,-0.017297,,6-unit stronger,Static contact-network summary gives 0.801724 for 6 units and 0.784427 for 7 units.
interchain graph retention probability,perturbation_chain_graph_connected_probability,central seed contact network,1.000000,1.000000,0.000000,,similar,Static contact-network summary gives 1.000000 for 6 units and 1.000000 for 7 units.
loose-initial bridge median activation time,CYP_MEP_contact_fraction_vs_target,bridge ordering,0.750000,0.800000,0.050000,,6-unit earlier,"At the 0.75 formed-fraction threshold, CYP_MEP_contact_fraction_vs_target activates at median t=0.750000 for 6 units and 0.800000 for 7 units."
