candidate_id,candidate_label,model_path,profile_path,target_id,target_d_angstrom,target_q_inv_angstrom,confidence,diagnostic_window,window_half_width_angstrom,matched,matched_d_angstrom,matched_q_inv_angstrom,abs_d_error_angstrom,fractional_d_error,window_point_count,window_max_intensity,candidate_match_count,candidate_diagnostic_match_count,candidate_mean_abs_d_error_angstrom,candidate_mean_fractional_d_error,candidate_rank_score
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_7p90,7.90,0.795340,lower,no,0.25,yes,7.904843,0.794853,0.004843,0.000613,1,2155352.249784,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_7p30,7.30,0.860710,lower,no,0.25,no,7.386101,0.850677,0.086101,0.011795,0,,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_6p50,6.50,0.966644,lower,no,0.20,yes,6.626807,0.948147,0.126807,0.019509,1,1701502.408510,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_5p50,5.50,1.142397,lower,no,0.15,yes,5.637662,1.114502,0.137662,0.025030,1,2326869.530168,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_4p33,4.33,1.451082,medium_high,yes,0.10,yes,4.310904,1.457510,0.019096,0.004410,1,1380878.846402,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_3p90,3.90,1.611073,medium_high,yes,0.08,yes,3.878156,1.620148,0.021844,0.005601,1,1673007.830622,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_3p71,3.71,1.693581,medium_high,yes,0.08,yes,3.693994,1.700919,0.016006,0.004314,1,3080620.406674,7,4,0.049721,0.009426,8.990574
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,d_3p35,3.35,1.875578,medium_high,yes,0.06,yes,3.328208,1.887858,0.021792,0.006505,1,1428918.270030,7,4,0.049721,0.009426,8.990574
central7_units_30deg,"7-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,outputs\mini_hexaplex\radial_profiles\central7_units_radial.csv,d_7p90,7.90,0.795340,lower,no,0.25,yes,7.904843,0.794853,0.004843,0.000613,1,2511897.695328,7,4,0.049721,0.009426,8.990574
central7_units_30deg,"7-unit formed endpoint, central 30-degree model",outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,outputs\mini_hexaplex\radial_profiles\central7_units_radial.csv,d_7p30,7.30,0.860710,lower,no,0.25,no,7.386101,0.850677,0.086101,0.011795,0,,7,4,0.049721,0.009426,8.990574
