twist_deg,stack_length_label,target_repeat_count,feature_window,experimental_peak_d_A,simulated_peak_d_A,peak_offset_A,abs_peak_offset_A,simulated_peak_intensity_norm,window_area_simulated,window_area_experimental
30,extended_32layer_equiv,32,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0140516321066,0.00275304110984,0.147248249844
30,extended_64layer_equiv,64,3.38/3.4 A,3.381,3.36029035291,-0.0207096470899,0.0207096470899,0.310935993471,0.0151344746547,0.145579534848
30,extended_64layer_equiv,64,3.77 A,3.795,3.7771670273,-0.0178329726963,0.0178329726963,0.0252737342263,0.00258894179408,0.086462002178
30,extended_64layer_equiv,64,4.4 A,4.401,4.4877791603,0.0867791603027,0.0867791603027,0.0297823342542,0.00247072396379,0.173910547604
30,extended_64layer_equiv,64,5.6 A,5.577,5.62272176729,0.0457217672928,0.0457217672928,0.0365166168326,0.0027171942579,0.0921098319851
30,extended_64layer_equiv,64,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0161574595225,0.0032500366357,0.147248249844
30,extended_100layer_equiv,100,3.38/3.4 A,3.381,3.36029035291,-0.0207096470899,0.0207096470899,0.497658055504,0.0231630056868,0.145579534848
30,extended_100layer_equiv,100,3.77 A,3.795,3.72552518031,-0.0694748196892,0.0694748196892,0.0169156793457,0.00219124390129,0.086462002178
30,extended_100layer_equiv,100,4.4 A,4.401,4.4877791603,0.0867791603027,0.0867791603027,0.0386260446026,0.00286197842385,0.173910547604
30,extended_100layer_equiv,100,5.6 A,5.577,5.62272176729,0.0457217672928,0.0457217672928,0.041244245496,0.00289903451035,0.0921098319851
30,extended_100layer_equiv,100,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0157052567966,0.00291505164789,0.147248249844
31,extended_32layer_equiv,32,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.121206791697,0.00653053622885,0.145579534848
31,extended_32layer_equiv,32,3.77 A,3.795,3.70863878878,-0.0863612112229,0.0863612112229,0.0152471608861,0.00161077632996,0.086462002178
31,extended_32layer_equiv,32,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0101200775068,0.00114181354476,0.173910547604
31,extended_32layer_equiv,32,5.6 A,5.577,5.58327265748,0.00627265747814,0.00627265747814,0.0226530755537,0.00281045919421,0.0921098319851
31,extended_32layer_equiv,32,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0104552033839,0.00225009736069,0.147248249844
31,extended_64layer_equiv,64,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.136027618802,0.00478810601677,0.145579534848
31,extended_64layer_equiv,64,3.77 A,3.795,3.70863878878,-0.0863612112229,0.0863612112229,0.0109563001896,0.00118526296837,0.086462002178
31,extended_64layer_equiv,64,4.4 A,4.401,4.46291994427,0.0619199442698,0.0619199442698,0.00820901942426,0.000877515457823,0.173910547604
31,extended_64layer_equiv,64,5.6 A,5.577,5.54438509256,-0.0326149074439,0.0326149074439,0.0247445921605,0.002472419375,0.0921098319851
31,extended_64layer_equiv,64,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0104117079216,0.00212111325179,0.147248249844
31,extended_100layer_equiv,100,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.141168498549,0.00622959502972,0.145579534848
31,extended_100layer_equiv,100,3.77 A,3.795,3.79471639446,-0.000283605539219,0.000283605539219,0.0129848949862,0.0017432977826,0.086462002178
31,extended_100layer_equiv,100,4.4 A,4.401,4.46291994427,0.0619199442698,0.0619199442698,0.0130694269119,0.00145352055193,0.173910547604
31,extended_100layer_equiv,100,5.6 A,5.577,5.54438509256,-0.0326149074439,0.0326149074439,0.0469218833922,0.00375507792258,0.0921098319851
31,extended_100layer_equiv,100,7.3 A,7.325,7.48249072205,0.157490722046,0.157490722046,0.0210703137121,0.00347820403731,0.147248249844
