twist_deg,stack_length_label,target_repeat_count,feature_window,experimental_peak_d_A,simulated_peak_d_A,peak_offset_A,abs_peak_offset_A,simulated_peak_intensity_norm,window_area_simulated,window_area_experimental
29,original,,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.182067443906,0.00998569750924,0.145579534848
29,original,,3.77 A,3.795,3.79471639446,-0.000283605539219,0.000283605539219,0.0156627839871,0.00179412728154,0.086462002178
29,original,,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0176380595648,0.00256632740125,0.173910547604
29,original,,5.6 A,5.577,5.58327265748,0.00627265747814,0.00627265747814,0.0166516611717,0.00209483534095,0.0921098319851
29,original,,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0135328283022,0.00283533063369,0.147248249844
30,original,,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.167265503433,0.0092420559487,0.145579534848
30,original,,3.77 A,3.795,3.79471639446,-0.000283605539219,0.000283605539219,0.017175440771,0.00183865484864,0.086462002178
30,original,,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0168809871014,0.00244024417882,0.173910547604
30,original,,5.6 A,5.577,5.58327265748,0.00627265747814,0.00627265747814,0.0205714675298,0.00259855597531,0.0921098319851
30,original,,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0132797741065,0.00249131255619,0.147248249844
31,original,,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.121206791697,0.00653053622885,0.145579534848
31,original,,3.77 A,3.795,3.70863878878,-0.0863612112229,0.0863612112229,0.0152471608861,0.00161077632996,0.086462002178
31,original,,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0101200775068,0.00114181354476,0.173910547604
31,original,,5.6 A,5.577,5.58327265748,0.00627265747814,0.00627265747814,0.0226530755537,0.00281045919421,0.0921098319851
31,original,,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0104552033839,0.00225009736069,0.147248249844
29,extended_32layer_equiv,32,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.161241344165,0.0101360874674,0.145579534848
29,extended_32layer_equiv,32,3.77 A,3.795,3.7771670273,-0.0178329726963,0.0178329726963,0.0182538402651,0.00201344964432,0.086462002178
29,extended_32layer_equiv,32,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0188568004785,0.00255771133394,0.173910547604
29,extended_32layer_equiv,32,5.6 A,5.577,5.58327265748,0.00627265747814,0.00627265747814,0.0165290802674,0.00210052479616,0.0921098319851
29,extended_32layer_equiv,32,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0145912214163,0.0030578558105,0.147248249844
29,extended_64layer_equiv,64,3.38/3.4 A,3.381,3.488064464,0.107064464,0.107064464,0.310528939557,0.0149232367632,0.145579534848
29,extended_64layer_equiv,64,3.77 A,3.795,3.7771670273,-0.0178329726963,0.0178329726963,0.0297051703763,0.00257576483351,0.086462002178
29,extended_64layer_equiv,64,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0236967947212,0.00253405701806,0.173910547604
29,extended_64layer_equiv,64,5.6 A,5.577,5.62272176729,0.0457217672928,0.0457217672928,0.0294872819724,0.00217802140789,0.0921098319851
29,extended_64layer_equiv,64,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0170799538494,0.00351857650991,0.147248249844
29,extended_100layer_equiv,100,3.38/3.4 A,3.381,3.488064464,0.107064464,0.107064464,0.514891817535,0.0221467853103,0.145579534848
29,extended_100layer_equiv,100,3.77 A,3.795,3.7771670273,-0.0178329726963,0.0178329726963,0.0271309644303,0.00282207782787,0.086462002178
29,extended_100layer_equiv,100,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.0227058451172,0.00244967220592,0.173910547604
29,extended_100layer_equiv,100,5.6 A,5.577,5.62272176729,0.0457217672928,0.0457217672928,0.0408994075081,0.00297552096535,0.0921098319851
29,extended_100layer_equiv,100,7.3 A,7.325,7.34311339524,0.0181133952385,0.0181133952385,0.0176497136906,0.0030015260056,0.147248249844
30,extended_32layer_equiv,32,3.38/3.4 A,3.381,3.41583473048,0.0348347304828,0.0348347304828,0.142855662431,0.00946148274156,0.145579534848
30,extended_32layer_equiv,32,3.77 A,3.795,3.79471639446,-0.000283605539219,0.000283605539219,0.0179011883568,0.00205341002378,0.086462002178
30,extended_32layer_equiv,32,4.4 A,4.401,4.34277828279,-0.0582217172089,0.0582217172089,0.017791161221,0.00239743151231,0.173910547604
30,extended_32layer_equiv,32,5.6 A,5.577,5.62272176729,0.0457217672928,0.0457217672928,0.0210544493557,0.00259165541676,0.0921098319851
