structure_id,source_pdb,distance_window,residue_pair_class,chain_relation,residue_sequence_relation,atom_pair_class,pair_count,fraction_of_window,mean_distance_A
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,24,0.010499,4.7841
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_base_like,6,0.002625,4.6786
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,36,0.015748,4.7691
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_base_like,6,0.002625,4.6785
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,12,0.005249,4.7838
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_base_like,3,0.001312,4.6786
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,60,0.026247,4.8247
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_base_like,135,0.059055,4.7623
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_scaffold_linker,90,0.039370,4.8031
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_backbone_like,72,0.031496,4.8822
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_base_like,48,0.020997,4.7155
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_scaffold_linker,108,0.047244,4.6012
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,adjacent_unit,scaffold_linker_vs_scaffold_linker,6,0.002625,4.6899
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,18,0.007874,4.7274
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,scaffold_linker_vs_scaffold_linker,6,0.002625,4.7274
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,18,0.007874,4.7272
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,scaffold_linker_vs_scaffold_linker,12,0.005249,4.7090
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,9,0.003937,4.7278
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,scaffold_linker_vs_scaffold_linker,3,0.001312,4.7284
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,4p5_5p0,GLU_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,30,0.013123,4.5443
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_base_like,21,1.000000,3.0503
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,base_like_vs_base_like,24,0.119403,3.4497
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,longer_range,base_like_vs_base_like,24,0.119403,3.4494
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,near_axial,base_like_vs_base_like,24,0.119403,3.4493
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,base_like_vs_base_like,36,0.179104,3.4021
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,36,0.179104,3.4661
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_base_like,36,0.179104,3.4563
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,GLU_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,12,0.059701,3.3741
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,GLU_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,6,0.029851,3.3744
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,GLU_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,3,0.014925,3.3737
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,backbone_like_vs_base_like,24,0.008523,4.6818
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,base_like_vs_base_like,210,0.074574,4.8055
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,backbone_like_vs_backbone_like,12,0.004261,4.8865
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,backbone_like_vs_base_like,24,0.008523,4.6815
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,base_like_vs_base_like,390,0.138494,4.8555
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,backbone_like_vs_backbone_like,12,0.004261,4.8864
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,backbone_like_vs_base_like,24,0.008523,4.6820
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,base_like_vs_base_like,300,0.106534,4.8381
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,same_unit,backbone_like_vs_backbone_like,6,0.002131,4.8861
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,same_unit,base_like_vs_base_like,87,0.030895,4.8353
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,backbone_like_vs_backbone_like,36,0.012784,4.5925
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,backbone_like_vs_base_like,108,0.038352,4.6731
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,base_like_vs_base_like,702,0.249290,4.7988
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,adjacent_unit,backbone_like_vs_backbone_like,12,0.004261,4.7380
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,60,0.021307,4.7751
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_base_like,12,0.004261,4.6787
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,36,0.012784,4.7691
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_base_like,6,0.002131,4.6785
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,12,0.004261,4.7838
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_base_like,3,0.001065,4.6786
