path,classification,backbone_file_path,backbone_exists,base_file_references,base_files_exist,h_rise,rise,h_twist,twist,is_hexad,build_strand,strand_orientation,strand,num_candidates,num_steps,ff_type,provenance_note
C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\pnab\pnab\data\Hexad.yaml,generic pNAB example YAML,threoninol_backbone.pdb,yes,,not_applicable,3.4;3.4;1,3.4;3.4;1,0;60;11,0;60;11,True,True;True;True;True;True;True,True;True;True;True;True;True,EEEEEEEEEE,1,10000000,MMFF94,Public pNAB hexad example; no HXC590 provenance marker found.
C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\pnab\pnab\data\Hexad_Antiparallel.yaml,possible antiparallel hexad YAML,threoninol_backbone.pdb,yes,triaminopyrimidine.pdb,yes,3.4;3.4;1,3.4;3.4;1,24;24;1,24;24;1,True,True;True;True;True;True;True,True;False;True;False;True;False,OOOOOOOOOO,1,10000000,MMFF94,Public pNAB antiparallel hexad example; no HXC590 provenance marker found.
