bin_start_A,bin_end_A,pair_count
0.000000,0.100000,816
0.100000,0.200000,0
0.200000,0.300000,0
0.300000,0.400000,0
0.400000,0.500000,0
0.500000,0.600000,0
0.600000,0.700000,0
0.700000,0.800000,0
0.800000,0.900000,0
0.900000,1.000000,0
1.000000,1.100000,0
1.100000,1.200000,0
1.200000,1.300000,1104
1.300000,1.400000,0
1.400000,1.500000,360
1.500000,1.600000,1440
1.600000,1.700000,0
1.700000,1.800000,0
1.800000,1.900000,0
1.900000,2.000000,0
2.000000,2.100000,0
2.100000,2.200000,24
2.200000,2.300000,360
2.300000,2.400000,1104
2.400000,2.500000,1800
2.500000,2.600000,0
2.600000,2.700000,0
2.700000,2.800000,360
2.800000,2.900000,360
2.900000,3.000000,0
3.000000,3.100000,360
3.100000,3.200000,1080
3.200000,3.300000,24
3.300000,3.400000,180
3.400000,3.500000,0
3.500000,3.600000,24
3.600000,3.700000,24
3.700000,3.800000,720
3.800000,3.900000,360
3.900000,4.000000,0
4.000000,4.100000,360
4.100000,4.200000,360
4.200000,4.300000,1440
4.300000,4.400000,0
4.400000,4.500000,336
4.500000,4.600000,1056
4.600000,4.700000,864
4.700000,4.800000,180
4.800000,4.900000,180
4.900000,5.000000,360
5.000000,5.100000,24
5.100000,5.200000,48
5.200000,5.300000,1080
5.300000,5.400000,720
5.400000,5.500000,180
5.500000,5.600000,744
5.600000,5.700000,1180
5.700000,5.800000,1500
5.800000,5.900000,1028
5.900000,6.000000,924
6.000000,6.100000,720
6.100000,6.200000,360
6.200000,6.300000,1128
6.300000,6.400000,1296
6.400000,6.500000,624
6.500000,6.600000,144
6.600000,6.700000,1440
6.700000,6.800000,2084
6.800000,6.900000,1188
6.900000,7.000000,1816
7.000000,7.100000,1940
7.100000,7.200000,844
7.200000,7.300000,1248
7.300000,7.400000,960
7.400000,7.500000,1368
7.500000,7.600000,1488
7.600000,7.700000,1584
7.700000,7.800000,1248
7.800000,7.900000,960
7.900000,8.000000,2112
8.000000,8.100000,1340
8.100000,8.200000,2032
8.200000,8.300000,1252
8.300000,8.400000,1664
8.400000,8.500000,2592
8.500000,8.600000,2040
