rise_A,mean_abs_primary_peak_offset_A,max_abs_primary_peak_offset_A,base_stack_peak_offset_A,feature_3p77_offset_A,feature_4p4_offset_A,feature_5p6_offset_A,feature_7p3_offset_A,rank_by_mean_abs_offset,qualitative_note
3.36,0.07401743596739063,0.12635363634579022,0.03483473048281516,-0.08636121122288598,-0.10442420654701134,0.12635363634579022,0.018113395238450458,4,worse than best by mean primary-window offset
3.37,0.07401743596739063,0.12635363634579022,0.03483473048281516,-0.08636121122288598,-0.10442420654701134,0.12635363634579022,0.018113395238450458,5,worse than best by mean primary-window offset
3.38,0.06477693809977474,0.12635363634579022,0.03483473048281516,-0.08636121122288598,-0.05822171720893188,0.12635363634579022,0.018113395238450458,2,worse than best by mean primary-window offset
3.39,0.06477693809977474,0.12635363634579022,0.03483473048281516,-0.08636121122288598,-0.05822171720893188,0.12635363634579022,0.018113395238450458,3,worse than best by mean primary-window offset
3.40,0.06339043386912087,0.13736680173932925,0.03483473048281516,-0.0002836055392192449,0.13736680173932925,0.12635363634579022,0.018113395238450458,1,best mean primary-window offset
