feature_window,rank,twist_deg,normalized_intensity,d_A_at_max,q_Ainv_at_max,mean_intensity_at_max
3.4 A,1,30,1,3.45606988144,1.81801454331,43565070.0613
3.4 A,2,24,0.484621613095,3.45606988144,1.81801454331,42705927.6796
3.4 A,3,36,0.475783419483,3.45606988144,1.81801454331,42589076.1814
3.4 A,4,28,0.413180266706,3.45606988144,1.81801454331,45374279.6658
3.4 A,5,32,0.402296101395,3.45606988144,1.81801454331,44689964.8811
3.4 A,6,26,0.310529844568,3.45606988144,1.81801454331,42677540.0766
3.4 A,7,34,0.305709051216,3.45606988144,1.81801454331,43165872.7606
3.0 A,1,30,0.163802245368,2.94348441188,2.13460797748,7136056.29567
3.0 A,2,36,0.0890746490716,2.94348441188,2.13460797748,7973390.5382
3.0 A,3,24,0.0882802164232,3.08539548514,2.03642785421,7779447.79232
3.0 A,4,32,0.0552232747844,2.94348441188,2.13460797748,6134601.35997
3.0 A,5,28,0.0551322297491,2.94348441188,2.13460797748,6054464.38955
3.0 A,6,26,0.0448880235664,2.97073250207,2.11502897107,6169166.85538
3.0 A,7,34,0.0423627263951,3.08539548514,2.03642785421,5981582.97926
4.5-5.0 A,1,30,0.290542680173,4.57871619776,1.37225917393,12657512.2175
4.5-5.0 A,2,24,0.227380723545,4.64819763189,1.35174659186,20037291.9264
4.5-5.0 A,3,36,0.212579872924,4.5113462127,1.39275174437,19028785.014
4.5-5.0 A,4,26,0.149993070238,4.5113462127,1.39275174437,20614235.2442
4.5-5.0 A,5,28,0.149196617654,4.57871619776,1.37225917393,16384347.4631
4.5-5.0 A,6,32,0.145663271183,4.57871619776,1.37225917393,16181331.241
4.5-5.0 A,7,34,0.138140290427,4.5113462127,1.39275174437,19505298.178
4.1 A,1,30,0.229061774559,4.03819213836,1.55594015636,9979092.25702
4.1 A,2,24,0.11200844793,4.03819213836,1.55594015636,9870431.99796
4.1 A,3,28,0.103496916764,4.14657238238,1.51527206757,11365736.5179
4.1 A,4,32,0.102821969032,4.09163524291,1.53561716384,11422209.087
4.1 A,5,36,0.102454288828,4.03819213836,1.55594015636,9171049.96375
4.1 A,6,34,0.0820704404507,4.14657238238,1.51527206757,11588280.3463
4.1 A,7,26,0.0816967017879,4.14657238238,1.51527206757,11227952.2425
5.5 A,1,30,0.512411856945,5.58572165085,1.12486545158,22323258.4481
5.5 A,2,24,0.191131433999,5.58572165085,1.12486545158,16842924.4117
5.5 A,3,36,0.182821831871,5.58572165085,1.12486545158,16365036.2882
5.5 A,4,28,0.171921463687,5.58572165085,1.12486545158,18879925.3073
5.5 A,5,32,0.171331748982,5.58572165085,1.12486545158,19032771.6785
5.5 A,6,26,0.0991201456123,5.58572165085,1.12486545158,13622536.0002
5.5 A,7,34,0.0965434397843,5.58572165085,1.12486545158,13631856.2405
7.0 A,1,30,0.391869083071,7.18019485812,0.875071698099,17071804.0588
7.0 A,2,24,0.242704353075,7.18019485812,0.875071698099,21387644.0296
7.0 A,3,36,0.239029256436,7.18019485812,0.875071698099,21396363.9653
7.0 A,4,28,0.187494173726,7.18019485812,0.875071698099,20590075.9544
7.0 A,5,32,0.179403018141,7.18019485812,0.875071698099,19929386.719
7.0 A,6,26,0.153835517233,7.18019485812,0.875071698099,21142320.3494
7.0 A,7,34,0.141058978593,7.18019485812,0.875071698099,19917414.6054
8.4 A,1,24,0.650807057975,8.38392522748,0.749432412229,57350556.3933
8.4 A,2,36,0.63040862087,8.38392522748,0.749432412229,56430131.1904
8.4 A,3,30,0.340482271437,8.38392522748,0.749432412229,14833134.0098
8.4 A,4,26,0.190165008932,8.38392522748,0.749432412229,26135248.9361
8.4 A,5,32,0.180788984166,8.38392522748,0.749432412229,20083349.8641
8.4 A,6,28,0.180101618064,8.38392522748,0.749432412229,19778246.5544
8.4 A,7,34,0.176868616134,8.38392522748,0.749432412229,24973706.696
