bin_start_A,bin_end_A,pair_count
25.100000,25.200000,3648
25.200000,25.300000,3968
25.300000,25.400000,4388
25.400000,25.500000,3733
25.500000,25.600000,4773
25.600000,25.700000,3836
25.700000,25.800000,3907
25.800000,25.900000,5171
25.900000,26.000000,3448
26.000000,26.100000,3947
26.100000,26.200000,4497
26.200000,26.300000,3975
26.300000,26.400000,4342
26.400000,26.500000,4201
26.500000,26.600000,3777
26.600000,26.700000,3684
26.700000,26.800000,4393
26.800000,26.900000,4034
26.900000,27.000000,4141
27.000000,27.100000,3027
27.100000,27.200000,4273
27.200000,27.300000,5038
27.300000,27.400000,4160
27.400000,27.500000,3888
27.500000,27.600000,3556
27.600000,27.700000,4056
27.700000,27.800000,4029
27.800000,27.900000,4291
27.900000,28.000000,3209
28.000000,28.100000,3699
28.100000,28.200000,3597
28.200000,28.300000,3019
28.300000,28.400000,3717
28.400000,28.500000,3666
28.500000,28.600000,3371
28.600000,28.700000,4518
28.700000,28.800000,3533
28.800000,28.900000,3552
28.900000,29.000000,4267
29.000000,29.100000,3398
29.100000,29.200000,3700
29.200000,29.300000,4067
29.300000,29.400000,4240
29.400000,29.500000,3582
29.500000,29.600000,4074
29.600000,29.700000,3714
29.700000,29.800000,2942
29.800000,29.900000,3290
29.900000,30.000000,2957
