bin_start_A,bin_end_A,pair_count
0.000000,0.100000,0
0.100000,0.200000,0
0.200000,0.300000,0
0.300000,0.400000,0
0.400000,0.500000,0
0.500000,0.600000,0
0.600000,0.700000,0
0.700000,0.800000,0
0.800000,0.900000,0
0.900000,1.000000,0
1.000000,1.100000,0
1.100000,1.200000,0
1.200000,1.300000,20
1.300000,1.400000,18
1.400000,1.500000,56
1.500000,1.600000,4
1.600000,1.700000,0
1.700000,1.800000,3
1.800000,1.900000,2
1.900000,2.000000,0
2.000000,2.100000,0
2.100000,2.200000,0
2.200000,2.300000,20
2.300000,2.400000,54
2.400000,2.500000,40
2.500000,2.600000,21
2.600000,2.700000,21
2.700000,2.800000,41
2.800000,2.900000,24
2.900000,3.000000,25
3.000000,3.100000,5
3.100000,3.200000,0
3.200000,3.300000,5
3.300000,3.400000,4
3.400000,3.500000,22
3.500000,3.600000,11
3.600000,3.700000,51
3.700000,3.800000,29
3.800000,3.900000,13
3.900000,4.000000,35
4.000000,4.100000,15
4.100000,4.200000,5
4.200000,4.300000,37
4.300000,4.400000,24
4.400000,4.500000,6
4.500000,4.600000,11
4.600000,4.700000,12
4.700000,4.800000,40
4.800000,4.900000,111
4.900000,5.000000,22
5.000000,5.100000,42
5.100000,5.200000,64
5.200000,5.300000,14
5.300000,5.400000,22
5.400000,5.500000,11
5.500000,5.600000,2
5.600000,5.700000,12
5.700000,5.800000,21
5.800000,5.900000,28
5.900000,6.000000,34
6.000000,6.100000,69
6.100000,6.200000,60
6.200000,6.300000,17
6.300000,6.400000,25
6.400000,6.500000,31
6.500000,6.600000,20
6.600000,6.700000,4
6.700000,6.800000,13
6.800000,6.900000,22
6.900000,7.000000,34
7.000000,7.100000,31
7.100000,7.200000,47
7.200000,7.300000,107
7.300000,7.400000,12
7.400000,7.500000,50
7.500000,7.600000,22
7.600000,7.700000,22
7.700000,7.800000,23
7.800000,7.900000,24
7.900000,8.000000,16
8.000000,8.100000,7
8.100000,8.200000,16
8.200000,8.300000,28
8.300000,8.400000,28
8.400000,8.500000,47
8.500000,8.600000,39
8.600000,8.700000,16
8.700000,8.800000,28
8.800000,8.900000,5
8.900000,9.000000,25
9.000000,9.100000,8
9.100000,9.200000,20
9.200000,9.300000,22
9.300000,9.400000,7
9.400000,9.500000,8
9.500000,9.600000,18
9.600000,9.700000,85
9.700000,9.800000,46
9.800000,9.900000,50
9.900000,10.000000,20
10.000000,10.100000,15
10.100000,10.200000,21
10.200000,10.300000,10
10.300000,10.400000,14
10.400000,10.500000,17
10.500000,10.600000,13
10.600000,10.700000,0
10.700000,10.800000,0
10.800000,10.900000,46
10.900000,11.000000,16
11.000000,11.100000,18
11.100000,11.200000,38
11.200000,11.300000,9
11.300000,11.400000,14
11.400000,11.500000,19
11.500000,11.600000,20
11.600000,11.700000,16
11.700000,11.800000,18
11.800000,11.900000,18
11.900000,12.000000,34
12.000000,12.100000,61
12.100000,12.200000,24
12.200000,12.300000,47
12.300000,12.400000,13
12.400000,12.500000,17
12.500000,12.600000,17
12.600000,12.700000,11
12.700000,12.800000,7
12.800000,12.900000,2
12.900000,13.000000,0
13.000000,13.100000,0
13.100000,13.200000,12
13.200000,13.300000,41
13.300000,13.400000,30
13.400000,13.500000,11
13.500000,13.600000,14
13.600000,13.700000,10
13.700000,13.800000,35
13.800000,13.900000,27
13.900000,14.000000,6
14.000000,14.100000,17
14.100000,14.200000,9
14.200000,14.300000,20
14.300000,14.400000,16
14.400000,14.500000,82
14.500000,14.600000,20
