candidate_id,candidate_label,candidate_family,candidate_role,predicted_peak_rank,predicted_d_angstrom,predicted_q_inv_angstrom,relative_intensity,matched_experimental_window
central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,9,4.012012,1.566093,0.139841,no
central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,10,3.581075,1.754553,0.129852,no
central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,11,3.693994,1.700919,0.125684,no
central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,12,3.753313,1.674037,0.105776,yes
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,1,3.449745,1.821348,1.000000,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,2,5.637662,1.114502,0.272677,yes
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,3,3.328208,1.887858,0.187167,yes
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,4,3.693994,1.700919,0.186220,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,5,4.012012,1.566093,0.141767,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,6,4.613187,1.362005,0.140681,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,7,3.878156,1.620148,0.138292,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,8,4.310904,1.457510,0.129677,yes
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,9,6.626807,0.948147,0.081474,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,10,5.188157,1.211063,0.076412,no
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,11,3.581075,1.754553,0.056936,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,1,3.449745,1.821348,1.000000,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,2,5.637662,1.114502,0.378606,yes
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,3,4.806469,1.307235,0.317441,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,4,3.693994,1.700919,0.296617,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,5,4.012012,1.566093,0.271925,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,6,3.878156,1.620148,0.237164,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,7,4.310904,1.457510,0.197611,yes
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,8,5.072887,1.238582,0.194886,no
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,9,3.328208,1.887858,0.190595,yes
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,10,3.753313,1.674037,0.165071,yes
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,11,6.626807,0.948147,0.081760,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,1,3.449745,1.821348,1.000000,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,2,5.637662,1.114502,0.333404,yes
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,3,3.693994,1.700919,0.270918,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,4,4.012012,1.566093,0.225806,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,5,4.806469,1.307235,0.207383,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,6,3.878156,1.620148,0.206409,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,7,3.328208,1.887858,0.186898,yes
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,8,4.613187,1.362005,0.176659,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,9,4.310904,1.457510,0.167969,yes
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,10,5.072887,1.238582,0.135036,no
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,11,6.626807,0.948147,0.079305,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,1,3.449745,1.821348,1.000000,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,2,5.637662,1.114502,0.299149,yes
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,3,3.693994,1.700919,0.229457,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,4,3.328208,1.887858,0.186063,yes
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,5,4.012012,1.566093,0.180154,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,6,3.878156,1.620148,0.170797,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,7,4.613187,1.362005,0.154811,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,8,4.310904,1.457510,0.145705,yes
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,9,4.806469,1.307235,0.132777,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,10,5.072887,1.238582,0.094648,no
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,11,6.626807,0.948147,0.079478,no
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,1,3.449745,1.821348,1.000000,no
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,2,5.637662,1.114502,0.272677,yes
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,3,3.328208,1.887858,0.187167,yes
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,4,3.693994,1.700919,0.186220,no
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,5,4.012012,1.566093,0.141767,no
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,6,4.613187,1.362005,0.140681,no
