twist_deg,pair_scope,distance_band,atom_class_a,atom_class_b,pair_count,mean_distance_A,median_distance_A,p10_distance_A,p90_distance_A,hist_peak_distance_A,delta_hist_peak_vs_30_A,delta_pair_count_vs_30,note
30,adjacent_layers,feature_5p6_5p35_5p85,backbone,base_core,346,5.61117797431,5.63860881433,5.47806516938,5.74394463762,5.5,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_5p6_5p35_5p85,backbone,side_chain_or_carboxylate,281,5.60706158195,5.60270452549,5.41672013307,5.82272874175,5.6,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_5p6_5p35_5p85,base_core,base_core,514,5.65566522816,5.63178195601,5.45476817105,5.8348834607,5.84,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_5p6_5p35_5p85,base_core,side_chain_or_carboxylate,127,5.50142315401,5.46453593638,5.38624835997,5.66352778721,5.46,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_5p6_5p35_5p85,side_chain_or_carboxylate,side_chain_or_carboxylate,108,5.69949262951,5.72971456532,5.5589791329,5.83116326302,5.84,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,backbone,backbone,214,7.25982446484,7.23559375578,7.06217338918,7.52797954301,7.07,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,backbone,base_core,724,7.32739926597,7.32025190823,7.14508134424,7.53168865528,7.19,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,backbone,side_chain_or_carboxylate,498,7.36060351491,7.39873110743,7.09885089293,7.56325974696,7.47,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,base_core,base_core,583,7.26316504617,7.29028511102,7.02780203179,7.44571897133,7.29,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,base_core,side_chain_or_carboxylate,459,7.34281881012,7.37307574897,7.09134683963,7.55286132973,7.41,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
30,adjacent_layers,feature_7p3_7p0_7p6,side_chain_or_carboxylate,side_chain_or_carboxylate,145,7.27331536169,7.2641174963,7.02190465615,7.55244450493,7.03,0,0,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,base_stack_3p2_3p6,backbone,backbone,95,3.45553430775,3.42677267994,3.39444313509,3.56952996901,3.39,0.1,38,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,base_stack_3p2_3p6,backbone,side_chain_or_carboxylate,90,3.42069434472,3.44213361044,3.23579957654,3.52033065167,3.43,-0.14,30,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,base_stack_3p2_3p6,base_core,base_core,186,3.5168331038,3.5320147898,3.40563591712,3.58737961463,3.53,0.02,8,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,base_stack_3p2_3p6,side_chain_or_carboxylate,side_chain_or_carboxylate,8,3.4400681413,3.44027605264,3.41607799634,3.46395883318,3.41,-0.08,2,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_3p77_3p6_3p95,backbone,backbone,70,3.70647643084,3.70886539254,3.64770640261,3.87391720338,3.65,-0.02,-22,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_3p77_3p6_3p95,backbone,side_chain_or_carboxylate,64,3.80449279503,3.89981198256,3.64629954748,3.90662295302,3.91,0.24,16,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_3p77_3p6_3p95,base_core,base_core,330,3.70853421836,3.71233585478,3.66621211806,3.75142291671,3.71,0,-80,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_3p77_3p6_3p95,base_core,side_chain_or_carboxylate,68,3.83992724894,3.83083391704,3.77691637208,3.91083842521,3.91,0.1,-29,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_3p77_3p6_3p95,side_chain_or_carboxylate,side_chain_or_carboxylate,4,3.92372012004,3.92390360466,3.92327176576,3.92402168663,3.93,,,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_4p4_4p15_4p65,backbone,backbone,124,4.50069078253,4.58811328325,4.35323518244,4.61594151825,4.62,0.14,-62,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_4p4_4p15_4p65,backbone,base_core,109,4.4899780133,4.57573218185,4.2072149933,4.63724334057,4.38,0,67,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_4p4_4p15_4p65,backbone,side_chain_or_carboxylate,144,4.47286075444,4.48825907207,4.33713127171,4.60901584925,4.34,0.14,24,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_4p4_4p15_4p65,base_core,base_core,508,4.35283984568,4.32841570323,4.15755940349,4.56323799409,4.46,0.2,60,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
