model_id,variant_id,units_per_chain,truncation_rule,contact_cutoff_A,chain_count,total_atom_count,total_interchain_contacts,contacts_per_unit,contacts_per_chain_pair_mean,contacts_per_chain_pair_min,contacts_per_chain_pair_max,number_of_chain_pair_edges,chain_graph_connected,chain_graph_average_degree,chain_graph_min_degree,chain_graph_edge_density,chain_graph_weighted_density,number_of_connected_components,largest_component_chain_count,CYP_MEP_contact_count,CYP_MEP_contact_fraction,GLU_contact_count,backbone_like_contact_count,unit_graph_node_count,unit_graph_edge_count,unit_graph_connected_component_count,unit_graph_largest_component_fraction,axial_contact_span_A,contact_redundancy_score,nucleation_network_score,perturbation_sample_count,perturbation_contact_fraction_vs_reference_mean,perturbation_contact_fraction_vs_reference_std,perturbation_chain_graph_connected_probability,perturbation_all_six_one_component_probability,notes,warnings
length_4_central_twist_30,central4_units,4,central,4.500,6,948,1032,258.000000,68.800000,0,178,6,True,2.000000,2,0.400000,68.800000,1,6,951,0.921512,90,78,24,45,1,1.000000,13.631000,0.800532,0.776990,3,0.742571,0.038875,1.000000,1.000000,candidate arm/core contact classes unavailable; contacts are heavy-atom interchain pairs in static coordinates,
length_7_central_twist_30,central7_units,7,central,4.500,6,1659,2256,322.285714,150.400000,0,442,6,True,2.000000,2,0.400000,150.400000,1,6,2067,0.916223,210,180,42,93,1,1.000000,25.248000,1.000000,0.891949,3,0.784427,0.039299,1.000000,1.000000,candidate arm/core contact classes unavailable; contacts are heavy-atom interchain pairs in static coordinates,
length_8_central_twist_30,central8_units,8,central,4.500,6,1896,2448,306.000000,163.200000,0,442,6,True,2.000000,2,0.400000,163.200000,1,6,2259,0.922794,210,186,48,105,1,1.000000,27.224000,0.949468,0.889376,3,0.802560,0.056067,1.000000,1.000000,candidate arm/core contact classes unavailable; contacts are heavy-atom interchain pairs in static coordinates,
