model_id,rise_label,rise_A,twist_deg,sidechain_variant,candidate_id,coordinate_file,coordinate_status,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
rise3p38_twist28_sidechain_cand22,rise3p38,3.380,28.000,sidechain,cand22,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand22\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand23,rise3p38,3.380,28.000,sidechain,cand23,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand23\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand24,rise3p38,3.380,28.000,sidechain,cand24,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand24\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand25,rise3p38,3.380,28.000,sidechain,cand25,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand25\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand26,rise3p38,3.380,28.000,sidechain,cand26,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand26\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand27,rise3p38,3.380,28.000,sidechain,cand27,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand27\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand28,rise3p38,3.380,28.000,sidechain,cand28,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand28\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand29,rise3p38,3.380,28.000,sidechain,cand29,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand29\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand3,rise3p38,3.380,28.000,sidechain,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand30,rise3p38,3.380,28.000,sidechain,cand30,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand30\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand4,rise3p38,3.380,28.000,sidechain,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
