rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,18,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\18\cand7\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\18\cand7\initial.pdb,glu_ablated,2364,1446
rise3p38,18,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\18\cand8\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\18\cand8\initial.pdb,glu_ablated,2364,1446
rise3p38,18,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\18\cand9\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\18\cand9\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand0\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand0\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand1\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand1\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand10,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand10\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand10\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand11,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand11\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand11\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand12,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand12\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand12\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand13,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand13\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand13\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand14,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand14\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand14\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand15,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand15\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand15\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand16,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand16\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand16\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand17,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand17\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand17\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand18,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand18\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand18\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand19,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand19\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand19\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand2\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand2\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand20,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand20\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand20\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand21,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand21\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand21\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand22,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand22\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand22\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand23,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand23\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand23\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand24,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand24\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand24\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand25,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand25\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand25\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand26,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand26\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand26\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand27,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand27\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand27\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand28,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand28\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand28\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand29,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand29\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand29\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand3\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand3\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand30,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand30\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand30\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand31,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand31\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand31\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand32,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand32\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand32\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand33,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand33\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand33\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand34,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand34\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand34\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand4\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand4\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand5\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand5\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand6\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand6\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand7\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand7\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand8\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand8\initial.pdb,glu_ablated,2364,1446
rise3p38,19,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\19\cand9\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\19\cand9\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand0\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand0\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand1\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand1\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand10,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand10\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand10\initial.pdb,glu_ablated,2364,1446
