rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,model_status,diffraction_status,diffraction_file,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count
11,angle31_cand12,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand12.npy,31,cand12,inputs/asem_sidechains_20260625/raw/31/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand12.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand12.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand12.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand12_radial.csv,True,33,100,2,4,1,180,8
12,angle31_cand13,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand13.npy,31,cand13,inputs/asem_sidechains_20260625/raw/31/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand13.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand13.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand13.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand13_radial.csv,True,33,100,2,4,1,180,8
13,angle31_cand2,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand2.npy,31,cand2,inputs/asem_sidechains_20260625/raw/31/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand2.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand2_radial.csv,True,33,100,2,4,1,180,8
14,angle31_cand3,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand3.npy,31,cand3,inputs/asem_sidechains_20260625/raw/31/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand3.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand3_radial.csv,True,33,100,2,4,1,180,8
15,angle31_cand4,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand4.npy,31,cand4,inputs/asem_sidechains_20260625/raw/31/cand4/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand4.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand4.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand4.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand4_radial.csv,True,33,100,2,4,1,180,8
16,angle31_cand5,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand5.npy,31,cand5,inputs/asem_sidechains_20260625/raw/31/cand5/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand5.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand5.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand5.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand5_radial.csv,True,33,100,2,4,1,180,8
17,angle31_cand6,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand6.npy,31,cand6,inputs/asem_sidechains_20260625/raw/31/cand6/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand6.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand6.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand6.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand6_radial.csv,True,33,100,2,4,1,180,8
18,angle31_cand7,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand7.npy,31,cand7,inputs/asem_sidechains_20260625/raw/31/cand7/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand7.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand7.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand7.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand7_radial.csv,True,33,100,2,4,1,180,8
19,angle31_cand8,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand8.npy,31,cand8,inputs/asem_sidechains_20260625/raw/31/cand8/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand8.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand8.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand8.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand8_radial.csv,True,33,100,2,4,1,180,8
20,angle31_cand9,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand9.npy,31,cand9,inputs/asem_sidechains_20260625/raw/31/cand9/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand9.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand9.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand9.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand9_radial.csv,True,33,100,2,4,1,180,8
