model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle27_cand0,base,3.387821154,6033451.010762249,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand0,A,3.960699724,1217976.563868543,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand0,B,4.251381407,1323924.836085615,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand0,C,5.744561801,770321.818929107,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand0,D,7.208895339,1273928.563475974,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand1,base,3.387821154,6273312.114175878,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand1,A,3.960699724,1236133.137275880,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand1,B,4.251381407,1381016.619050513,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand1,C,5.468247632,712404.639600980,5.650000000,-0.181752368,5.450000000,5.850000000,found
angle27_cand1,D,7.208895339,1300032.774984542,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand10,base,3.387821154,4022008.749597131,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand10,A,3.708638789,918524.487948752,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand10,B,4.414046366,804589.514386903,4.400000000,0.014046366,4.200000000,4.600000000,found
angle27_cand10,C,5.744561801,805888.847508514,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand10,D,7.208895339,1197174.516890639,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand11,base,3.387821154,5024731.562870481,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand11,A,3.708638789,822836.333101188,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand11,B,4.251381407,931978.226979568,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand11,C,5.744561801,963788.627704007,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand11,D,7.208895339,1277760.846488500,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand12,base,3.387821154,4904598.181086247,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand12,A,3.708638789,833323.527025644,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand12,B,4.251381407,857690.828904598,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand12,C,5.744561801,915254.594869833,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand12,D,7.208895339,1232738.679319102,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand13,base,3.387821154,4415430.396111698,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand13,A,3.960699724,883602.045975292,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand13,B,4.414046366,1228190.491295559,4.400000000,0.014046366,4.200000000,4.600000000,found
angle27_cand13,C,5.744561801,1017827.778941861,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand13,D,7.208895339,951198.864483182,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand14,base,3.387821154,4914512.962926999,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand14,A,3.708638789,852028.948595326,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand14,B,4.251381407,868698.991805960,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand14,C,5.744561801,941460.558967579,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand14,D,7.208895339,1179347.072771838,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand15,base,3.387821154,4900291.128495158,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand15,A,3.708638789,853865.593108520,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand15,B,4.251381407,868316.098062165,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand15,C,5.744561801,938946.339717942,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand15,D,7.208895339,1170543.594510857,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand16,base,3.387821154,4155264.494298497,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand16,A,3.960699724,876211.450682075,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand16,B,4.414046366,1177797.058423278,4.400000000,0.014046366,4.200000000,4.600000000,found
angle27_cand16,C,5.744561801,1045524.034356378,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand16,D,7.208895339,1059676.083701656,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand17,base,3.387821154,5480043.582593428,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand17,A,3.708638789,864625.691105877,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand17,B,4.251381407,1249658.202248455,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand17,C,5.744561801,931984.548258995,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand17,D,7.208895339,720929.086223123,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand18,base,3.387821154,4859359.430500360,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand18,A,3.708638789,876142.634120388,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand18,B,4.414046366,1192137.163039594,4.400000000,0.014046366,4.200000000,4.600000000,found
angle27_cand18,C,5.744561801,1007097.180614796,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand18,D,7.208895339,870169.336784586,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand19,base,3.387821154,5076037.977079459,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand19,A,3.960699724,877768.299491974,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand19,B,4.414046366,1195114.887701642,4.400000000,0.014046366,4.200000000,4.600000000,found
angle27_cand19,C,5.744561801,975436.947627880,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand19,D,7.208895339,803221.673696906,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand2,base,3.387821154,6458919.581586085,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand2,A,3.960699724,1205804.811136381,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand2,B,4.251381407,1456244.655167844,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand2,C,5.468247632,700192.874307296,5.650000000,-0.181752368,5.450000000,5.850000000,found
angle27_cand2,D,7.208895339,1280794.401037261,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand20,base,3.387821154,5990517.802722888,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand20,A,3.708638789,884100.069640281,3.800000000,-0.091361211,3.600000000,4.000000000,found
angle27_cand20,B,4.251381407,1306472.863621623,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand20,C,5.744561801,912073.077563482,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand20,D,7.208895339,663551.684090006,7.300000000,-0.091104661,7.100000000,7.500000000,found
angle27_cand21,base,3.387821154,6948459.379797148,3.380000000,0.007821154,3.180000000,3.580000000,found
angle27_cand21,A,3.960699724,771825.259682196,3.800000000,0.160699724,3.600000000,4.000000000,found
angle27_cand21,B,4.251381407,1288255.087433058,4.400000000,-0.148618593,4.200000000,4.600000000,found
angle27_cand21,C,5.744561801,998660.106891020,5.650000000,0.094561801,5.450000000,5.850000000,found
angle27_cand21,D,7.208895339,571795.003658367,7.300000000,-0.091104661,7.100000000,7.500000000,found
