model_id,twist_deg,rise_A,model_status,diffraction_status,diffraction_file,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,base_rmsd,helical_rmsd,combined_rmsd,notes,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count
angle27_cand18,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.npy,scored,5,5,0,1.000000000,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,0.007821154,0.080290355,0.071899006,,27,cand18,inputs/asem_sidechains_20260625/raw/27/cand18/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand18.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand18_radial.csv,True,33,100,2,4,1,180,8
angle27_cand19,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339,0.007821154,0.103999634,0.093085837,,27,cand19,inputs/asem_sidechains_20260625/raw/27/cand19/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand19.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand19_radial.csv,True,33,100,2,4,1,180,8
angle27_cand2,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339,0.007821154,0.149370236,0.133646579,,27,cand2,inputs/asem_sidechains_20260625/raw/27/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand2_radial.csv,True,33,100,2,4,1,180,8
angle27_cand20,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.npy,scored,5,5,0,1.000000000,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339,0.007821154,0.109174574,0.097711331,,27,cand20,inputs/asem_sidechains_20260625/raw/27/cand20/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand20.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand20_radial.csv,True,33,100,2,4,1,180,8
angle27_cand21,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand21,inputs/asem_sidechains_20260625/raw/27/cand21/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand21.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand21_radial.csv,True,33,100,2,4,1,180,8
angle27_cand22,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339,0.007821154,0.103999634,0.093085837,,27,cand22,inputs/asem_sidechains_20260625/raw/27/cand22/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand22.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand22_radial.csv,True,33,100,2,4,1,180,8
angle27_cand23,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand23,inputs/asem_sidechains_20260625/raw/27/cand23/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand23.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand23_radial.csv,True,33,100,2,4,1,180,8
angle27_cand24,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand24,inputs/asem_sidechains_20260625/raw/27/cand24/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand24.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand24_radial.csv,True,33,100,2,4,1,180,8
angle27_cand25,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand25,inputs/asem_sidechains_20260625/raw/27/cand25/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand25.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand25_radial.csv,True,33,100,2,4,1,180,8
angle27_cand26,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand26,inputs/asem_sidechains_20260625/raw/27/cand26/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand26.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand26_radial.csv,True,33,100,2,4,1,180,8
