model_id,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A
angle27_cand0,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand1,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339
angle27_cand10,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle27_cand11,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand12,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand13,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339
angle27_cand14,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand15,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand16,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339
angle27_cand17,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand18,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle27_cand19,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339
angle27_cand2,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339
angle27_cand20,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand21,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand22,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339
angle27_cand23,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand24,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand25,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand26,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand27,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand28,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand29,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand3,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339
angle27_cand30,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand31,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand32,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand33,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand34,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand35,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle27_cand36,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand37,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339
angle27_cand4,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339
angle27_cand5,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle27_cand6,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle27_cand7,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle27_cand8,3.387821154,3.960699724,4.414046366,5.744561801,7.208895339
angle27_cand9,3.387821154,3.708638789,4.251381407,5.468247632,7.208895339
angle28_cand0,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle28_cand1,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
