model_id,twist_deg,rise_A,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds,notes
angle31_cand16,31,3.38,cand16,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand16.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand16.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand16.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand16.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand16_radial.csv,complete,1.491087400,
angle31_cand17,31,3.38,cand17,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand17.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand17_radial.csv,complete,1.524276800,
angle31_cand18,31,3.38,cand18,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand18.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand18.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand18.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand18.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand18_radial.csv,complete,1.548740200,
angle31_cand19,31,3.38,cand19,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand19.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand19.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand19.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand19.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand19_radial.csv,complete,1.492093100,
angle31_cand20,31,3.38,cand20,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand20.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand20_radial.csv,complete,1.504916600,
angle31_cand21,31,3.38,cand21,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand21.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand21.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand21.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand21.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand21_radial.csv,complete,1.497519500,
angle31_cand22,31,3.38,cand22,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand22.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand22.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand22.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand22.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand22_radial.csv,complete,1.642191400,
angle31_cand23,31,3.38,cand23,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand23.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand23.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand23.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand23.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand23_radial.csv,complete,1.534246701,
angle31_cand24,31,3.38,cand24,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand24.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand24.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand24.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand24.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand24_radial.csv,complete,1.482222900,
angle31_cand25,31,3.38,cand25,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand25.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand25.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand25.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand25.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand25_radial.csv,complete,1.522799700,
