rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds
11,angle30_cand8,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand8_radial.csv,complete,1.555394900
12,angle31_cand8,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand8_radial.csv,complete,1.490951000
13,angle31_cand11,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand11,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand11.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand11.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand11_radial.csv,complete,1.501222700
14,angle31_cand12,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand12,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand12.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand12.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand12_radial.csv,complete,1.497710300
15,angle31_cand13,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand13,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand13.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand13.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand13_radial.csv,complete,1.530236800
16,angle31_cand14,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand14,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand14.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand14.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand14_radial.csv,complete,1.536873600
17,angle31_cand15,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand15,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand15.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand15.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand15_radial.csv,complete,1.520717900
18,angle31_cand17,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand17,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand17.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand17.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand17_radial.csv,complete,1.524276800
19,angle31_cand20,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,,cand20,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand20.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand20.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand20_radial.csv,complete,1.504916600
20,angle29_cand10,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.113040352,0.101368623,3.363705721,3.927245421,4.544773274,5.534749550,7.326059938,,cand10,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand10.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand10_radial.csv,complete,1.530897500
