rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds
31,angle31_cand7,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand7_radial.csv,complete,1.500551700
32,angle31_cand9,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand9,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand9.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand9.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand9_radial.csv,complete,1.527655301
33,angle31_cand10,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand10,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand10.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand10.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand10_radial.csv,complete,1.522219100
34,angle29_cand5,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.119745747,0.107351459,3.363705721,3.622558525,4.290872040,5.534749550,7.326059938,,cand5,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand5.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand5_radial.csv,complete,1.487294400
35,angle29_cand8,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.119745747,0.107351459,3.363705721,3.622558525,4.290872040,5.534749550,7.326059938,,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand8_radial.csv,complete,1.503246500
36,angle29_cand9,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.119745747,0.107351459,3.363705721,3.622558525,4.290872040,5.534749550,7.326059938,,cand9,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand9.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand9_radial.csv,complete,1.514136100
37,angle29_cand11,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.119745747,0.107351459,3.363705721,3.622558525,4.290872040,5.534749550,7.326059938,,cand11,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand11.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand11_radial.csv,complete,1.482549300
38,angle29_cand13,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.119745747,0.107351459,3.363705721,3.622558525,4.290872040,5.534749550,7.326059938,,cand13,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand13.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand13_radial.csv,complete,1.515601300
39,angle29_cand7,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.126293342,0.113194996,3.363705721,3.994754549,4.290872040,5.534749550,7.326059938,,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand7_radial.csv,complete,1.487369900
40,angle29_cand12,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.126293342,0.113194996,3.363705721,3.994754549,4.290872040,5.534749550,7.326059938,,cand12,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand12.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand12_radial.csv,complete,1.489549200
41,angle29_cand0,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand0,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand0.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand0_radial.csv,complete,1.739169800
42,angle29_cand1,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand1,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand1.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand1_radial.csv,complete,1.557453900
43,angle29_cand2,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand2,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand2.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand2_radial.csv,complete,1.540225100
44,angle29_cand3,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand3,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand3.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand3_radial.csv,complete,1.547647100
45,angle29_cand4,29,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand4,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand4.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand4_radial.csv,complete,1.501979000
46,angle30_cand0,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand0,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand0.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand0_radial.csv,complete,1.527499900
47,angle30_cand1,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand1,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand1.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand1_radial.csv,complete,1.516124500
48,angle30_cand2,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand2,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand2.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand2_radial.csv,complete,1.499456300
49,angle30_cand3,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.128556287,0.115214911,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,,cand3,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand3.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand3_radial.csv,complete,1.513798800
50,angle30_cand6,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.134954086,0.120926362,3.363705721,3.994754549,4.544773274,5.534749550,7.326059938,,cand6,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand6.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand6_radial.csv,complete,1.486630499
