model_id,d_A,intensity
angle29_cand0,445.0130562565878,7739670527.987769
angle29_cand0,89.00503999841906,3974178446.1526537
angle29_cand0,63.5767633212819,2188631578.463834
angle29_cand0,40.46125183167113,553663125.3808118
angle29_cand0,29.675091945324713,100749483.34617436
angle29_cand0,26.18580879442811,40793103.83076784
angle29_cand0,23.43132431885384,11151805.142697573
angle29_cand0,21.20169597173345,9863938.903714407
angle29_cand0,19.36000469388422,11736990.619477263
angle29_cand0,16.495600130686242,7114887.619488606
angle29_cand0,15.359924226752971,5843172.206267877
angle29_cand0,14.370917190024475,3573667.496066118
angle29_cand0,13.501911881730377,1709743.3310128618
angle29_cand0,12.732336504650608,1384976.6860538293
angle29_cand0,12.04606721352027,2159487.566272553
angle29_cand0,11.430287614541383,2045137.4309967873
angle29_cand0,10.874682069916327,1375714.4010823765
angle29_cand0,10.370854126698163,2032210.1962957412
angle29_cand0,9.911900031281524,1991959.0676151358
angle29_cand0,9.492091133811293,2819875.643748706
angle29_cand0,9.106634071104004,2213390.9786922443
angle29_cand0,8.751487377117718,2602111.539147048
angle29_cand0,8.423219615580143,3418163.058593667
angle29_cand0,8.118898465498383,4673306.649342436
angle29_cand0,7.836003157088168,4400914.49301829
angle29_cand0,7.572354717345019,5112426.328751252
angle29_cand0,7.326059937798561,5345290.766167381
angle29_cand0,7.095466015075968,4268647.744603012
angle29_cand0,6.879123565515574,3848336.9973118687
angle29_cand0,6.675756264029209,3655656.4371749545
angle29_cand0,6.484235763162709,3123766.009036399
angle29_cand0,6.303560851188807,7446918.870861019
angle29_cand0,6.13284003626726,8194926.18679846
angle29_cand0,5.9712769171396785,8217424.588560308
angle29_cand0,5.818157833716352,10554512.694462243
angle29_cand0,5.672841393523596,8350411.441990297
angle29_cand0,5.534749549788793,7704484.647084489
angle29_cand0,5.403359969441125,5556323.181221981
angle29_cand0,5.278199478571246,4132228.219432324
angle29_cand0,5.158838411965753,2920785.1902866345
angle29_cand0,5.044885724502379,2006958.3447187524
angle29_cand0,4.935984747196603,1677787.9565833875
angle29_cand0,4.831809490855344,1560471.8726600693
angle29_cand0,4.732061416637764,2605155.4690355207
angle29_cand0,4.636466606134514,3421982.3396396344
angle29_cand0,4.54477327446784,4450443.385084585
angle29_cand0,4.456749578865149,4184202.2431593845
angle29_cand0,4.37218168254452,4135481.969637842
angle29_cand0,4.290872039870627,3942602.060037093
angle29_cand0,4.212637873829762,3163427.0182954073
angle29_cand0,4.137309821122427,2653230.1747578233
angle29_cand0,4.064730723732543,2685429.452156066
angle29_cand0,3.99475454882572,4018619.75668479
angle29_cand0,3.927245421353911,4744379.286652996
angle29_cand0,3.862076755880224,4046299.198689511
angle29_cand0,3.7991304759509172,3816131.6433411823
angle29_cand0,3.7382963108851506,3657892.438243521
angle29_cand0,3.6794711611707145,2663185.00828078
angle29_cand0,3.6225585247818612,2171225.967862255
angle29_cand0,3.5674679777034064,1508107.0258740364
