model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle29_cand0,base,3.363705721,11526071.694557616,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand0,A,3.927245421,4744379.286652996,3.800000000,0.127245421,3.600000000,4.000000000,found
angle29_cand0,B,4.544773274,4450443.385084585,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand0,C,5.818157834,10554512.694462243,5.650000000,0.168157834,5.450000000,5.850000000,found
angle29_cand0,D,7.326059938,5345290.766167381,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand1,base,3.363705721,13401779.290673263,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand1,A,3.927245421,4871818.525965903,3.800000000,0.127245421,3.600000000,4.000000000,found
angle29_cand1,B,4.544773274,4525615.880965183,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand1,C,5.818157834,9728209.449747548,5.650000000,0.168157834,5.450000000,5.850000000,found
angle29_cand1,D,7.326059938,5395920.519820860,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand10,base,3.363705721,13449770.066208452,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand10,A,3.927245421,3997778.863739918,3.800000000,0.127245421,3.600000000,4.000000000,found
angle29_cand10,B,4.544773274,4636192.162792317,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand10,C,5.534749550,11551936.049534854,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand10,D,7.326059938,6270233.814946014,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand11,base,3.363705721,13165945.959452614,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand11,A,3.622558525,3498312.947372270,3.800000000,-0.177441475,3.600000000,4.000000000,found
angle29_cand11,B,4.290872040,3988766.931610361,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle29_cand11,C,5.534749550,8933977.896279123,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand11,D,7.326059938,3113056.573341584,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand12,base,3.363705721,11028120.121815648,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand12,A,3.994754549,3593488.607325294,3.800000000,0.194754549,3.600000000,4.000000000,found
angle29_cand12,B,4.290872040,4083696.375405733,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle29_cand12,C,5.534749550,8559333.700440492,5.650000000,-0.115250450,5.450000000,5.850000000,found
