model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle27_cand10,base,3.363705721,7525562.268695731,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand10,A,3.994754549,3245399.186301008,3.800000000,0.194754549,3.600000000,4.000000000,found
angle27_cand10,B,4.544773274,3837898.661689188,4.400000000,0.144773274,4.200000000,4.600000000,found
angle27_cand10,C,5.672841394,7827396.674650329,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand10,D,7.326059938,5249990.112677696,7.300000000,0.026059938,7.100000000,7.500000000,found
angle27_cand13,base,3.363705721,9623676.198693557,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand13,A,3.738296311,3242989.572206017,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle27_cand13,B,4.290872040,5282289.209680464,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle27_cand13,C,5.672841394,7411379.565370906,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand13,D,7.326059938,3276948.900288193,7.300000000,0.026059938,7.100000000,7.500000000,found
angle27_cand16,base,3.363705721,8723884.884219427,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand16,A,3.738296311,3243184.006475021,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle27_cand16,B,4.290872040,5016673.001808741,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle27_cand16,C,5.672841394,7157872.705025990,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand16,D,7.326059938,3372838.004082414,7.300000000,0.026059938,7.100000000,7.500000000,found
angle27_cand18,base,3.363705721,10983089.874715962,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand18,A,3.679471161,3265179.855810364,3.800000000,-0.120528839,3.600000000,4.000000000,found
angle27_cand18,B,4.290872040,5778352.659334454,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle27_cand18,C,5.672841394,7323783.216310822,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand18,D,7.326059938,2850405.014235965,7.300000000,0.026059938,7.100000000,7.500000000,found
angle27_cand19,base,3.363705721,11674311.614535728,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand19,A,3.679471161,3260874.692653684,3.800000000,-0.120528839,3.600000000,4.000000000,found
angle27_cand19,B,4.290872040,5768214.891015541,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle27_cand19,C,5.672841394,7730737.558254086,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand19,D,7.326059938,2920462.507707261,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand16,base,3.363705721,15151022.377087573,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand16,A,3.738296311,3282505.476791559,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle28_cand16,B,4.290872040,4791789.331242700,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand16,C,5.534749550,9095600.878978647,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand16,D,7.326059938,3285183.836524745,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand24,base,3.363705721,16441810.895741077,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand24,A,3.738296311,3407265.236877234,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle28_cand24,B,4.290872040,4551591.616600708,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand24,C,5.534749550,10300511.730995655,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand24,D,7.326059938,3805132.936316809,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand25,base,3.363705721,16377710.659843378,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand25,A,3.994754549,3380762.074337676,3.800000000,0.194754549,3.600000000,4.000000000,found
angle28_cand25,B,4.290872040,4312757.656504590,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand25,C,5.534749550,10403453.663308468,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand25,D,7.326059938,3480793.146029832,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand27,base,3.363705721,16399047.135620296,3.380000000,-0.016294279,3.180000000,3.580000000,found
