window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,1102.566619,1321.470991,7717.966330,0.453475,0.013742
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,1952.241786,2171.710593,25379.143219,0.802938,0.045187
d_4p5,4.35,4.65,1.351223,1.444410,9,853.634468,859.947349,7682.710211,0.351092,0.013679
d_4p1,3.95,4.25,1.478397,1.590680,12,911.771528,954.644081,10941.258333,0.375003,0.019481
d_3p4,3.25,3.50,1.795196,1.933288,14,554.804031,589.534093,7767.256439,0.228186,0.013829
d_3p0,2.90,3.10,2.026834,2.166616,14,574.766250,588.158005,8046.727496,0.236396,0.014327
