window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,2478.324785,2577.754913,17348.273493,0.537641,0.016292
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,3300.053617,3665.986526,42900.697026,0.715905,0.040289
d_4p5,4.35,4.65,1.351223,1.444410,9,1757.724310,1834.815743,15819.518793,0.381316,0.014856
d_4p1,3.95,4.25,1.478397,1.590680,12,1568.763662,1765.568067,18825.163943,0.340324,0.017679
d_3p4,3.25,3.50,1.795196,1.933288,14,4902.513359,6094.753968,68635.187025,1.063538,0.064457
d_3p0,2.90,3.10,2.026834,2.166616,14,1013.106298,1271.568703,14183.488175,0.219781,0.013320
