window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,2545.203942,2993.717406,17816.427596,0.602963,0.018272
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,6164.760538,6993.940830,80141.886997,1.460442,0.082189
d_4p5,4.35,4.65,1.351223,1.444410,9,2343.018123,2526.762035,21087.163109,0.555065,0.021626
d_4p1,3.95,4.25,1.478397,1.590680,12,1964.355370,2370.228176,23572.264434,0.465359,0.024174
d_3p4,3.25,3.50,1.795196,1.933288,14,5370.217519,6670.621210,75183.045260,1.272213,0.077104
d_3p0,2.90,3.10,2.026834,2.166616,14,1429.319241,1712.050633,20010.469373,0.338608,0.020522
