window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,786.096680,803.816035,5502.676761,0.992465,0.030075
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,428.116740,440.772508,5565.517615,0.540507,0.030418
d_4p5,4.35,4.65,1.351223,1.444410,9,292.512867,307.944229,2632.615806,0.369304,0.014388
d_4p1,3.95,4.25,1.478397,1.590680,12,294.348904,311.210304,3532.186842,0.371622,0.019305
d_3p4,3.25,3.50,1.795196,1.933288,14,194.021451,218.032287,2716.300312,0.244957,0.014846
d_3p0,2.90,3.10,2.026834,2.166616,14,158.881196,175.784512,2224.336738,0.200591,0.012157
