window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,2011.372176,2164.136633,14079.605229,0.616267,0.018675
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,4253.611503,4820.695393,55296.949541,1.303269,0.073344
d_4p5,4.35,4.65,1.351223,1.444410,9,1494.537011,1656.913039,13450.833103,0.457913,0.017841
d_4p1,3.95,4.25,1.478397,1.590680,12,1485.318645,1570.307033,17823.823738,0.455088,0.023641
d_3p4,3.25,3.50,1.795196,1.933288,14,822.427932,899.620997,11513.991051,0.251985,0.015272
d_3p0,2.90,3.10,2.026834,2.166616,14,1039.315234,1147.457688,14550.413270,0.318437,0.019299
