window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,2147.606729,2391.803717,15033.247106,0.482563,0.014623
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,1305.972558,1405.801723,16977.643258,0.293450,0.016514
d_4p5,4.35,4.65,1.351223,1.444410,9,1117.758359,1161.354995,10059.825231,0.251158,0.009785
d_4p1,3.95,4.25,1.478397,1.590680,12,1118.302458,1202.665394,13419.629495,0.251280,0.013054
d_3p4,3.25,3.50,1.795196,1.933288,14,4371.991365,5472.411540,61207.879104,0.982378,0.059538
d_3p0,2.90,3.10,2.026834,2.166616,14,683.954264,970.675197,9575.359689,0.153683,0.009314
