window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,1509.391621,1663.942777,10565.741350,0.499614,0.015140
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,2934.354193,3276.213829,38146.604509,0.971282,0.054661
d_4p5,4.35,4.65,1.351223,1.444410,9,1263.125118,1362.078493,11368.126063,0.418099,0.016290
d_4p1,3.95,4.25,1.478397,1.590680,12,1244.964670,1300.950714,14939.576038,0.412088,0.021407
d_3p4,3.25,3.50,1.795196,1.933288,14,685.575892,735.637361,9598.062493,0.226928,0.013753
d_3p0,2.90,3.10,2.026834,2.166616,14,791.072785,843.049705,11075.018994,0.261848,0.015870
