window_name,d_min_A,d_max_A,q_min_Ainv,q_max_Ainv,point_count,mean_intensity,max_intensity,integrated_intensity,mean_intensity_fraction_of_total,integrated_intensity_fraction_of_total
d_8p4,8.00,8.80,0.713998,0.785398,7,2192.886921,2632.467027,15350.208447,0.547793,0.016600
d_5p5_6p0,5.40,6.10,1.030030,1.163553,13,668.911049,704.350455,8695.843637,0.167097,0.009404
d_4p5,4.35,4.65,1.351223,1.444410,9,757.270436,812.842208,6815.433921,0.189170,0.007370
d_4p1,3.95,4.25,1.478397,1.590680,12,819.669661,894.616268,9836.035933,0.204757,0.010637
d_3p4,3.25,3.50,1.795196,1.933288,14,4080.883390,5137.753423,57132.367455,1.019423,0.061783
d_3p0,2.90,3.10,2.026834,2.166616,14,556.041394,905.733636,7784.579512,0.138902,0.008418
