q_Ainv,d_A,intensity
2.210000,2.843070,610.814384
2.220000,2.830264,613.790798
2.230000,2.817572,622.015120
2.240000,2.804993,634.766469
2.250000,2.792527,650.797998
2.260000,2.780170,668.704298
2.270000,2.767923,687.253289
2.280000,2.755783,705.605854
2.290000,2.743749,723.382846
2.300000,2.731820,740.581293
2.310000,2.719994,757.379584
2.320000,2.708270,773.896598
2.330000,2.696646,789.977454
2.340000,2.685122,805.068125
2.350000,2.673696,818.216369
2.360000,2.662367,828.203632
2.370000,2.651133,833.780056
2.380000,2.639994,833.949670
2.390000,2.628948,828.240768
2.400000,2.617994,816.899541
2.410000,2.607131,800.961837
2.420000,2.596358,782.184300
2.430000,2.585673,762.845771
2.440000,2.575076,745.456216
2.450000,2.564565,732.427851
2.460000,2.554140,725.768420
2.470000,2.543800,726.849032
2.480000,2.533542,736.281077
2.490000,2.523368,753.912950
2.500000,2.513274,778.933091
