q_Ainv,d_A,intensity
1.940000,3.238755,2687.993349
1.950000,3.222146,2319.550107
1.960000,3.205707,2023.827805
1.970000,3.189434,1795.569291
1.980000,3.173326,1623.153278
1.990000,3.157380,1491.828748
2.000000,3.141593,1386.816015
2.010000,3.125963,1295.784457
2.020000,3.110488,1210.390228
2.030000,3.095165,1126.765305
2.040000,3.079993,1045.050835
2.050000,3.064968,968.227022
2.060000,3.050090,900.584334
2.070000,3.035355,846.197308
2.080000,3.020762,807.708420
2.090000,3.006309,785.624026
2.100000,2.991993,778.193474
2.110000,2.977813,781.814765
2.120000,2.963767,791.810099
2.130000,2.949852,803.359095
2.140000,2.936068,812.372181
2.150000,2.922412,816.126948
2.160000,2.908882,813.562481
2.170000,2.895477,805.212142
2.180000,2.882195,792.834493
2.190000,2.869034,778.858933
2.200000,2.855993,765.787351
2.210000,2.843070,755.684140
2.220000,2.830264,749.849802
2.230000,2.817572,748.719618
2.240000,2.804993,751.972309
2.250000,2.792527,758.787375
2.260000,2.780170,768.163402
2.270000,2.767923,779.206999
2.280000,2.755783,791.321369
2.290000,2.743749,804.257922
2.300000,2.731820,818.034264
2.310000,2.719994,832.757059
2.320000,2.708270,848.410762
2.330000,2.696646,864.678555
2.340000,2.685122,880.850142
2.350000,2.673696,895.846397
2.360000,2.662367,908.360104
2.370000,2.651133,917.082864
2.380000,2.639994,920.967546
2.390000,2.628948,919.467643
2.400000,2.617994,912.700765
2.410000,2.607131,901.500963
2.420000,2.596358,887.349115
2.430000,2.585673,872.196188
2.440000,2.575076,858.215181
2.450000,2.564565,847.529648
2.460000,2.554140,841.967860
2.470000,2.543800,842.882463
2.480000,2.533542,851.058683
2.490000,2.523368,866.714013
2.500000,2.513274,889.573493
