model_id,d_A,intensity
angle27_cand0,222.50728712485164,1934917631.9968824
angle27_cand0,44.50631460808915,177179291.9511512
angle27_cand0,31.793693589769205,25760858.831540987
angle27_cand0,20.238970767629596,2137674.7694125623
angle27_cand0,14.84892046565661,1470454.1608368973
angle27_cand0,13.10579211027512,564407.2634370159
angle27_cand0,11.73006182930781,544963.861372614
angle27_cand0,10.616758202974989,396834.63963765564
angle27_cand0,9.697421556089983,466563.91308799974
angle27_cand0,8.268232014827138,589156.0744336245
angle27_cand0,7.701897524389192,385804.35006114596
angle27_cand0,7.208895338974921,1273928.5634759744
angle27_cand0,6.775891748460606,1012305.2589839898
angle27_cand0,6.3926007146813655,3292146.500240135
angle27_cand0,6.050960176700989,1523509.3820053074
angle27_cand0,5.744561800633646,770321.8189291072
angle27_cand0,5.46824763197477,754602.1954117513
angle27_cand0,5.217819310088646,940911.3270934084
angle27_cand0,4.98982482551448,266674.6617848515
angle27_cand0,4.781399722229503,358143.8569900707
angle27_cand0,4.5901471891665455,1000431.7392372362
angle27_cand0,4.414046365503829,1189055.5107847834
angle27_cand0,4.251381407031928,1323924.8360856147
angle27_cand0,4.100686028959431,1176937.5206698615
angle27_cand0,3.960699723926293,1217976.5638685434
angle27_cand0,3.830332884835992,688086.7918514626
angle27_cand0,3.708638788777114,791509.5272328568
angle27_cand0,3.5947909173473107,337557.0475938713
angle27_cand0,3.4880644640001455,1375737.3702065595
angle27_cand0,3.387821153514055,6033451.010762249
angle27_cand0,3.293496701558187,2680379.9743829444
angle27_cand0,3.2045903937721727,1895752.3009369662
angle27_cand0,3.12065637787726,631202.8501576788
angle27_cand0,3.041296349052571,514744.91936531983
angle27_cand0,2.96615337525509,518942.6099543691
angle27_cand0,2.8949066604676985,460879.0594777553
angle27_cand0,2.8272670837638127,572786.8182519537
angle27_cand0,2.7629733833276715,453759.03428449907
angle27_cand0,2.701788879201902,528395.1506437701
angle27_cand0,2.6434986480703087,412962.6571901593
angle27_cand0,2.587907078968888,434004.35511425114
angle27_cand0,2.5348357513204363,563227.4559517978
angle27_cand0,2.4841215867706192,756841.6713163325
angle27_cand0,2.4356152344755406,619788.9472036286
angle27_cand0,2.3891796561465273,844564.8463721784
angle27_cand0,2.344688882603371,705863.004472198
angle27_cand0,2.3020269180623623,821635.1948073705
angle27_cand0,2.261086772078426,1171764.4349123682
angle27_cand0,2.2217696021206,801718.6566166646
angle27_cand0,2.1839839523052884,321264.6103668076
angle27_cand0,2.1476450759365404,924201.5903988769
angle27_cand0,2.0789986415174604,829427.7893132594
angle27_cand0,2.0152650912209977,360695.75667394546
angle27_cand0,1.985084790386323,839543.8556718947
angle27_cand1,222.50728712485164,1934917631.9968615
angle27_cand1,44.50631460808915,179328774.1265879
angle27_cand1,31.793693589769205,26333042.523943793
angle27_cand1,20.238970767629596,2234240.7844708925
angle27_cand1,14.84892046565661,1620701.2178520598
angle27_cand1,13.10579211027512,647903.6755095769
angle27_cand1,11.73006182930781,554541.9913251541
