model_id,angle_deg,twist_deg,rise_A,candidate_id,candidate_path,source_pdb,atom_count,heavy_atom_count,element_counts,residues,has_glu,has_glu_sidechain_atoms,status,notes
angle18_cand0,18,18,3.38,cand0,18/cand0/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand0/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand1,18,18,3.38,cand1,18/cand1/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand1/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand2,18,18,3.38,cand2,18/cand2/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand2/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand3,18,18,3.38,cand3,18/cand3/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand3/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand4,18,18,3.38,cand4,18/cand4/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand4/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand5,18,18,3.38,cand5,18/cand5/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand5/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand6,18,18,3.38,cand6,18/cand6/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand6/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand7,18,18,3.38,cand7,18/cand7/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand7/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand8,18,18,3.38,cand8,18/cand8/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand8/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand9,18,18,3.38,cand9,18/cand9/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand9/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand10,18,18,3.38,cand10,18/cand10/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand10/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand11,18,18,3.38,cand11,18/cand11/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand11/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand12,18,18,3.38,cand12,18/cand12/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand12/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand13,18,18,3.38,cand13,18/cand13/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand13/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle18_cand14,18,18,3.38,cand14,18/cand14/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/18/cand14/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle19_cand0,19,19,3.38,cand0,19/cand0/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/19/cand0/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle19_cand1,19,19,3.38,cand1,19/cand1/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/19/cand1/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
angle19_cand2,19,19,3.38,cand2,19/cand2/initial.pdb,inputs/asem_sidechains_3p38_20260626/raw/19/cand2/initial.pdb,3810,2310,C:960; Ca:192; H:1500; N:624; O:534,CYP:1110; GLU:1446; MEP:1254,True,True,ok,
