bin_index,r_min_mm,r_max_mm,r_center_mm,radius_mm,two_theta_deg,q_center_inv_angstrom,q_Ainv,d_center_angstrom,d_A,mean_intensity,intensity_mean,intensity_sum,intensity_total,pixel_count,sample_count
0,0.0,0.8838834764831844,0.4419417382415922,0.4419417382415922,0.07482677894839213,0.010589332736064975,0.010589332736064975,593.3504465092892,593.3504465092892,20415733343.974228,20415733343.974228,20415733343.974228,20415733343.974228,1,1
5,4.419417382415922,5.303300858899107,4.861359120657514,4.861359120657514,0.8230384216221094,0.1164737211768389,0.1164737211768389,53.945089447601624,53.945089447601624,4320176702.915207,4320176702.915207,17280706811.660828,17280706811.660828,4,4
8,7.0710678118654755,7.95495128834866,7.513009550107068,7.513009550107068,1.2718470242891606,0.17998550737976157,0.17998550737976157,34.909395754416714,34.909395754416714,1345431006.1517167,1345431006.1517167,5381724024.606867,5381724024.606867,4,4
11,9.722718241315029,10.606601717798213,10.164659979556621,10.164659979556621,1.7204995806870715,0.24347245179990196,0.24347245179990196,25.806555364807462,25.806555364807462,126083483.74023893,126083483.74023893,504333934.96095574,504333934.96095574,4,4
12,10.606601717798213,11.490485194281398,11.048543456039805,11.048543456039805,1.8700062624667357,0.26462773522123706,0.26462773522123706,23.74348743878508,23.74348743878508,29159317.389341645,29159317.389341645,233274539.11473316,233274539.11473316,8,8
16,14.142135623730951,15.026019100214135,14.584077361972543,14.584077361972543,2.467758022848645,0.34920510055135684,0.34920510055135684,17.992822261928936,17.992822261928936,38770138.79778266,38770138.79778266,310161110.3822613,310161110.3822613,8,8
17,15.026019100214135,15.90990257669732,15.467960838455728,15.467960838455728,2.617117099560418,0.3703368894106472,0.3703368894106472,16.966134044001464,16.966134044001464,44506739.474180326,44506739.474180326,356053915.7934426,356053915.7934426,8,8
20,17.67766952966369,18.561553006146873,18.11961126790528,18.11961126790528,3.064972761812505,0.43369699286809965,0.43369699286809965,14.487500283615045,14.487500283615045,66886130.61930107,66886130.61930107,535089044.9544086,535089044.9544086,8,8
22,19.445436482630058,20.329319959113242,19.88737822087165,19.88737822087165,3.363338452540731,0.47590447783588086,0.47590447783588086,13.202618592183931,13.202618592183931,141199197.69757435,141199197.69757435,564796790.7902974,564796790.7902974,4,4
23,20.329319959113242,21.213203435596427,20.771261697354834,20.771261697354834,3.5124538568088948,0.49699748867659593,0.49699748867659593,12.64228783914068,12.64228783914068,93613380.73394619,93613380.73394619,748907045.8715695,748907045.8715695,8,8
