bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
271,2.13321043,2.94541280,1505103.11456,0.00281291912949,80
272,2.14066230,2.93515951,2049284.41039,0.00382995109369,80
273,2.14810996,2.92498310,2913369.99851,0.00544485897396,76
274,2.15555340,2.91488270,1535167.56751,0.00286910722317,96
275,2.16299262,2.90485749,989641.473186,0.00184956193654,68
276,2.17042760,2.89490666,2505812.22502,0.00468316560802,96
277,2.17785833,2.88502940,1035984.57525,0.00193617354278,48
278,2.18528481,2.87522491,2189355.62675,0.00409173316043,92
279,2.19270701,2.86549241,1618644.26898,0.00302511860083,88
280,2.20012494,2.85583114,1879670.30932,0.0035129557032,96
281,2.20753858,2.84624032,1332453.54928,0.00249025069556,48
282,2.21494791,2.83671922,1543652.20042,0.00288496433356,84
283,2.22235294,2.82726708,1684774.28013,0.00314871038109,100
284,2.22975364,2.81788319,1797371.67693,0.00335914604383,104
285,2.23715001,2.80856682,1112002.29136,0.00207824466452,64
286,2.24454204,2.79931727,1715807.68234,0.00320670936461,88
287,2.25192972,2.79013384,2062079.60039,0.00385386429564,68
288,2.25931303,2.78101583,1649682.8978,0.00308312735249,100
289,2.26669198,2.77196257,1111388.15538,0.00207709689278,88
290,2.27406653,2.76297338,1659006.43746,0.00310055231347,80
291,2.28143670,2.75404762,2064494.9308,0.00385837835786,40
292,2.28880246,2.74518462,1863993.34693,0.00348365669573,140
293,2.29616381,2.73638374,1758663.08813,0.00328680274132,88
294,2.30352074,2.72764434,2002567.59483,0.00374264104638,72
295,2.31087323,2.71896581,1390653.53258,0.00259902187858,68
296,2.31822128,2.71034753,1564605.21844,0.00292412387329,84
297,2.32556487,2.70178888,3296661.66814,0.0061612009038,112
298,2.33290400,2.69328926,1471992.13662,0.00275103732063,88
299,2.34023866,2.68484809,1439043.33041,0.00268945859796,88
300,2.34756884,2.67646477,1658329.76241,0.00309928766113,64
301,2.35489453,2.66813874,2219215.44106,0.00414753880064,76
302,2.36221571,2.65986941,1463581.27436,0.00273531808179,64
303,2.36953238,2.65165623,2398354.43596,0.00448233546721,72
304,2.37684453,2.64349865,2728864.75933,0.00510003321967,40
305,2.38415215,2.63539611,1520438.43346,0.0028415796322,104
306,2.39145523,2.62734808,2002881.65272,0.00374322799583,56
307,2.39875376,2.61935402,1934621.71603,0.00361565555256,64
308,2.40604774,2.61141340,1390201.36917,0.00259817682081,60
309,2.41333714,2.60352572,2017060.53765,0.00376972721456,72
310,2.42062197,2.59569044,3100733.2532,0.00579502613407,40
311,2.42790221,2.58790708,1274435.38193,0.00238181931221,88
312,2.43517785,2.58017512,2214226.59911,0.00413821504812,48
313,2.44244889,2.57249408,2525041.05979,0.00471910278511,48
314,2.44971531,2.56486346,1839050.07226,0.00343703968074,40
315,2.45697712,2.55728280,1444663.72396,0.00269996267065,84
316,2.46423428,2.54975160,3422003.58962,0.00639545507898,40
317,2.47148681,2.54226941,1334452.71247,0.00249398697403,48
318,2.47873469,2.53483575,2940372.22923,0.0054953240156,56
319,2.48597791,2.52745018,1934574.03671,0.00361556644366,56
320,2.49321646,2.52011224,2070857.60529,0.00387026969514,40
321,2.50045033,2.51282148,2122936.45097,0.00396760095427,60
322,2.50767952,2.50557747,3208099.79325,0.00599568573769,40
323,2.51490401,2.49837977,904233.077609,0.00168994037479,48
324,2.52212380,2.49122795,2943732.24428,0.00550160361899,56
325,2.52933888,2.48412159,3305142.1512,0.00617705025843,48
326,2.53654924,2.47706026,969907.305448,0.00181268033195,40
327,2.54375486,2.47004355,964401.103742,0.00180238967481,32
328,2.55095576,2.46307106,5472346.64451,0.0102273846958,60
329,2.55815190,2.45614238,1707978.33066,0.00319207692323,40
330,2.56534329,2.44925711,1094967.10483,0.00204640724314,32
331,2.57252992,2.44241486,8233230.81774,0.0153872596772,40
332,2.57971178,2.43561523,1590441.47031,0.00297240979231,56
333,2.58688886,2.42885785,1837286.19792,0.00343374313857,24
334,2.59406115,2.42214233,6800958.10572,0.0127104548315,52
335,2.60122864,2.41546829,2201169.72766,0.00411381278417,40
336,2.60839133,2.40883537,1004096.63482,0.00187657749466,40
337,2.61554921,2.40224320,5933163.24897,0.0110886146204,32
338,2.62270227,2.39569142,4076378.55884,0.00761843033625,48
339,2.62985050,2.38917966,1736927.68762,0.00324618099038,40
340,2.63699389,2.38270757,2275131.11591,0.00425204079117,16
341,2.64413244,2.37627481,5075134.95678,0.00948502734897,52
342,2.65126614,2.36988102,1156287.60078,0.00216101041845,32
343,2.65839498,2.36352587,2802995.78121,0.00523857825855,32
344,2.66551894,2.35720902,3794228.52444,0.00709111415343,40
345,2.67263804,2.35093014,2112297.95777,0.00394771844872,32
346,2.67975225,2.34468888,1483232.96624,0.00277204554548,24
347,2.68686157,2.33848494,3553514.05767,0.00664123778165,36
348,2.69396599,2.33231798,1000704.3645,0.00187023760873,40
349,2.70106550,2.32618768,550363.469474,0.00102858595964,16
350,2.70816011,2.32009374,1534209.50243,0.00286731667502,32
351,2.71524979,2.31403584,1492102.27151,0.00278862157819,48
352,2.72233454,2.30801366,1122169.09756,0.00209724562424,32
353,2.72941435,2.30202692,620689.236471,0.00116001927698,16
354,2.73648922,2.29607530,1474231.78261,0.00275522304252,36
355,2.74355914,2.29015851,858055.653689,0.00160363840794,32
356,2.75062410,2.28427625,656826.943214,0.00122755780348,16
357,2.75768410,2.27842823,1414448.73292,0.00264349323312,32
358,2.76473912,2.27261417,1178761.58221,0.00220301251896,32
359,2.77178917,2.26683378,509368.224029,0.000951969076046,16
360,2.77883422,2.26108677,1250306.3909,0.00233672412916,28
361,2.78587429,2.25537288,1551450.45756,0.00289953866169,40
362,2.79290935,2.24969182,767977.149498,0.00143528878117,8
363,2.79993940,2.24404332,1138506.05254,0.00212777810585,24
364,2.80696444,2.23842711,1661067.20706,0.00310440372948,40
365,2.81398446,2.23284293,2477730.59353,0.00463068325142,16
366,2.82099944,2.22729052,610770.915339,0.00114148271628,16
367,2.82800939,2.22176960,873301.658854,0.00163213199032,28
368,2.83501430,2.21627993,3335145.69737,0.00623312452216,32
369,2.84201416,2.21082125,971306.071931,0.00181529451629,8
370,2.84900897,2.20539331,449686.026772,0.000840427751914,24
371,2.85599871,2.19999585,3708601.11347,0.00693108326917,32
372,2.86298338,2.19462864,3943934.42153,0.00737090267931,8
373,2.86996298,2.18929142,918651.632671,0.00171688751812,8
374,2.87693749,2.18398395,2271598.13198,0.00424543792257,44
375,2.88390691,2.17870600,7760730.72543,0.0145041942344,8
376,2.89087124,2.17345733,2620655.24881,0.00489779817067,16
377,2.89783047,2.16823771,670588.193059,0.00125327649515,24
378,2.90478459,2.16304690,7095714.86057,0.0132613319815,16
379,2.91173360,2.15788468,6621201.08294,0.0123745031195,16
380,2.91867748,2.15275081,382005.537158,0.000713938249575,20
381,2.92561624,2.14764508,4431976.31103,0.00828301451648,16
382,2.93254986,2.14256725,10275891.1523,0.019204830895,16
383,2.93947835,2.13751713,299820.766799,0.000560341389362,8
384,2.94640169,2.13249447,1355990.68468,0.00253423974705,24
385,2.95331988,2.12749908,10425561.4397,0.0194845528692,16
387,2.96714078,2.11758922,597985.946684,0.00111758861723,28
388,2.97404347,2.11267433,7078848.65769,0.0132298103773,16
390,2.98783334,2.10292362,613927.924151,0.001147382917,24
391,2.99472049,2.09808739,3377820.20725,0.00631287981867,16
393,3.00847922,2.08849217,645344.332122,0.0012060977081,20
394,3.01535078,2.08373279,1737722.15993,0.00324766579651,16
397,3.03593418,2.06960525,1067000.0762,0.00199413907025,32
400,3.05647054,2.05569961,1019664.26676,0.00190567217215,28
403,3.07695971,2.04201091,819946.661134,0.00153241570358,24
406,3.09740156,2.02853430,553882.377006,0.00103516252055,12
407,3.10420496,2.02408842,911188.61271,0.00170293972184,8
410,3.12458349,2.01088732,753276.895506,0.00140781516473,16
413,3.14491436,1.99788757,777620.409123,0.00145331127358,12
416,3.16519745,1.98508479,668198.533275,0.00124881040931,8
419,3.18543262,1.97247472,769875.673182,0.00143883697234,4
