model_id,rise_label,rise_A,twist_deg,sidechain_variant,candidate_id,radial_csv,observed_base_d_A,base_error_d_A,observed_A_d_A,A_error_d_A,observed_B_d_A,B_error_d_A,observed_C_d_A,C_error_d_A,observed_D_d_A,D_error_d_A,base_rmsd,helical_rmsd,combined_rmsd,observed_peak_count,missing_peak_count,score_completeness,tie_count,tie_breaker,coordinate_file,diffraction_status,diffraction_file,score_status,expected_peak_count,notes,coordinate_status,xyz_file,xyz_status,radial_status
rise3p40_twist28_glu_ablated_cand3,rise3p40,3.400,28.000,glu_ablated,cand3,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist28_glu_ablated_cand3.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.290872040,-0.109127960,5.567261517,-0.082738483,7.232023634,-0.067976366,0.054165473,0.080382713,0.075867543,5,0,1.000000000,17,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\glu_ablated\28\cand3\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist28_glu_ablated_cand3.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\glu_ablated\28\cand3\rise3p40_twist28_glu_ablated_cand3.xyz,converted,success
rise3p40_twist29_glu_ablated_cand0,rise3p40,3.400,29.000,glu_ablated,cand0,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist29_glu_ablated_cand0.csv,3.434165473,0.054165473,3.665641213,-0.134358787,4.290872040,-0.109127960,5.735857739,0.085857739,7.232023634,-0.067976366,0.054165473,0.102412808,0.094749598,5,0,1.000000000,12,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\glu_ablated\29\cand0\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist29_glu_ablated_cand0.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\glu_ablated\29\cand0\rise3p40_twist29_glu_ablated_cand0.xyz,converted,success
rise3p40_twist30_glu_ablated_cand7,rise3p40,3.400,30.000,glu_ablated,cand7,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist30_glu_ablated_cand7.csv,3.434165473,0.054165473,3.665641213,-0.134358787,4.349094673,-0.050905327,5.600166255,-0.049833745,7.232023634,-0.067976366,0.054165473,0.083288391,0.078334824,5,0,1.000000000,1,,inputs\asem_matched_twist_scan\rise3p40\glu_ablated\30\cand7\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist30_glu_ablated_cand7.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\glu_ablated\30\cand7\rise3p40_twist30_glu_ablated_cand7.xyz,converted,success
rise3p40_twist31_glu_ablated_cand0,rise3p40,3.400,31.000,glu_ablated,cand0,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist31_glu_ablated_cand0.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.290872040,-0.109127960,5.567261517,-0.082738483,7.232023634,-0.067976366,0.054165473,0.080382713,0.075867543,5,0,1.000000000,3,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\glu_ablated\31\cand0\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist31_glu_ablated_cand0.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\glu_ablated\31\cand0\rise3p40_twist31_glu_ablated_cand0.xyz,converted,success
rise3p40_twist32_glu_ablated_cand2,rise3p40,3.400,32.000,glu_ablated,cand2,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist32_glu_ablated_cand2.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.290872040,-0.109127960,5.600166255,-0.049833745,7.232023634,-0.067976366,0.054165473,0.073285857,0.069881565,5,0,1.000000000,1,,inputs\asem_matched_twist_scan\rise3p40\glu_ablated\32\cand2\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist32_glu_ablated_cand2.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\glu_ablated\32\cand2\rise3p40_twist32_glu_ablated_cand2.xyz,converted,success
rise3p40_twist28_sidechain_cand5,rise3p40,3.400,28.000,sidechain,cand5,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist28_sidechain_cand5.csv,3.434165473,0.054165473,3.916664322,0.116664322,4.290872040,-0.109127960,5.735857739,0.085857739,7.232023634,-0.067976366,0.054165473,0.096839833,0.089939660,5,0,1.000000000,9,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\sidechain\28\cand5\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist28_sidechain_cand5.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\sidechain\28\cand5\rise3p40_twist28_sidechain_cand5.xyz,converted,success
rise3p40_twist29_sidechain_cand7,rise3p40,3.400,29.000,sidechain,cand7,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist29_sidechain_cand7.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.290872040,-0.109127960,5.735857739,0.085857739,7.232023634,-0.067976366,0.054165473,0.081196393,0.076557580,5,0,1.000000000,1,,inputs\asem_matched_twist_scan\rise3p40\sidechain\29\cand7\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist29_sidechain_cand7.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\sidechain\29\cand7\rise3p40_twist29_sidechain_cand7.xyz,converted,success
rise3p40_twist30_sidechain_cand4,rise3p40,3.400,30.000,sidechain,cand4,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist30_sidechain_cand4.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.349094673,-0.050905327,5.735857739,0.085857739,7.232023634,-0.067976366,0.054165473,0.065295209,0.063226190,5,0,1.000000000,4,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\sidechain\30\cand4\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist30_sidechain_cand4.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\sidechain\30\cand4\rise3p40_twist30_sidechain_cand4.xyz,converted,success
rise3p40_twist31_sidechain_cand0,rise3p40,3.400,31.000,sidechain,cand0,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist31_sidechain_cand0.csv,3.434165473,0.054165473,3.750299222,-0.049700778,4.388828502,-0.011171498,5.567261517,-0.082738483,7.232023634,-0.067976366,0.054165473,0.059290414,0.058301477,5,0,1.000000000,7,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\sidechain\31\cand0\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist31_sidechain_cand0.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\sidechain\31\cand0\rise3p40_twist31_sidechain_cand0.xyz,converted,success
rise3p40_twist32_sidechain_cand4,rise3p40,3.400,32.000,sidechain,cand4,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p40_twist32_sidechain_cand4.csv,3.434165473,0.054165473,3.764809894,-0.035190106,4.290872040,-0.109127960,5.567261517,-0.082738483,7.316544991,0.016544991,0.054165473,0.071180490,0.068118348,5,0,1.000000000,2,candidate_numeric_index,inputs\asem_matched_twist_scan\rise3p40\sidechain\32\cand4\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p40_twist32_sidechain_cand4.npy,scored,5,primary matched 28-32 twist scan,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p40\sidechain\32\cand4\rise3p40_twist32_sidechain_cand4.xyz,converted,success
