model_id,twist_deg,rise_A,coordinate_file,diffraction_status,diffraction_file,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,base_rmsd,helical_rmsd,combined_rmsd,notes,rise_label,sidechain_variant,candidate_id,coordinate_status,xyz_file,xyz_status,radial_csv,radial_status
rise3p38_twist28_sidechain_cand18,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand18\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand18.npy,scored,5,5,0,1.000000000,3.434165473,3.665641213,4.290872040,5.824128735,7.232023634,0.054165473,0.127380138,0.116478922,primary matched 28-32 twist scan,rise3p38,sidechain,cand18,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand18\rise3p38_twist28_sidechain_cand18.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand18.csv,success
rise3p38_twist28_sidechain_cand19,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand19\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand19.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.290872040,5.824128735,7.232023634,0.054165473,0.133595407,0.121921966,primary matched 28-32 twist scan,rise3p38,sidechain,cand19,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand19\rise3p38_twist28_sidechain_cand19.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand19.csv,success
rise3p38_twist28_sidechain_cand2,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand2\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand2.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.388828502,5.824128735,7.232023634,0.054165473,0.122072542,0.111839814,primary matched 28-32 twist scan,rise3p38,sidechain,cand2,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand2\rise3p38_twist28_sidechain_cand2.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand2.csv,success
rise3p38_twist28_sidechain_cand20,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand20\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand20.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.290872040,5.567261517,7.232023634,0.054165473,0.109448357,0.100846090,primary matched 28-32 twist scan,rise3p38,sidechain,cand20,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand20\rise3p38_twist28_sidechain_cand20.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand20.csv,success
rise3p38_twist28_sidechain_cand21,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand21\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand21.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.290872040,5.567261517,7.232023634,0.054165473,0.109448357,0.100846090,primary matched 28-32 twist scan,rise3p38,sidechain,cand21,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand21\rise3p38_twist28_sidechain_cand21.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand21.csv,success
rise3p38_twist28_sidechain_cand22,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand22\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand22.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand22,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand22\rise3p38_twist28_sidechain_cand22.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand22.csv,success
rise3p38_twist28_sidechain_cand23,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand23\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand23.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.290872040,5.567261517,7.232023634,0.054165473,0.109448357,0.100846090,primary matched 28-32 twist scan,rise3p38,sidechain,cand23,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand23\rise3p38_twist28_sidechain_cand23.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand23.csv,success
rise3p38_twist28_sidechain_cand24,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand24\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand24.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.290872040,5.567261517,7.232023634,0.054165473,0.109448357,0.100846090,primary matched 28-32 twist scan,rise3p38,sidechain,cand24,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand24\rise3p38_twist28_sidechain_cand24.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand24.csv,success
rise3p38_twist28_sidechain_cand25,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand25\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand25.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand25,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand25\rise3p38_twist28_sidechain_cand25.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand25.csv,success
rise3p38_twist28_sidechain_cand26,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand26\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand26.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand26,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand26\rise3p38_twist28_sidechain_cand26.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand26.csv,success
