sidechain_variant,row_count,mean_base_rmsd,mean_helical_rmsd,mean_combined_rmsd,best_model_id,best_candidate_id,best_rise_label,best_sidechain_variant,best_twist_deg,best_base_rmsd,best_helical_rmsd,best_combined_rmsd,min_score_completeness,max_missing_peak_count,mean_observed_base_d_A,mean_base_error_d_A,mean_observed_A_d_A,mean_A_error_d_A,mean_observed_B_d_A,mean_B_error_d_A,mean_observed_C_d_A,mean_C_error_d_A,mean_observed_D_d_A,mean_D_error_d_A
glu_ablated,10,0.054165473,0.088640205,0.082939530,rise3p40_twist32_glu_ablated_cand2,cand2,rise3p40,glu_ablated,32.000,0.054165473,0.073285857,0.069881565,1.000000000,0,3.434165473,0.054165473,3.691038616,-0.108961384,4.328167357,-0.071832643,5.607561709,-0.042438291,7.232023634,-0.067976366
sidechain,10,0.052969485,0.076483564,0.072558761,rise3p40_twist31_sidechain_cand0,cand0,rise3p40,sidechain,31.000,0.054165473,0.059290414,0.058301477,1.000000000,0,3.432969485,0.052969485,3.799924329,-0.000075671,4.341699151,-0.058300849,5.668419250,0.018419250,7.240475770,-0.059524230
