rise_label,sidechain_variant,row_count,mean_base_rmsd,mean_helical_rmsd,mean_combined_rmsd,best_model_id,best_candidate_id,best_rise_label,best_sidechain_variant,best_twist_deg,best_base_rmsd,best_helical_rmsd,best_combined_rmsd,min_score_completeness,max_missing_peak_count,mean_observed_base_d_A,mean_base_error_d_A,mean_observed_A_d_A,mean_A_error_d_A,mean_observed_B_d_A,mean_B_error_d_A,mean_observed_C_d_A,mean_C_error_d_A,mean_observed_D_d_A,mean_D_error_d_A
rise3p38,glu_ablated,5,0.054165473,0.093329913,0.086938845,rise3p38_twist31_glu_ablated_cand16,cand16,rise3p38,glu_ablated,31.000,0.054165473,0.086435713,0.081016577,1.000000000,0,3.434165473,0.054165473,3.665641213,-0.134358787,4.353818147,-0.046181853,5.600980761,-0.049019239,7.232023634,-0.067976366
rise3p38,sidechain,5,0.051773497,0.078206660,0.073888871,rise3p38_twist30_sidechain_cand4,cand4,rise3p38,sidechain,30.000,0.054165473,0.065295209,0.063226190,1.000000000,0,3.431773497,0.051773497,3.813374282,0.013374282,4.361290444,-0.038709556,5.668419250,0.018419250,7.232023634,-0.067976366
rise3p40,glu_ablated,5,0.054165473,0.083950496,0.078940215,rise3p40_twist32_glu_ablated_cand2,cand2,rise3p40,glu_ablated,32.000,0.054165473,0.073285857,0.069881565,1.000000000,0,3.434165473,0.054165473,3.716436018,-0.083563982,4.302516567,-0.097483433,5.614142657,-0.035857343,7.232023634,-0.067976366
rise3p40,sidechain,5,0.054165473,0.074760468,0.071228651,rise3p40_twist31_sidechain_cand0,cand0,rise3p40,sidechain,31.000,0.054165473,0.059290414,0.058301477,1.000000000,0,3.434165473,0.054165473,3.786474376,-0.013525624,4.322107859,-0.077892141,5.668419250,0.018419250,7.248927905,-0.051072095
