d_A,intensity_raw,intensity_normalized
9.828,1.518,0.118077162414437
9.797,1.879,0.146157436216553
9.641,2.257,0.175560049782203
9.498,2.23,0.173459863098942
9.446,1.902,0.147946484131923
9.398,1.64,0.127566894835096
9.269,1.535,0.119399502177971
9.108,1.703,0.132467330429372
8.956,1.603,0.12468886123211
8.835,1.597,0.124222153080274
8.775,1.335,0.103842563783447
8.735,1.118,0.0869632856253889
8.689,0.849,0.0660392034847542
8.604,0.633,0.0492377100186683
8.534,0.979,0.0761512134411948
8.451,1.243,0.0966863721219664
8.459,1.348,0.104853764779091
8.328,0.975,0.0758400746733043
8.283,0.918,0.071406347230865
8.23,1.171,0.0910858742999378
8.206,1.373,0.106798382078407
8.183,1.594,0.123988799004356
8.154,1.859,0.1446017423771
8.074,2.179,0.169492843808339
7.979,2.175,0.169181705040448
7.93,2.443,0.19002800248911
7.897,2.695,0.20962974486621
7.862,2.918,0.226975731176105
7.833,3.2,0.248911014312383
7.801,3.495,0.271857498444306
7.769,3.738,0.290759178593653
7.707,3.971,0.308883011823273
7.636,4.18,0.325140012445551
7.58,4.399,0.342174859987554
7.497,4.612,0.358742999377722
7.424,4.805,0.373755444928438
7.391,5.029,0.391179215930305
7.325,5.267,0.409691972619788
7.256,5.1,0.396701929060361
7.211,4.87,0.378811449906658
7.166,4.639,0.360843186060983
7.135,4.401,0.3423304293715
7.109,4.154,0.323117610454263
7.083,3.931,0.305771624144368
7.057,3.695,0.28741443683883
7.031,3.459,0.269057249533292
7.01,3.236,0.251711263223398
6.993,3.025,0.235298693217175
6.971,2.767,0.215230242688239
6.95,2.504,0.19477286869944
6.93,2.259,0.175715619166148
6.905,1.984,0.154324828873678
6.88,1.712,0.133167392657125
6.86,1.476,0.114810205351587
6.843,1.269,0.0987087741132545
6.827,1.053,0.0819072806471686
6.807,0.804,0.0625388923459863
6.755,0.519,0.0403702551337897
6.702,0.509,0.0395924082140635
6.627,0.547,0.042548226509023
6.567,0.435,0.0338363410080896
6.501,0.16,0.0124455507156192
6.432,0.258,0.0200684505289359
6.389,0.497,0.038658991910392
6.361,0.737,0.0573273179838208
6.333,0.97,0.0754511512134412
6.309,1.2,0.0933416303671437
6.289,1.43,0.111232109520846
6.265,1.682,0.130833851897946
6.234,1.924,0.14965774735532
6.204,2.134,0.165992532669571
6.178,2.366,0.184038581207218
6.151,2.607,0.20278469197262
6.122,2.864,0.222775357809583
6.084,3.097,0.240899191039203
6.052,3.325,0.258634100808961
6.031,3.583,0.278702551337897
6.017,3.841,0.298771001866833
6.002,4.089,0.318061605476042
5.983,4.348,0.338207840696951
5.955,4.584,0.356565028002489
5.922,4.798,0.37321095208463
5.898,5.003,0.389156813939017
5.88,5.223,0.406269446172993
5.862,5.433,0.422604231487243
5.841,5.68,0.44181705040448
5.797,5.824,0.453018046048538
5.754,5.926,0.460952084629745
5.734,6.229,0.484520846297449
5.695,6.437,0.500700062227754
5.634,6.399,0.497744243932794
5.577,6.517,0.506922837585563
5.542,6.203,0.482498444306161
5.526,5.938,0.461885500933416
5.508,5.71,0.444150591163659
5.484,5.522,0.429527069072807
5.461,5.311,0.413114499066584
5.443,5.102,0.396857498444306
5.425,4.869,0.378733665214686
5.403,4.607,0.358354075917859
5.378,4.363,0.33937461107654
5.353,4.162,0.323739887990044
5.331,3.952,0.307405102675793
5.309,3.724,0.289670192906036
5.287,3.503,0.272479775980087
5.265,3.269,0.254278158058494
5.244,3.04,0.236465463596764
5.225,2.828,0.219975108898569
5.204,2.595,0.201851275668948
5.183,2.398,0.186527691350342
5.167,2.151,0.167314872433105
5.155,1.913,0.148802115743622
5.144,1.656,0.128811449906658
5.128,1.403,0.109131922837586
5.103,1.189,0.0924859987554449
5.076,0.967,0.0752177971375233
5.041,0.734,0.0570939639079029
4.998,0.685,0.0532825140012446
4.925,0.03,0.00233354075917859
4.852,0.034,0.00264467952706907
4.808,0.038,0.00295581829495955
4.778,0.192,0.014934660858743
4.751,0.617,0.0479931549471064
4.718,0.865,0.0672837585563161
4.684,0.957,0.0744399502177971
